file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P20C2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Oct_09_1639
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   431.197888         Stim
      2     6    25        1   413.748791         Stim
      3     6    25        1   516.081308         Stim
      4     6    27        1   688.034807         Stim
      5     1    16        1   484.059265         Stim
      6     6    27        1   453.255106         Stim
      7     6    28        1   619.203150         Stim
      8     1    18        1   484.333569         Stim
      9     1    18        1   597.158683         Stim
     10     1    16        1   715.153277         Stim
     11     6    27        1   593.492898         Stim
     12     6    28        1   621.482486         Stim
     13     6    28        1   595.960391         Stim
     14     6    26        1   463.910046         Stim
     15     1    15        1   486.346376         Stim
     16     1    15        1   604.688360         Stim
     17     6    25        1   493.819762         Stim
     18     6    27        1   593.384669         Stim
     19     1    18        1   583.842807         Stim
     20     1    16        1   688.997049         Stim
     21     1    15        1   596.603855         Stim
     22     6    27        1   563.027732         Stim
     23     6    28        1  1065.397259         Stim
     24     6    28        1   482.577028         Stim
     25     1    16        1   448.526626         Stim
     26     1    15        1   478.936745         Stim
     27     1    15        1   477.289677         Stim
     28     6    27        1   451.680190         Stim
     29     6    26        1   537.984581         Stim
     30     6    25        1   856.477712         Stim
     31     1    15        1   481.653040         Stim
     32     6    27        1   546.499513         Stim
     33     6    28        1   667.197651         Stim
     34     6    26        1   518.832124         Stim
     35     6    17        0   415.982721         Stim
     36     1    16        1   605.942944         Stim
     37     1    17        1   671.097621         Stim
     38     6    26        1   514.707300         Stim
     39     6    27        1  1147.941320         Stim
     40     6    28        1   529.869597         Stim
     41     6    26        1   501.846110         Stim
     42     6    27        1   468.249150         Stim
     43     1    18        1   461.437266         Stim
     44     6    28        1   590.240747         Stim
     45     6    28        1   513.836805         Stim
     46     1    18        1   522.990225         Stim
     47     6    26        1   579.792935         Stim
     48     1    17        1   849.797382         Stim
     49     0    26        0  1465.792000         Stim
     50     1    17        1   500.134042         Stim
     51     6    26        1   445.329212         Stim
     52     6    27        1   510.028270         Stim
     53     6    28        1   569.665144         Stim
     54     1    16        1   392.061977         Stim
     55     1    17        1   652.045929         Stim
     56     1    16        1   533.196078         Stim
     57     6    25        1   573.990253         Stim
     58     6    25        1   638.834861         Stim
     59     1    17        1   455.602240         Stim
     60     6    28        1   560.320146         Stim
     61     6    26        1   545.121462         Stim
     62     1    17        1   599.145055         Stim
     63     6    28        1   501.478194         Stim
     64     1    18        1   374.742568         Stim
     65     1    16        1   500.687937         Stim
     66     6    25        1   483.117239         Stim
     67     6    27        1   567.100930         Stim
     68     1    18        1   859.127763         Stim
     69     1    16        1   505.406775         Stim
     70     1    17        1   501.430611         Stim
     71     1    16        1   449.370687         Stim
     72     6    25        1   533.431817         Stim
     73     1    15        1   409.385739         Stim
     74     1    17        1   562.533860         Stim
     75     6    28        1   518.118685         Stim
     76     1    16        1   418.133613         Stim
     77     6    27        1   541.941463         Stim
     78     6    26        1   548.484019         Stim
     79     6    27        1   589.690584         Stim
     80     1    16        1   513.235948         Stim
     81     6    27        1   394.500546         Stim
     82     1    28        0   424.430788         Stim
     83     1    16        1   361.620758         Stim
     84     6    25        1   439.610501         Stim
     85     1    17        1   475.538112         Stim
     86     6    28        1   543.538460         Stim
     87     1    18        1   493.958158         Stim
     88     6    26        1   548.337848         Stim
     89     6    25        1   496.235628         Stim
     90     1    15        1   398.714627         Stim
     91     6    25        1   522.719653         Stim
     92     1    17        1   390.652514         Stim
     93     1    18        1   407.870536         Stim
     94     1    18        1   477.843883         Stim
     95     1    16        1   497.793438         Stim
     96     6    25        1   453.804336         Stim
     97     1    15        1   412.130957         Stim
     98     1    17        1   429.377280         Stim
     99     1    16        1   467.413176         Stim
    100     1    17        1   463.410576         Stim
    101     6    26        1   451.339643         Stim
    102     1    15        1   428.485014         Stim
    103     1    15        1   434.522192         Stim
    104     6    25        1   582.436143         Stim
    105     1    15        1   388.941379         Stim
    106     6    25        1   366.035436         Stim
    107     1    15        1   361.623557         Stim
    108     6    17        0   426.841989         Stim
    109     1    18        1   734.382241         Stim
    110     6    26        1   594.361839         Stim
    111     6    27        1   571.584961         Stim
    112     1    16        1   415.124665         Stim
    113     1    15        1   411.146945         Stim
    114     6    25        1   537.545445         Stim
    115     1    27        0   407.894172         Stim
    116     1    26        0   377.050827         Stim
    117     6    25        1   471.087046         Stim
    118     6    27        1   512.335285         Stim
    119     1    18        1   481.124336         Stim
    120     1    18        1   569.825621         Stim
    121     1    16        1   525.433770         Stim
    122     1    15        1   553.385727         Stim
    123     1    17        1   541.314171         Stim
    124     6    26        1   923.787013         Stim
    125     1    15        1   396.975813         Stim
    126     6    27        1   517.663377         Stim
    127     1    18        1   558.564227         Stim
    128     1    28        0   714.061659         Stim
    129     0    18        0  1465.792000         Stim
    130     6    26        1   479.640544         Stim
    131     6    25        1   715.675450         Stim
    132     1    17        1   452.863865         Stim
    133     6    28        1   717.665554         Stim
    134     6    26        1   507.566065         Stim
    135     6    27        1   484.793852         Stim
    136     1    18        1   552.393940         Stim
    137     6    28        1   606.798200         Stim
    138     1    16        1   826.711679         Stim
    139     6    25        1   553.114533         Stim
    140     6    25        1   549.096072         Stim
    141     1    17        1   587.489620         Stim
    142     1    16        1   545.871911         Stim
    143     6    27        1  1211.055822         Stim
    144     1    16        1   437.795491         Stim
    145     1    17        1   567.018825         Stim
    146     1    16        1   458.641977         Stim
    147     6    27        1   686.596111         Stim
    148     6    26        1   524.983750         Stim
    149     1    17        1   539.382225         Stim
    150     1    18        1   487.379525         Stim
    151     6    18        0   816.531951         Stim
    152     6    26        1   516.140399         Stim
    153     1    15        1   400.052559         Stim
    154     1    17        1   364.042533         Stim
    155     1    16        1   429.250080         Stim
    156     1    17        1   555.362458         Stim
