file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P20C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Oct_09_1645
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   525.409823         Stim
      2     6   182        1   514.931533         Stim
      3     1   344        1   606.670689         Stim
      4     1   381        1   683.347380         Stim
      5     6   182        1   806.205118         Stim
      6     1   244        1   484.534165         Stim
      7     1   361        1   528.897714         Stim
      8     6   384        0   532.051278         Stim
      9     1   185        1   696.852345         Stim
     10     1   141        1   456.727136         Stim
     11     6   144        1   531.508268         Stim
     12     1   143        1   528.171835         Stim
     13     1   346        1   505.356393         Stim
     14     6   285        1   516.876230         Stim
     15     6   262        1   564.732025         Stim
     16     6   363        1   594.758989         Stim
     17     1   281        1   514.922514         Stim
     18     6   161        1   719.028989         Stim
     19     1   341        1   514.881150         Stim
     20     6   181        1   484.625911         Stim
     21     6   343        1   607.891995         Stim
     22     1   382        1   528.949030         Stim
     23     6   184        1   487.316703         Stim
     24     1   141        1   490.786556         Stim
     25     6   343        1   614.859069         Stim
     26     1   282        1   648.008186         Stim
     27     6   263        1   750.347856         Stim
     28     6   163        1   703.288539         Stim
     29     1   141        1   625.028845         Stim
     30     0   141        0  1515.792000         Stim
     31     6   241        1   638.990051         Stim
     32     6   362        1   729.798688         Stim
     33     6   381        1   615.829086         Stim
     34     1   281        1   562.520487         Stim
     35     6   365        1   485.700113         Stim
     36     1   181        1   653.637017         Stim
     37     6   341        0   584.443352         Stim
     38     6   283        1   451.277442         Stim
     39     1   261        1   476.759107         Stim
     40     6   361        1   495.602738         Stim
     41     1   285        1   546.399371         Stim
     42     6   162        1   586.280132         Stim
     43     6   342        1   816.545635         Stim
     44     6   381        1   550.580797         Stim
     45     6   282        1   625.420708         Stim
     46     1   261        1   455.756187         Stim
     47     1   166        1   786.477308         Stim
     48     6   243        1   557.633708         Stim
     49     6   262        1   647.152929         Stim
     50     6   261        1   589.071067         Stim
     51     1   163        1   568.302332         Stim
     52     1   244        0   649.454968         Stim
     53     6   261        1   710.232288         Stim
     54     1   362        1   856.513477         Stim
     55     1   282        1   687.319813         Stim
     56     1   364        1   493.284216         Stim
     57     1   182        1   626.012857         Stim
     58     1   241        1   688.348920         Stim
     59     6   361        1   883.107597         Stim
     60     6   286        1   613.954053         Stim
     61     6   161        1  1088.989896         Stim
     62     1   241        1   620.248429         Stim
     63     1   163        1   719.026501         Stim
     64     1   342        1   535.730747         Stim
     65     6   182        1  1158.522241         Stim
     66     1   241        1   660.507369         Stim
     67     6   362        1  1071.629746         Stim
     68     1   283        1   685.602458         Stim
     69     1   162        1   783.204630         Stim
     70     0   144        0  1515.792000         Stim
     71     0   141        0  1515.792000         Stim
     72     6   343        1   628.695252         Stim
