file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P20C1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_25_1527
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    24        0  1465.814000         Stim
      2     6    27        1   569.117062         Stim
      3     1    16        1   487.404988         Stim
      4     1    27        0   376.642097         Stim
      5     6    28        1   433.426945         Stim
      6     1    18        1   423.404864         Stim
      7     6    18        0   363.396156         Stim
      8     1    16        1   449.830192         Stim
      9     6    27        1   442.954842         Stim
     10     1    16        1   542.550849         Stim
     11     6    27        1   380.955402         Stim
     12     1    18        1   360.949804         Stim
     13     6    26        1   492.876158         Stim
     14     1    15        1   414.086272         Stim
     15     6    27        1   441.650805         Stim
     16     1    16        1   432.071904         Stim
     17     6    27        1   393.222616         Stim
     18     1    16        1   431.263606         Stim
     19     1    17        1   501.705231         Stim
     20     1    18        1   449.625552         Stim
     21     1    16        1   442.779125         Stim
     22     6    25        1  1150.320022         Stim
     23     1    15        1   425.902532         Stim
     24     6    27        1   469.943708         Stim
     25     1    18        1   521.897742         Stim
     26     6    28        1   373.935125         Stim
     27     1    28        0   337.837905         Stim
     28     6    26        1   443.088885         Stim
     29     1    17        1   457.042359         Stim
     30     6    26        1   333.090129         Stim
     31     6    25        1   398.263358         Stim
     32     1    17        1   455.011507         Stim
     33     6    26        1   444.988182         Stim
     34     1    17        1   411.359706         Stim
     35     6    28        1   356.575854         Stim
     36     1    16        1   386.623437         Stim
     37     6    25        1   438.540462         Stim
     38     1    17        1   540.834422         Stim
     39     6    26        1   414.067612         Stim
     40     6    25        1   484.057971         Stim
     41     6    25        1   488.176899         Stim
     42     0    15        0  1465.814000         Stim
     43     6    27        1   508.827518         Stim
     44     6    28        1   563.226037         Stim
     45     1    16        1   417.640107         Stim
     46     6    25        1   402.803384         Stim
     47     1    15        1   387.551782         Stim
     48     6    25        1   489.533184         Stim
     49     6    27        1   703.924240         Stim
     50     6    26        1   529.069478         Stim
     51     1    17        1   663.096349         Stim
     52     1    16        1   472.291161         Stim
     53     1    17        1   515.898489         Stim
     54     6    26        1   591.844250         Stim
     55     6    25        1   568.969957         Stim
     56     1    17        1   497.813025         Stim
     57     1    16        1   503.852398         Stim
     58     1    15        1   465.032344         Stim
     59     1    15        1   412.604653         Stim
     60     1    15        1   475.021459         Stim
     61     1    17        1   566.952479         Stim
     62     6    26        1   757.314176         Stim
     63     6    27        1   638.500342         Stim
     64     1    16        1   431.412266         Stim
     65     6    27        1   562.899795         Stim
     66     6    28        1   513.261492         Stim
     67     1    18        1   517.240779         Stim
     68     6    26        1   475.649375         Stim
     69     6    27        1   484.851962         Stim
     70     1    16        1   434.763015         Stim
     71     1    15        1   451.962431         Stim
     72     6    27        1   487.604653         Stim
     73     1    18        1   419.608447         Stim
     74     1    16        1   380.789948         Stim
     75     1    15        1   373.489146         Stim
     76     6    25        1   491.444921         Stim
     77     1    17        1   471.515208         Stim
     78     1    16        1   480.696647         Stim
     79     1    15        1  1052.203147         Stim
     80     6    27        1   498.622255         Stim
     81     1    18        1   443.854886         Stim
     82     6    26        1   428.600796         Stim
     83     1    15        1   472.259128         Stim
     84     0    25        0  1465.814000         Stim
     85     6    27        1   445.409902         Stim
     86     6    28        1   480.974062         Stim
     87     6    26        1   460.899422         Stim
     88     1    15        1   424.904211         Stim
     89     6    25        1   487.359893         Stim
     90     6    27        1   589.672514         Stim
     91     1    16        1   433.672016         Stim
     92     1    15        1   450.829135         Stim
     93     1    17        1   451.616906         Stim
     94     1    18        1   431.240281         Stim
     95     1    18        1   493.584624         Stim
     96     1    18        1   470.790881         Stim
     97     0    26        0  1465.814000         Stim
     98     1    17        1   528.741059         Stim
     99     6    28        1   487.164272         Stim
    100     1    28        0   443.137712         Stim
    101     6    28        1   545.458419         Stim
    102     6    26        1   482.621758         Stim
    103     6    27        1   632.706662         Stim
    104     6    28        1   516.671643         Stim
    105     1    18        1   523.065870         Stim
    106     6    28        1   540.314424         Stim
    107     6    28        1   527.842881         Stim
    108     6    28        1   584.981029         Stim
    109     6    26        1   652.477452         Stim
    110     1    15        1   504.576725         Stim
    111     6    25        1   462.977235         Stim
    112     1    17        1   453.391802         Stim
    113     1    18        1   417.395347         Stim
    114     6    26        1   463.741681         Stim
    115     6    25        1   843.671394         Stim
    116     6    25        1   492.879891         Stim
