file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P20E2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_25_1659
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   556.263606         Stim
      2     6    25        1   450.819494         Stim
      3     6    25        1   465.230764         Stim
      4     1    27        0   541.143870         Stim
      5     1    16        1   497.197549         Stim
      6     6    27        1   434.315171         Stim
      7     6    28        1   472.389438         Stim
      8     1    18        1   417.509797         Stim
      9     1    18        1   570.292032         Stim
     10     1    16        1   504.287802         Stim
     11     6    27        1   414.663805         Stim
     12     1    28        0   514.726317         Stim
     13     6    28        1   513.086708         Stim
     14     6    26        1   589.005722         Stim
     15     1    15        1   467.434845         Stim
     16     1    15        1   465.818872         Stim
     17     6    25        1   538.930771         Stim
     18     6    27        1   598.577782         Stim
     19     1    18        1   508.948809         Stim
     20     1    16        1   574.238664         Stim
     21     1    15        1   665.741121         Stim
     22     6    27        1   472.091808         Stim
     23     1    28        0   486.558127         Stim
     24     6    28        1   447.628289         Stim
     25     1    16        1   453.653356         Stim
     26     1    15        1   500.074641         Stim
     27     1    15        1   474.386079         Stim
     28     6    27        1   568.807924         Stim
     29     6    26        1   519.215028         Stim
     30     6    25        1   501.631212         Stim
     31     1    15        1   462.800896         Stim
     32     6    27        1   511.542265         Stim
     33     6    28        1   544.306774         Stim
     34     6    26        1   483.937302         Stim
     35     1    17        1   477.095229         Stim
     36     1    16        1   483.043789         Stim
     37     1    17        1   612.251042         Stim
     38     6    26        1   471.871618         Stim
     39     6    27        1   489.033713         Stim
     40     6    28        1   615.058158         Stim
     41     6    26        1   506.964919         Stim
     42     6    27        1   561.402936         Stim
     43     1    18        1   602.534366         Stim
     44     6    28        1   483.409840         Stim
     45     6    28        1   558.931393         Stim
     46     1    18        1   552.082478         Stim
     47     6    26        1   496.894943         Stim
     48     1    17        1   590.909996         Stim
     49     6    26        1   541.299372         Stim
     50     1    17        1   585.220190         Stim
     51     6    26        1   434.457921         Stim
     52     6    27        1   523.199291         Stim
     53     6    28        1   582.853144         Stim
     54     1    16        1   469.152205         Stim
     55     6    17        0   457.208434         Stim
     56     1    16        1   474.330721         Stim
     57     6    25        1   451.086646         Stim
     58     6    25        1   523.913665         Stim
     59     1    17        1   468.741059         Stim
     60     6    28        1   493.454936         Stim
     61     6    26        1   486.278846         Stim
     62     1    17        1   452.295515         Stim
     63     6    28        1   514.645456         Stim
     64     1    18        1   403.809479         Stim
     65     1    16        1   425.814207         Stim
     66     6    25        1   504.181439         Stim
     67     1    27        0   724.159980         Stim
     68     1    18        1   432.152454         Stim
     69     1    16        1   454.481247         Stim
     70     1    17        1   458.559122         Stim
     71     1    16        1   614.527275         Stim
     72     6    25        1   874.463519         Stim
     73     1    15        1   390.463706         Stim
     74     1    17        1   479.699571         Stim
     75     6    28        1   411.259252         Stim
     76     1    16        1   439.207564         Stim
     77     6    27        1   491.212913         Stim
     78     6    26        1   561.587050         Stim
     79     6    27        1   594.840766         Stim
     80     1    16        1   438.359458         Stim
     81     6    27        1   575.519376         Stim
     82     6    28        1   565.496050         Stim
     83     1    16        1   438.696896         Stim
     84     6    25        1   444.724140         Stim
     85     1    17        1   472.704174         Stim
     86     6    28        1   420.700379         Stim
     87     1    18        1   531.053679         Stim
     88     6    26        1   497.431735         Stim
     89     6    25        1   685.422031         Stim
     90     1    15        1   491.781738         Stim
     91     6    25        1   455.854637         Stim
     92     1    17        1   491.794800         Stim
