file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P21BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_11_1621
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0   225        0  1517.442000         Stim
      2     4   161        1   478.801254         Stim
      3     4   241        1   462.488465         Stim
      4     1   164        1   378.357860         Stim
      5     4   241        1   395.676124         Stim
      6     4   261        1   474.227563         Stim
      7     1   362        0   538.593379         Stim
      8     1   283        1   465.614766         Stim
      9     4   263        1   351.134865         Stim
     10     1   261        1   391.300450         Stim
     11     4   262        1   464.051767         Stim
     12     1   362        1   461.961127         Stim
     13     1   284        1   597.330223         Stim
     14     4   262        1   334.406424         Stim
     15     4   166        1   497.121068         Stim
     16     1   243        1   475.213116         Stim
     17     4   161        0   462.838616         Stim
     18     4   344        1   610.497090         Stim
     19     1   386        0   563.841344         Stim
     20     4   182        1   407.039716         Stim
     21     1   242        1   422.347029         Stim
     22     1   161        1   578.224381         Stim
     23     4   142        0   503.048272         Stim
     24     4   341        1   525.435266         Stim
     25     4   382        1   453.126467         Stim
     26     4   181        1   566.116115         Stim
     27     1   142        1   430.922396         Stim
     28     1   142        1   495.469324         Stim
     29     0   341        0  1517.442000         Stim
     30     1   281        1   499.151036         Stim
     31     4   361        1   436.836921         Stim
     32     1   183        1   481.559293         Stim
     33     4   342        0   546.057018         Stim
     34     4   181        1   452.228753         Stim
     35     1   341        1   375.805686         Stim
     36     1   285        1   400.776549         Stim
     37     4   362        1   449.637941         Stim
     38     4   185        1   503.741932         Stim
     39     1   342        1   414.461096         Stim
     40     1   381        1   514.837477         Stim
     41     4   281        1   449.666617         Stim
     42     1   266        1   530.505808         Stim
     43     4   163        1   509.487721         Stim
     44     4   241        1   514.892415         Stim
     45     4   364        1   773.864343         Stim
     46     1   383        1   482.514660         Stim
     47     1   181        1   551.780470         Stim
     48     1   141        1   519.507157         Stim
     49     1   243        1   391.263322         Stim
     50     1   361        0   543.958832         Stim
     51     4   383        0   614.092774         Stim
     52     1   184        1   544.562238         Stim
     53     1   142        1   524.501934         Stim
     54     1   343        1   397.903504         Stim
     55     4   281        1   500.993854         Stim
     56     4   161        1   436.810962         Stim
     57     4   241        1   388.522187         Stim
     58     1   261        1   398.571507         Stim
     59     1   262        1   414.607495         Stim
     60     1   264        0   397.581124         Stim
     61     4   163        1   530.841469         Stim
     62     1   144        1   474.405657         Stim
     63     4   341        0   624.099230         Stim
     64     4   181        1   443.270032         Stim
     65     4   341        1   518.749806         Stim
     66     4   183        1   476.457962         Stim
     67     4   343        0   390.057717         Stim
     68     4   182        1   545.179831         Stim
     69     1   341        1   392.479491         Stim
     70     4   384        1   429.410108         Stim
     71     4   385        0   496.114084         Stim
     72     4   282        0   993.847010         Stim
