file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P22_1BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_25_1735
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0   225        0  1517.291000         Stim
      2     4   161        1   475.212352         Stim
      3     1   241        0   388.534215         Stim
      4     1   164        1   400.961997         Stim
      5     4   241        1   395.043617         Stim
      6     4   261        1   668.464185         Stim
      7     4   362        1   595.199372         Stim
      8     4   283        0   444.259108         Stim
      9     4   263        1   523.814483         Stim
     10     1   261        1   520.923964         Stim
     11     4   262        1   581.721151         Stim
     12     4   362        0   666.066286         Stim
     13     1   284        1   349.089921         Stim
     14     4   262        1   548.839989         Stim
     15     4   166        1   449.806816         Stim
     16     1   243        1   616.877660         Stim
     17     1   161        1   575.362069         Stim
     18     4   344        1  1158.177126         Stim
     19     4   386        1   620.873555         Stim
     20     4   182        1   535.929548         Stim
     21     1   242        1   473.385252         Stim
     22     4   161        0   566.358779         Stim
     23     4   142        0   672.000966         Stim
     24     4   341        1   549.038909         Stim
     25     1   382        0   478.873193         Stim
     26     4   181        1   359.212774         Stim
     27     1   142        1   398.212442         Stim
     28     4   142        0   378.041897         Stim
     29     4   341        1   528.932959         Stim
     30     1   281        1   515.430590         Stim
     31     4   361        1   334.237375         Stim
     32     1   183        1   424.102146         Stim
     33     1   342        1   506.811253         Stim
     34     4   181        1   491.387908         Stim
     35     1   341        1   532.977452         Stim
     36     1   285        1   467.895801         Stim
     37     4   362        1   365.731836         Stim
     38     4   185        1   525.627698         Stim
     39     1   342        1   483.615563         Stim
     40     1   381        1   548.479580         Stim
     41     4   281        1   464.154668         Stim
     42     1   266        1   341.518911         Stim
     43     4   163        1   397.597271         Stim
     44     4   241        1   498.688762         Stim
     45     4   364        1   764.505418         Stim
     46     4   383        0   495.236500         Stim
     47     4   181        0   399.813758         Stim
     48     0   141        0  1517.291000         Stim
     49     1   243        1   475.343355         Stim
     50     4   361        1   643.129886         Stim
     51     1   383        1   402.699146         Stim
     52     1   184        1   423.778563         Stim
     53     0   142        0  1517.291000         Stim
     54     1   343        1   530.387878         Stim
     55     4   281        1   660.061276         Stim
     56     4   161        1   515.007999         Stim
     57     4   241        1   500.640828         Stim
     58     1   261        1   467.462042         Stim
     59     1   262        1   627.162003         Stim
     60     4   264        1   467.532977         Stim
     61     4   163        1   588.756075         Stim
     62     1   144        1   576.474690         Stim
     63     1   341        1   610.176582         Stim
     64     4   181        1   470.036524         Stim
     65     1   341        0   394.814211         Stim
     66     4   183        1   601.469106         Stim
     67     1   343        1   555.992031         Stim
     68     4   182        1   401.256905         Stim
     69     4   341        0   378.643183         Stim
     70     4   384        1   530.426816         Stim
     71     4   385        0   676.650970         Stim
     72     1   282        1   543.630354         Stim
