file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P22_1BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_25_1729
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1467.441000         Stim
      2     1    28        0   472.322135         Stim
      3     1    18        1   286.551360         Stim
      4     4    26       -1    19.254128         Stim
      5     1    17        1   221.273808         Stim
      6     4    16        0   200.256573         Stim
      7     0    27        0  1467.441000         Stim
      8     1    16        1   251.537626         Stim
      9     1    15        1   482.107217         Stim
     10     4    15        0   270.217030         Stim
     11     4    27        1   749.145764         Stim
     12     1    16        1   240.151529         Stim
     13     1    27        0   470.532766         Stim
     14     1    18        1   307.344019         Stim
     15     1    18        1   597.292101         Stim
     16     0    28        0  1467.441000         Stim
     17     1    26        0   286.051496         Stim
     18     4    25        1   237.195810         Stim
     19     4    27        1   658.181654         Stim
     20     4    26        1   762.159136         Stim
     21     1    27        0   221.453711         Stim
     22     4    18        0   279.371246         Stim
     23     4    28        1   462.747744         Stim
     24     4    26        1   310.098101         Stim
     25     4    27        1   292.425066         Stim
     26     0    18        0  1467.441000         Stim
     27     4    26        1   458.099248         Stim
     28     1    27        0   239.495910         Stim
     29     4    16        0   287.695373         Stim
     30     4    15        0   391.174500         Stim
     31     1    27        0   246.300522         Stim
     32     4    28        1   279.286426         Stim
     33     1    16        1   479.234508         Stim
     34     1    17        1   271.446467         Stim
     35     4    26        1   452.988922         Stim
     36     1    27        0   306.208156         Stim
     37     4    26        1   447.549579         Stim
     38     4    17        0   423.452564         Stim
     39     4    16        0   519.898276         Stim
     40     1    17        1   590.290380         Stim
     41     4    18        0   250.901023         Stim
     42     4    28        1   502.437442         Stim
     43     1    28        0   326.455371         Stim
     44     4    18        0   295.436928         Stim
     45     4    26        1   472.677111         Stim
     46     1    15        1   355.208126         Stim
     47     1    27        0   512.735368         Stim
     48     1    16        1   596.820912         Stim
     49     4    27        1   233.131094         Stim
     50     1    18        1   241.110206         Stim
     51     4    18        0   236.470766         Stim
     52     1    18        1   276.026140         Stim
     53     1    18        1   351.087869         Stim
     54     1    16        1   417.896103         Stim
     55     1    27        0   312.189622         Stim
     56     4    28        1   543.505086         Stim
     57     4    26        1   334.847113         Stim
     58     1    17        1   223.438075         Stim
     59     1    16        1   458.022880         Stim
     60     4    25        1   234.952760         Stim
     61     1    15        1   516.360590         Stim
     62     4    25        1   575.757795         Stim
     63     1    27        0   349.798666         Stim
     64     4    28        1   552.926439         Stim
     65     1    26        0   234.875487         Stim
     66     0    15        0  1467.441000         Stim
     67     4    25        1   155.599022         Stim
     68     1    17        1   250.915512         Stim
     69     1    16        1   452.105104         Stim
     70     4    27        1   328.720155         Stim
     71     1    16        1   335.257026         Stim
     72     4    25        1   295.612605         Stim
     73     1    25        0   230.055842         Stim
     74     4    17        0   319.930876         Stim
     75     1    18        1   289.413505         Stim
     76     4    26        1   545.726101         Stim
     77     4    27        1   291.710284         Stim
     78     4    28        1   416.915089         Stim
     79     4    26        1   446.912373         Stim
     80     4    17        0   265.955809         Stim
     81     4    28        1   551.239398         Stim
     82     1    28        0   320.609738         Stim
     83     1    16        1   442.615533         Stim
     84     4    15        0   271.842796         Stim
     85     1    17        1   510.495035         Stim
     86     4    26        1   412.157324         Stim
     87     1    15        1   256.047873         Stim
     88     4    15        0   458.468110         Stim
     89     1    25        0   653.922545         Stim
     90     4    25        1   514.731202         Stim
     91     1    27        0   266.938332         Stim
     92     1    16        1   300.542727         Stim
     93     4    25        1   403.612545         Stim
     94     1    25        0   293.680763         Stim
     95     1    25        0   440.590117         Stim
     96     4    15        0   289.862356         Stim
     97     1    17        1   455.422138         Stim
     98     1    26        0   361.364665         Stim
     99     1    15        1   404.964231         Stim
    100     4    25        1   264.943705         Stim
    101     4    27        1   327.703824         Stim
    102     4    26        1   257.332850         Stim
    103     4    25        1   259.323855         Stim
    104     4    17        0   264.324912         Stim
    105     4    16        0   301.332367         Stim
    106     4    25        1  1314.187570         Stim
    107     1    25        0   348.398382         Stim
    108     1    15        1   750.967430         Stim
    109     4    27        1   445.251290         Stim
    110     4    26        1   473.811766         Stim
    111     4    15        0   468.916659         Stim
    112     4    27        1   660.235443         Stim
    113     1    16        1   694.104863         Stim
    114     4    27        1   438.147544         Stim
    115     4    26        1   530.459114         Stim
    116     4    17        0   496.749374         Stim
    117     1    16        1   928.348577         Stim
    118     4    17        0   426.510308         Stim
    119     1    16        1   649.419844         Stim
    120     4    25        1  1066.452655         Stim
    121     1    25        0   337.380543         Stim
    122     1    17        1   297.617495         Stim
    123     4    28        1   330.185638         Stim
    124     4    28        1   256.577319         Stim
    125     1    16        1   313.963295         Stim
    126     4    25        1   434.968758         Stim
    127     1    25        0   265.196354         Stim
    128     1    15        1   375.123910         Stim
    129     4    17        0   282.135591         Stim
    130     1    16        1   694.493042         Stim
    131     4    27        1   953.433849         Stim
