file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P22_1BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_25_1726
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  1887.898820         Stim
      2     4     6        1   788.781128         Stim
      3     1     7        1  2722.623381         Stim
      4     4     8        1   957.033415         Stim
      5     4     6        1   978.172900         Stim
      6     4     8        1   948.814936         Stim
      7     1     5        1   680.944188         Stim
      8     1     7        1   897.977301         Stim
      9     1     5        1  1013.497842         Stim
     10     1     7        1   704.322497         Stim
     11     4     8        1   667.154457         Stim
     12     4     6        1   881.665308         Stim
     13     1     5        1   580.821637         Stim
     14     4     8        1   713.425398         Stim
     15     4     6        1   734.240092         Stim
     16     1     7        1   819.839416         Stim
     17     4     6        1   613.333031         Stim
     18     1     7        1   696.799783         Stim
     19     4     6        1   738.104380         Stim
     20     4     8        1  1100.809864         Stim
     21     4     6        1   730.435570         Stim
     22     4     8        1   816.695041         Stim
     23     4     8        1   689.155725         Stim
     24     1     5        1   893.609828         Stim
     25     1     7        1  1015.231368         Stim
     26     1     5        1   906.347913         Stim
     27     4     7        0   866.323161         Stim
     28     1     5        1   636.118506         Stim
     29     1     5        1   823.930393         Stim
     30     4     6        1   548.483504         Stim
     31     1     7        1   906.280600         Stim
     32     4     8        1   686.624408         Stim
     33     4     6        1   934.998340         Stim
     34     4     8        1   907.815811         Stim
     35     1     5        1   711.886866         Stim
     36     1     7        1   862.597724         Stim
     37     1     5        1   699.347400         Stim
     38     1     7        1   764.818739         Stim
     39     4     8        1   632.075221         Stim
     40     4     6        1   892.896556         Stim
