file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P23BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_18_1742
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1   663.914145         Stim
      2     4    28        1  1052.955756         Stim
      3     1    18        1   407.133937         Stim
      4     4    26        1   436.880309         Stim
      5     1    17        1   266.385257         Stim
      6     4    16        0   262.014386         Stim
      7     0    27        0  1467.289000         Stim
      8     1    16        1   304.772550         Stim
      9     4    15        0   315.418398         Stim
     10     1    15        1  1433.570461         Stim
     11     4    27        1   949.679746         Stim
     12     1    16        1   309.588356         Stim
     13     4    27        1   286.601138         Stim
     14     1    18        1   493.758077         Stim
     15     4    18        0   310.820833         Stim
     16     0    28        0  1467.289000         Stim
     17     4    26        1  1364.570772         Stim
     18     4    25        1   917.732846         Stim
     19     4    27        1   756.117483         Stim
     20     1    26        0   312.060253         Stim
     21     4    27        1   372.202590         Stim
     22     1    18        1   435.254816         Stim
     23     4    28        1   361.720348         Stim
     24     1    26        0   304.000403         Stim
     25     4    27        1  1275.143600         Stim
     26     1    18        1   737.745639         Stim
     27     4    26        1   337.624715         Stim
     28     4    27        1   577.947146         Stim
     29     1    16        1   573.045311         Stim
     30     1    15        1   637.794872         Stim
     31     4    27        1   525.795231         Stim
     32     1    28        0   391.705186         Stim
     33     1    16        1   779.747655         Stim
     34     1    17        1   727.787117         Stim
     35     4    26        1   691.330492         Stim
     36     4    27        1   595.950726         Stim
     37     4    26        1   784.977305         Stim
     38     1    17        1   437.004674         Stim
     39     4    16        0   376.395064         Stim
     40     1    17        1   966.820019         Stim
     41     1    18        1   802.867690         Stim
     42     4    28        1   683.609929         Stim
     43     4    28        1   758.600850         Stim
     44     1    18        1   679.485070         Stim
     45     4    26        1   539.575247         Stim
     46     1    15        1   394.217229         Stim
     47     4    27        1   255.823023         Stim
     48     1    16        1   420.870184         Stim
     49     4    27        1   459.155148         Stim
     50     1    18        1   517.229773         Stim
     51     1    18        1   689.427896         Stim
     52     1    18        1   638.988711         Stim
     53     1    18        1   568.218034         Stim
     54     1    16        1   362.607804         Stim
     55     4    27        1   630.952406         Stim
     56     1    28        0   411.394933         Stim
     57     4    26        1   824.401473         Stim
     58     1    17        1   677.554099         Stim
     59     1    16        1   459.710864         Stim
     60     4    25        1   529.399087         Stim
     61     1    15        1   372.867578         Stim
     62     4    25        1   501.186746         Stim
     63     4    27        1   532.177065         Stim
     64     4    28        1   706.346909         Stim
     65     4    26        1   729.386047         Stim
     66     1    15        1   555.745658         Stim
     67     4    25        1   389.049761         Stim
     68     1    17        1   312.618082         Stim
     69     1    16        1   439.532112         Stim
     70     4    27        1   501.188859         Stim
     71     1    16        1   403.749531         Stim
     72     4    25        1   301.718676         Stim
     73     1    25        0   250.111007         Stim
     74     1    17        1   704.086010         Stim
     75     1    18        1   724.080932         Stim
     76     4    26        1   547.402969         Stim
     77     4    27        1   579.340210         Stim
     78     4    28        1   475.477392         Stim
     79     4    26        1   408.489873         Stim
     80     4    17        0   374.579100         Stim
     81     4    28        1   652.357297         Stim
     82     4    28        1   670.927763         Stim
     83     1    16        1   417.821139         Stim
     84     4    15        0   359.830430         Stim
     85     1    17        1   505.404576         Stim
     86     0    26        0  1467.289000         Stim
     87     4    15       -1     0.180208         Stim
     88     1    15        1   316.245482         Stim
     89     4    25        1   316.809349         Stim
     90     0    25        0  1467.289000         Stim
     91     1    27        0   637.870034         Stim
     92     1    16        1   808.442965         Stim
     93     4    25        1   369.742768         Stim
     94     1    25        0   374.729122         Stim
     95     4    25        1   632.107910         Stim
     96     1    15        1   714.217193         Stim
     97     4    17        0   354.942480         Stim
     98     4    26        1   480.943698         Stim
     99     1    15        1   396.955362         Stim
    100     4    25        1   637.020310         Stim
    101     1    27        0   247.433849         Stim
    102     4    26        1   624.417834         Stim
    103     4    25        1   463.444820         Stim
    104     1    17        1   660.345305         Stim
    105     4    16        0   492.353844         Stim
    106     4    25        1   836.343489         Stim
    107     4    25        1   686.470012         Stim
    108     1    15        1   820.510251         Stim
    109     4    27        1   449.262733         Stim
    110     1    26        0   374.834772         Stim
    111     1    15        1   558.983060         Stim
    112     4    27        1   585.129802         Stim
    113     1    16        1   436.286861         Stim
    114     4    27        1   493.240998         Stim
    115     4    26        1   521.584344         Stim
    116     1    17        1   785.718059         Stim
    117     1    16        1   680.292233         Stim
    118     1    17        1  1327.529453         Stim
    119     1    16        1   640.607563         Stim
    120     1    25        0   385.486958         Stim
    121     4    25        1   642.886574         Stim
    122     1    17        1   676.593293         Stim
    123     4    28        1   645.219013         Stim
    124     1    28        0   289.680972         Stim
    125     1    16        1   556.664808         Stim
    126     4    25        1   349.678720         Stim
    127     1    25        0   270.734092         Stim
    128     4    15        0   300.801940         Stim
    129     1    17        1   626.847772         Stim
    130     1    16        1   611.792114         Stim
    131     4    27        1   514.607553         Stim
    132     4    26        1   603.610617         Stim
    133     1    15        1   430.294723         Stim
    134     4    17        0   377.059750         Stim
    135     1    16        1   684.137874         Stim
    136     1    17        1   822.476539         Stim
    137     1    18        1   603.774827         Stim
    138     1    28        0   524.836839         Stim
    139     4    28        1   686.248450         Stim
    140     1    18        1   511.586581         Stim
    141     4    18        0   309.951489         Stim
    142     1    18        1   340.883550         Stim
    143     1    16        1   649.361077         Stim
    144     1    27        0   586.410878         Stim
    145     0    26        0  1467.289000         Stim
    146     4    17        0   142.035793         Stim
    147     4    26        1   791.831845         Stim
    148     1    15        1   486.969040         Stim
    149     1    15        1   815.011647         Stim
    150     1    17        1   706.980202         Stim
    151     4    28        1   452.124023         Stim
    152     4    28        1   635.764288         Stim
    153     1    18        1   650.595969         Stim
    154     4    16        0   326.568344         Stim
    155     1    17        1   673.200736         Stim
    156     4    18        0   419.238352         Stim
