file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P23BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_18_1739
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0     5        0 10017.293000         Stim
      2     4     6        1  1265.455239         Stim
      3     1     7        1   959.612309         Stim
      4     4     8        1   856.816249         Stim
      5     4     6        1   838.182092         Stim
      6     4     8        1   806.162143         Stim
      7     1     5        1   714.302316         Stim
      8     1     7        1   908.100932         Stim
      9     1     5        1   697.163854         Stim
     10     1     7        1   756.516235         Stim
     11     4     8        1   909.530219         Stim
     12     4     6        1   906.818649         Stim
     13     1     5        1   636.805690         Stim
     14     4     8        1   865.596628         Stim
     15     4     6        1  1036.778101         Stim
     16     1     7        1   821.017368         Stim
     17     4     6        1   594.553436         Stim
     18     1     7        1   710.819807         Stim
     19     4     6        1   631.153744         Stim
     20     4     8        1   690.939891         Stim
     21     4     6        1   754.310877         Stim
     22     4     8        1   816.238992         Stim
     23     4     8        1   822.891892         Stim
     24     1     5        1   712.400625         Stim
     25     1     7        1  1070.184473         Stim
     26     1     5        1   859.136312         Stim
     27     1     7        1  1018.887414         Stim
     28     1     5        1   740.778685         Stim
     29     1     5        1  1037.293972         Stim
     30     4     6        1   764.841717         Stim
     31     1     7        1   550.280862         Stim
     32     4     8        1   996.061085         Stim
     33     4     6        1   764.908428         Stim
     34     4     8        1   875.442256         Stim
     35     1     5        1   850.570553         Stim
     36     1     7        1   777.014955         Stim
     37     1     5        1   812.793611         Stim
     38     1     7        1   858.320698         Stim
     39     4     8        1   774.097217         Stim
     40     4     6        1   671.541133         Stim
