file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P23C1_1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_19_1305
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1  1266.550746         Stim
      2     1   262        1   741.863994         Stim
      3     1   361        1   683.758217         Stim
      4     6   385        1   542.542846         Stim
      5     6   182        1   606.444117         Stim
      6     1   141        1   676.792739         Stim
      7     1   145        1   695.589920         Stim
      8     6   243        1   551.447723         Stim
      9     6   261        1   625.033238         Stim
     10     1   161        1   627.850281         Stim
     11     6   343        1   566.767607         Stim
     12     6   281        1   720.204365         Stim
     13     6   164        1   730.946633         Stim
     14     1   344        1   719.660736         Stim
     15     1   383        1   828.471411         Stim
     16     6   181        1   797.613942         Stim
     17     1   341        1   872.709365         Stim
     18     1   281        1   699.585965         Stim
     19     1   361        1   766.283130         Stim
     20     6   181        1   601.124142         Stim
     21     6   341        1   684.244311         Stim
     22     1   281        1   671.119468         Stim
     23     6   265        0   801.837640         Stim
     24     6   361        1   929.752764         Stim
     25     1   382        1  1244.591624         Stim
     26     1   183        1   882.918267         Stim
     27     1   244        1   644.096013         Stim
     28     6   162        1   632.917412         Stim
     29     6   143        1   911.165198         Stim
     30     1   142        1   704.365110         Stim
     31     6   246        1  1174.674670         Stim
     32     6   161        1   865.781207         Stim
     33     1   142        1  1188.502374         Stim
     34     1   144        1   554.902938         Stim
     35     6   241        1   655.637553         Stim
     36     6   163        1   698.498707         Stim
     37     1   342        0   587.383519         Stim
     38     6   281        1   705.939705         Stim
     39     1   364        1   740.713914         Stim
     40     1   186        1  1105.450626         Stim
     41     6   342        1   844.535519         Stim
     42     6   282        1   571.030802         Stim
     43     1   363        1   912.876633         Stim
     44     1   382        1   682.407542         Stim
     45     6   284        1   488.448042         Stim
     46     6   361        1   733.109019         Stim
     47     6   281        1   751.921439         Stim
     48     6   364        1   649.633066         Stim
     49     1   381        1   727.410557         Stim
     50     6   181        1   682.687753         Stim
     51     1   242        1   677.415362         Stim
     52     6   363        1  1291.342151         Stim
     53     1   182        1  1284.880182         Stim
     54     6   346        1  1146.892685         Stim
     55     1   283        1   790.276818         Stim
     56     6   261        1   767.450937         Stim
     57     1   161        1   857.554933         Stim
     58     6   144        1   965.469926         Stim
     59     6   245        1   666.233650         Stim
     60     1   263        1   746.085515         Stim
     61     6   362        1  1091.262161         Stim
     62     6   182        0   969.605922         Stim
     63     1   242        1   775.573026         Stim
     64     6   163        1   853.942040         Stim
     65     1   242        1  1471.055962         Stim
     66     6   161        1   805.432805         Stim
     67     6   341        1  1056.248793         Stim
     68     1   382        1   787.044901         Stim
     69     1   283        1   609.406085         Stim
     70     1   161        1   842.638105         Stim
     71     1   241        1  1189.158896         Stim
     72     1   361        1   944.534617         Stim
