file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P24C1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Nov_25_1041
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   121        1   730.363507         Stim
      2     6   241        1   725.693212         Stim
      3     1   161        1   584.453272         Stim
      4     6   243        1   595.262716         Stim
      5     1   362        1   788.813250         Stim
      6     1   384        1   818.809559         Stim
      7     1   183        1  1095.449472         Stim
      8     1   241        1  1048.967027         Stim
      9     6   363        1   851.826615         Stim
     10     1   181        1   853.359536         Stim
     11     6   345        1   968.192114         Stim
     12     1   186        1  1008.076994         Stim
     13     1   141        1   995.181047         Stim
     14     6   341        1   870.008636         Stim
     15     1   283        1   961.159149         Stim
     16     1   262        1   738.229331         Stim
     17     1   261        1   960.632936         Stim
     18     6   261        1   851.482026         Stim
     19     6   161        1   790.237943         Stim
     20     1   341        1   744.975554         Stim
     21     6   381        1   932.206558         Stim
     22     1   281        1   750.916907         Stim
     23     6   363        1   689.734402         Stim
     24     0   382        0  1515.793000         Stim
     25     6   181        1   929.228728         Stim
     26     1   142        1   755.987770         Stim
     27     1   141        1   666.325395         Stim
     28     6   141        1   957.177098         Stim
     29     1   242        1   743.943654         Stim
     30     1   162        1   750.304858         Stim
     31     1   141        1   836.285920         Stim
     32     6   341        1   903.079185         Stim
     33     1   285        1  1112.953513         Stim
     34     1   261        1   898.138320         Stim
     35     1   165        1   788.927698         Stim
     36     6   144        1   724.832674         Stim
     37     1   341        1   689.561486         Stim
     38     6   184        1   932.390359         Stim
     39     0   241        0  1515.793000         Stim
     40     0   264        0  1515.793000         Stim
     41     0   362        0  1515.793000         Stim
     42     6   281        1   782.501806         Stim
     43     1   163        1   881.738953         Stim
     44     1   342        1   930.891026         Stim
     45     6   282        1  1329.228853         Stim
     46     1   361        1   871.158716         Stim
     47     0   382        0  1515.793000         Stim
     48     6   381        1   824.336659         Stim
     49     6   184        1  1011.162119         Stim
     50     1   143        1  1015.881862         Stim
     51     1   344        1  1385.068369         Stim
     52     6   183        1  1005.821929         Stim
     53     1   244        1   847.262372         Stim
     54     1   261        1   900.118771         Stim
     55     6   363        1   822.887397         Stim
     56     0   283        0  1515.793000         Stim
     57     0   162        0  1515.793000         Stim
     58     1   341        1  1343.922071         Stim
     59     6   283        1   778.697026         Stim
     60     6   265        1  1068.195255         Stim
     61     6   262        1   940.130539         Stim
     62     1   364        1  1026.121864         Stim
     63     6   282        1   918.862149         Stim
     64     6   162        1  1420.837157         Stim
     65     1   341        1   875.253660         Stim
     66     6   182        1   845.964877         Stim
     67     6   142        1   963.473614         Stim
     68     6   343        1   970.283592         Stim
     69     6   382        1   979.840637         Stim
     70     6   286        1  1113.805032         Stim
     71     1   366        1  1020.923180         Stim
     72     1   281        1  1136.368429         Stim
