file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P24C2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Nov_25_1224
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   683.283941         Stim
      2     6    25        1   657.796829         Stim
      3     6    25        1   640.195134         Stim
      4     6    27        1   764.299569         Stim
      5     1    16        1   592.144936         Stim
      6     6    27        1   705.302776         Stim
      7     6    28        1   647.335083         Stim
      8     1    18        1   632.569091         Stim
      9     1    18        1   929.300569         Stim
     10     1    16        1   951.293280         Stim
     11     6    27        1   861.666670         Stim
     12     6    28        1   705.647987         Stim
     13     6    28        1   672.016393         Stim
     14     6    26        1   644.013287         Stim
     15     1    15        1   562.347046         Stim
     16     1    15        1  1328.790031         Stim
     17     6    25        1   809.921786         Stim
     18     6    27        1   893.632545         Stim
     19     0    18        0  1465.792000         Stim
     20     1    16        1  1053.073167         Stim
     21     1    15        1   632.717127         Stim
     22     6    27        1   823.134020         Stim
     23     6    28        1   653.497558         Stim
     24     1    28        0   678.688287         Stim
     25     1    16        1   612.729437         Stim
     26     1    15        1   483.005534         Stim
     27     1    15        1   505.516371         Stim
     28     6    27        1   639.790522         Stim
     29     6    26        1   494.173250         Stim
     30     6    25        1   604.542038         Stim
     31     1    15        1   677.726984         Stim
     32     6    27        1   662.505687         Stim
     33     6    28        1   623.273597         Stim
     34     6    26        1   626.851969         Stim
     35     1    17        1   676.098897         Stim
     36     1    16        1   762.084313         Stim
     37     1    17        1   739.205251         Stim
     38     6    26        1   678.810821         Stim
     39     6    27        1   544.038758         Stim
     40     6    28        1   510.001309         Stim
     41     6    26        1   697.987423         Stim
     42     6    27        1   856.359136         Stim
     43     1    18        1   753.522780         Stim
     44     6    28        1   730.327742         Stim
     45     6    28        1   741.876745         Stim
     46     1    18        1   799.068802         Stim
     47     6    26        1   807.876958         Stim
     48     1    17        1   693.802911         Stim
     49     6    26        1   788.334620         Stim
     50     1    17        1   728.263942         Stim
     51     6    26        1   553.416667         Stim
     52     6    27        1   746.208982         Stim
     53     0    28        0  1465.792000         Stim
     54     1    16        1   796.163747         Stim
     55     1    17        1   800.160414         Stim
     56     1    16        1  1289.284260         Stim
     57     6    25        1   642.123648         Stim
     58     6    25        1   954.929809         Stim
     59     1    17        1   739.616704         Stim
     60     6    28        1   756.465156         Stim
     61     6    26        1   725.246616         Stim
     62     1    17        1   739.277092         Stim
     63     6    28        1   633.585441         Stim
     64     1    18        1   690.757594         Stim
     65     1    16        1   832.783433         Stim
     66     6    25        1   743.159622         Stim
     67     6    27        1   867.187240         Stim
     68     1    18        1   831.092523         Stim
     69     1    16        1   805.516154         Stim
     70     1    17        1   745.515451         Stim
     71     0    16        0  1465.792000         Stim
     72     6    25        1   682.209746         Stim
     73     1    15        1   734.258166         Stim
     74     1    17        1   727.428284         Stim
     75     6    28        1   867.043247         Stim
     76     1    16        1   750.999633         Stim
     77     6    27        1   970.932339         Stim
     78     6    26        1   889.347269         Stim
     79     6    27        1   770.598262         Stim
     80     1    16        1   766.204758         Stim
     81     6    27        1   695.305354         Stim
     82     6    28        1   869.395966         Stim
     83     0    16        0  1465.792000         Stim
     84     6    25        1   848.048892         Stim
     85     1    17        1   732.151138         Stim
     86     6    28        1   832.008419         Stim
     87     1    18        1   798.529838         Stim
