file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P24C_12BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Nov_25_1233
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   787.733145         Stim
      2     6   182        1   783.090219         Stim
      3     1   344        1   725.139942         Stim
      4     1   381        1   881.824789         Stim
      5     6   182        1   908.614994         Stim
      6     1   244        1   867.063773         Stim
      7     1   361        1   839.397480         Stim
      8     1   384        1   818.463726         Stim
      9     1   185        1  1071.249902         Stim
     10     1   141        1   959.131114         Stim
     11     6   144        1   777.884071         Stim
     12     1   143        1   966.651106         Stim
     13     1   346        1  1159.775259         Stim
     14     6   285        1   979.329663         Stim
     15     6   262        1  1107.226750         Stim
     16     6   363        1  1049.204321         Stim
     17     1   281        1   690.707212         Stim
     18     6   161        1   861.564351         Stim
     19     1   341        1   808.310182         Stim
     20     6   181        1   819.061469         Stim
     21     6   343        1   750.203783         Stim
     22     0   382        0  1515.794000         Stim
     23     6   184        1   869.831055         Stim
     24     1   141        1   882.465450         Stim
     25     6   343        1   901.299018         Stim
     26     1   282        1  1166.434090         Stim
     27     6   263        1   892.773872         Stim
     28     6   163        1   917.703983         Stim
     29     1   141        1   895.467137         Stim
     30     1   141        1   890.325677         Stim
     31     6   241        1   885.462251         Stim
     32     6   362        1   872.251883         Stim
     33     6   381        1  1054.198989         Stim
     34     1   281        1   688.959078         Stim
     35     6   365        1   692.145900         Stim
     36     1   181        1  1084.077739         Stim
     37     1   341        1  1150.803516         Stim
     38     6   283        1   809.592126         Stim
     39     1   261        1  1019.121554         Stim
     40     6   361        1  1365.939973         Stim
     41     1   285        1   712.763367         Stim
     42     6   162        1   840.635884         Stim
     43     6   342        1   847.003930         Stim
     44     6   381        1  1444.937829         Stim
     45     6   282        1   935.822561         Stim
     46     1   261        1   894.082252         Stim
     47     1   166        1   912.904001         Stim
     48     6   243        1   995.988094         Stim
     49     6   262        1  1109.534373         Stim
     50     0   261        0  1515.794000         Stim
     51     1   163        1  1166.709015         Stim
     52     6   244        1  1231.807637         Stim
     53     6   261        1  1132.602213         Stim
     54     1   362        1  1047.410470         Stim
     55     1   282        1  1173.740736         Stim
     56     1   364        1  1163.688578         Stim
     57     1   182        1  1040.370974         Stim
     58     1   241        1  1181.630818         Stim
     59     6   361        1   889.541022         Stim
     60     6   286        1   788.357012         Stim
     61     6   161        1  1239.475355         Stim
     62     1   241        1   842.354162         Stim
     63     1   163        1   853.433554         Stim
     64     1   342        1  1094.559388         Stim
     65     6   182        1   892.936526         Stim
     66     1   241        1  1034.928465         Stim
     67     6   362        1   885.492729         Stim
     68     1   283        1   916.046039         Stim
     69     1   162        1  1045.523008         Stim
     70     6   144        1  1067.448543         Stim
     71     6   141        1   912.324918         Stim
     72     6   343        1   963.042879         Stim
