file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P24E1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Oct_30_1448
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1465.793000         Stim
      2     1    18       -1   120.292717         Stim
      3     6    28        1   937.792305         Stim
      4     6    28        1   736.068097         Stim
      5     6    26        1   607.468145         Stim
      6     1    15        1   571.378278         Stim
      7     1    17        1   887.482700         Stim
      8     6    26        1   536.530872         Stim
      9     1    15        1   596.109337         Stim
     10     1    15        1   605.315063         Stim
     11     6    25        1   494.086254         Stim
     12     1    17        1   350.909221         Stim
     13     6    26        1   354.515004         Stim
     14     1    25        0   334.539823         Stim
     15     1    17        1   724.921394         Stim
     16     1    18        1   803.245952         Stim
     17     6    26        1   631.243799         Stim
     18     1    27        0   419.239035         Stim
     19     6    28        1   745.593847         Stim
     20     1    18        1   829.566864         Stim
     21     6    26        1   598.857059         Stim
     22     1    15        1   594.403167         Stim
     23     6    25        1   619.540398         Stim
     24     1    15        1   575.094468         Stim
     25     1    15        1   613.606748         Stim
     26     1    17        1   851.955750         Stim
     27     1    16        1   719.897120         Stim
     28     6    25        1   603.883510         Stim
     29     6    27        1   565.028193         Stim
     30     1    16        1   549.856161         Stim
     31     1    15        1   609.461994         Stim
     32     1    17        1   693.435944         Stim
     33     6    26        1   547.807575         Stim
     34     6    27        1   748.969487         Stim
     35     6    26        1   626.979309         Stim
     36     1    17        1   718.939849         Stim
     37     6    26        1   426.973089         Stim
     38     1    15        1   393.368145         Stim
     39     1    17        1   746.476166         Stim
     40     6    28        1   600.505693         Stim
     41     6    28        1   564.493576         Stim
     42     1    16        1   632.384252         Stim
     43     6    25        1   524.443069         Stim
     44     1    15        1   450.811877         Stim
     45     1    17        1   593.186519         Stim
     46     6    18        0   602.395355         Stim
     47     1    16        1   648.388531         Stim
     48     6    27        1   550.739724         Stim
     49     6    18        0   575.962791         Stim
     50     1    18        1   853.931249         Stim
     51     6    28        1   887.115404         Stim
     52     6    26        1   730.702341         Stim
     53     1    15        1   569.072181         Stim
     54     6    25        1   583.487851         Stim
     55     1    15        1   504.606595         Stim
     56     6    25        1   457.405167         Stim
     57     1    17        1   572.992390         Stim
     58     1    18        1   963.497430         Stim
     59     6    26        1   860.569013         Stim
     60     1    15        1   461.679610         Stim
     61     6    27        1   617.726932         Stim
     62     1    18        1   474.901023         Stim
     63     6    26        1   491.676904         Stim
     64     1    15        1   497.772587         Stim
     65     6    27        1   733.647240         Stim
     66     1    18        1   614.852009         Stim
     67     6    28        1   695.682639         Stim
     68     1    28        0   507.137859         Stim
     69     6    26        1   687.247270         Stim
     70     6    27        1   792.436065         Stim
     71     1    16        1   654.375363         Stim
     72     6    27        1   551.564196         Stim
     73     6    28        1   669.548018         Stim
     74     6    28        1   542.720790         Stim
     75     1    16        1   724.730748         Stim
     76     1    17        1   699.180815         Stim
     77     6    26        1   588.277316         Stim
     78     1    15        1   698.234118         Stim
     79     6    27        1   659.467125         Stim
     80     1    18        1   663.079751         Stim
     81     1    16        1   645.440211         Stim
     82     6    25        1   619.801019         Stim
     83     6    25        1   517.021263         Stim
     84     1    17        1   850.953384         Stim
     85     6    28        1   833.286475         Stim
     86     1    16        1   482.493881         Stim
     87     1    15        1   608.599579         Stim
     88     1    17        1   748.490852         Stim
     89     1    16        1   688.493153         Stim
     90     6    27        1   710.838810         Stim
     91     1    16        1   672.029210         Stim
     92     1    15        1   600.986506         Stim
     93     1    15        1   652.395821         Stim
     94     6    25        1   648.455708         Stim
     95     1    15        1   414.777990         Stim
     96     1    17        1   709.225319         Stim
     97     1    16        1   742.316173         Stim
     98     1    15        1   545.940928         Stim
     99     1    15        1   619.163772         Stim
    100     1    17        1   691.873459         Stim
    101     6    28        1   865.896205         Stim
    102     1    16        1   645.896454         Stim
    103     1    17        1   697.843185         Stim
    104     6    26        1   621.862667         Stim
    105     6    25        1   876.246427         Stim
    106     6    27        1   861.344658         Stim
    107     6    28        1   667.400533         Stim
    108     1    18        1  1052.631874         Stim
    109     1    18        1   826.631295         Stim
    110     6    26        1   606.533889         Stim
    111     1    17        1   676.944321         Stim
    112     6    28        1   465.229723         Stim
    113     6    26        1   663.412525         Stim
    114     1    15        1   579.284006         Stim
    115     6    27        1   769.695745         Stim
    116     1    18        1   570.877872         Stim
    117     6    28        1   616.869182         Stim
    118     6    28        1   761.988437         Stim
    119     1    16        1   629.639017         Stim
    120     1    15        1   681.621825         Stim
    121     6    27        1   586.839544         Stim
    122     1    28        0   456.765742         Stim
    123     6    26        1   647.184012         Stim
    124     6    27        1   707.120132         Stim
    125     6    26        1   591.116785         Stim
    126     6    25        1   523.153645         Stim
    127     6    27        1   684.301127         Stim
    128     1    16        1   645.094063         Stim
    129     6    27        1   776.729106         Stim
    130     1    18        1   743.094928         Stim
    131     1    16        1   629.420692         Stim
    132     6    25        1   558.644519         Stim
    133     6    27        1   791.383005         Stim
    134     6    26        1   677.340851         Stim
    135     6    25        1   598.588352         Stim
    136     1    17        1   559.346767         Stim
    137     6    26        1   648.093388         Stim
    138     6    25        1   598.184979         Stim
    139     6    27        1   436.498838         Stim
    140     0    28        0  1465.793000         Stim
    141     1    18        1   764.050706         Stim
    142     6    26        1   621.176280         Stim
    143     6    27        1   651.264699         Stim
    144     6    26        1   713.642513         Stim
    145     6    27        1   802.780689         Stim
    146     6    18        0   542.438398         Stim
    147     6    26        1   858.370524         Stim
    148     6    25        1   686.352822         Stim
    149     1    17        1   700.733970         Stim
    150     1    18        1   808.732689         Stim
    151     6    28        1   724.652686         Stim
    152     1    16        1   832.644563         Stim
    153     1    17        1   847.151356         Stim
    154     1    18        1   752.250893         Stim
    155     1    16        1   481.038381         Stim
    156     1    17        1   633.806474         Stim
