file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P24E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Oct_30_1631
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   124        1  1082.835986         Stim
      2     6   342        1   807.783193         Stim
      3     1   285        1   934.015780         Stim
      4     1   161        1   853.916010         Stim
      5     6   242        1   864.742069         Stim
      6     6   265        1   942.706484         Stim
      7     1   161        1   846.405257         Stim
      8     1   241        1   873.814685         Stim
      9     1   165        1   576.605637         Stim
     10     1   241        1   820.446975         Stim
     11     6   161        1   815.325046         Stim
     12     6   241        1   810.153667         Stim
     13     1   362        1   757.288229         Stim
     14     1   281        1  1355.207300         Stim
     15     6   361        1   765.070489         Stim
     16     6   181        1   847.970853         Stim
     17     6   346        1   802.731861         Stim
     18     6   381        1  1126.199932         Stim
     19     1   284        1   769.045435         Stim
     20     6   362        1   845.771742         Stim
     21     6   281        1   819.745972         Stim
     22     1   162        1   918.481117         Stim
     23     6   144        1   812.882108         Stim
     24     0   141        0  1515.793000         Stim
     25     1   341        1   804.414395         Stim
     26     1   182        1  1015.192869         Stim
     27     6   246        1   765.514603         Stim
     28     1   161        1   960.648630         Stim
     29     1   344        1  1043.438277         Stim
     30     1   381        1   480.181253         Stim
     31     6   383        1   827.004189         Stim
     32     6   381        1  1012.535960         Stim
     33     1   184        1   451.257546         Stim
     34     6   342        1   987.925881         Stim
     35     1   282        1   793.962785         Stim
     36     6   161        1   872.317510         Stim
     37     1   342        1  1043.053253         Stim
     38     6   183        1   897.064120         Stim
     39     6   243        1  1370.530480         Stim
     40     6   161        1  1116.228513         Stim
     41     1   242        1  1070.969307         Stim
     42     0   361        0  1515.793000         Stim
     43     1   283        1   792.121018         Stim
     44     1   262        1   889.206597         Stim
     45     6   361        1   467.654624         Stim
     46     1   283        1   682.383474         Stim
     47     6   261        1  1107.437978         Stim
     48     1   364        1   622.735345         Stim
     49     6   182        1  1091.410062         Stim
     50     1   341        1   945.494948         Stim
     51     6   281        1   756.241078         Stim
     52     6   163        1  1191.027838         Stim
     53     6   345        1  1128.512560         Stim
     54     1   381        1   896.441489         Stim
     55     1   182        1  1043.239545         Stim
     56     6   244        1  1121.507811         Stim
     57     6   261        1  1078.322381         Stim
     58     6   261        1  1209.131396         Stim
     59     1   162        1  1163.834869         Stim
     60     6   344        1  1185.563804         Stim
     61     1   382        1   798.528017         Stim
     62     1   282        1  1172.905620         Stim
     63     1   363        1   882.866464         Stim
     64     6   181        1  1180.434100         Stim
     65     6   343        1   455.216319         Stim
     66     1   283        1   728.874258         Stim
     67     1   163        1   865.906780         Stim
     68     6   241        1   827.428088         Stim
     69     1   363        1   934.227263         Stim
     70     6   182        1   935.830801         Stim
     71     1   146        1   957.713994         Stim
     72     0   143        0  1515.793000         Stim
