file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P25BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_16_1554
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1467.291000         Stim
      2     4    28        1   557.615730         Stim
      3     4    18        0   430.765980         Stim
      4     4    26        1   316.692123         Stim
      5     1    17        1   248.640156         Stim
      6     4    16       -1    40.568931         Stim
      7     4    27        1   373.971590         Stim
      8     0    16        0  1467.291000         Stim
      9     1    15        1  1288.777740         Stim
     10     0    15        0  1467.291000         Stim
     11     4    27        1   501.885369         Stim
     12     1    16        1   218.504443         Stim
     13     4    27        1   202.991053         Stim
     14     1    18        1   269.995593         Stim
     15     4    18        0   342.004842         Stim
     16     4    28        1   317.145203         Stim
     17     4    26        1   516.745249         Stim
     18     1    25        0   218.797542         Stim
     19     4    27        1   218.566021         Stim
     20     4    26        1   181.350064         Stim
     21     4    27        1   275.695166         Stim
     22     4    18        0   255.834500         Stim
     23     1    28        0   421.153498         Stim
     24     4    26        1   421.511495         Stim
     25     4    27        1   335.477289         Stim
     26     4    18       -1   117.029292         Stim
     27     4    26        1   477.638490         Stim
     28     4    27        1   358.966820         Stim
     29     1    16        1   604.111528         Stim
     30     4    15        0   281.839064         Stim
     31     1    27        0   273.755162         Stim
     32     1    28        0   296.750561         Stim
     33     1    16        1   402.802395         Stim
     34     1    17        1   409.872075         Stim
     35     1    26        0   365.459057         Stim
     36     1    27        0   424.672189         Stim
     37     1    26        0   301.102666         Stim
     38     4    17        0   341.060346         Stim
     39     1    16        1   374.445498         Stim
     40     4    17        0   218.694912         Stim
     41     4    18        0   506.851440         Stim
     42     4    28        1   525.546654         Stim
     43     1    28        0   395.946125         Stim
     44     1    18        1   538.489773         Stim
     45     4    26        1   274.966193         Stim
     46     1    15        1   340.243836         Stim
     47     4    27        1   251.800850         Stim
     48     1    16        1   315.767852         Stim
     49     4    27        1   141.545725         Stim
     50     1    18        1   182.891321         Stim
     51     4    18        0   290.208821         Stim
     52     4    18        0   417.751020         Stim
     53     1    18        1   312.021564         Stim
     54     1    16        1   402.422665         Stim
     55     1    27        0   266.857538         Stim
     56     0    28        0  1467.291000         Stim
     57     4    26        1   243.306126         Stim
     58     4    17        0   290.141810         Stim
     59     1    16        1   624.501038         Stim
     60     1    25        0   332.712625         Stim
     61     1    15        1   736.138949         Stim
     62     4    25       -1    91.486562         Stim
     63     0    27        0  1467.291000         Stim
     64     0    28        0  1467.291000         Stim
     65     4    26        1   156.652822         Stim
     66     4    15        0   301.825904         Stim
     67     1    25        0   268.217986         Stim
     68     4    17        0   314.597269         Stim
     69     4    16        0   268.671066         Stim
     70     4    27        1   525.851827         Stim
     71     1    16        1   443.412680         Stim
     72     4    25        1   262.816643         Stim
     73     1    25       -1   100.539410         Stim
     74     4    17        0   361.739634         Stim
     75     4    18        0   386.654210         Stim
     76     1    26       -1    42.008162         Stim
     77     4    27        1   686.003719         Stim
     78     4    28        1   267.074871         Stim
     79     0    26        0  1467.291000         Stim
     80     4    17        0   107.661008         Stim
     81     4    28        1   344.195383         Stim
     82     4    28        1   635.251805         Stim
     83     4    16        0   381.506725         Stim
     84     4    15        0   488.625305         Stim
     85     1    17        1   404.177030         Stim
     86     4    26        1   682.124315         Stim
     87     1    15        1   433.106240         Stim
     88     4    15        0   297.235940         Stim
     89     4    25        1   463.811246         Stim
     90     4    25        1   549.514622         Stim
     91     4    27       -1    87.803361         Stim
     92     1    16        1   464.336167         Stim
     93     1    25        0   398.632308         Stim
     94     4    25        1   218.583830         Stim
     95     4    25        1   218.626995         Stim
