file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P25C1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Nov_25_1357
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   121        1   781.626029         Stim
      2     6   241        1   696.985068         Stim
      3     1   161        1   579.849532         Stim
      4     6   243        1   638.608721         Stim
      5     1   362        1   856.130240         Stim
      6     1   384        1   742.047173         Stim
      7     1   183        1  1058.831963         Stim
      8     1   241        1  1124.483545         Stim
      9     6   363        1   743.150292         Stim
     10     1   181        1   608.674612         Stim
     11     6   345        1   659.479653         Stim
     12     1   186        1  1139.417477         Stim
     13     1   141        1  1094.479461         Stim
     14     6   341        1   921.284221         Stim
     15     1   283        1   844.401167         Stim
     16     1   262        1   885.606555         Stim
     17     1   261        1   827.972566         Stim
     18     6   261        1   886.700344         Stim
     19     6   161        1  1161.542363         Stim
     20     1   341        1   860.312574         Stim
     21     6   381        1   806.266598         Stim
     22     1   281        1   834.321019         Stim
     23     6   363        1   677.042472         Stim
     24     1   382        1   710.616842         Stim
     25     6   181        1  1012.486359         Stim
     26     1   142        1   887.374904         Stim
     27     1   141        1  1085.745013         Stim
     28     6   141        1   992.371780         Stim
     29     1   242        1   819.321154         Stim
     30     1   162        1  1465.625582         Stim
     31     1   141        1   879.592428         Stim
     32     6   341        1   818.391574         Stim
     33     1   285        1   885.246106         Stim
     34     1   261        1   820.346212         Stim
     35     1   165        1   936.301812         Stim
     36     6   144        1  1328.250756         Stim
     37     1   341        1  1020.936553         Stim
     38     6   184        1  1103.691296         Stim
     39     1   241        1  1012.412030         Stim
     40     0   264        0  1515.792000         Stim
     41     6   362        1   827.955150         Stim
     42     0   281        0  1515.792000         Stim
     43     1   163        1   876.653784         Stim
     44     1   342        1   886.268053         Stim
     45     6   282        1   716.642165         Stim
     46     1   361        1   874.575057         Stim
     47     6   382        1   821.308758         Stim
     48     6   381        1   779.670458         Stim
     49     6   184        1   878.541246         Stim
     50     1   143        1   851.233848         Stim
     51     1   344        1   964.385468         Stim
     52     6   183        1   753.074318         Stim
     53     1   244        1   818.642551         Stim
     54     1   261        1   679.404832         Stim
     55     6   363        1   770.245277         Stim
     56     6   283        1   563.770184         Stim
     57     6   162        1   996.844278         Stim
     58     6   341        0   411.293485         Stim
     59     6   283        1   782.015712         Stim
     60     6   265        1   551.592027         Stim
     61     6   262        1  1287.455888         Stim
     62     1   364        1  1381.385812         Stim
     63     6   282        1  1090.147225         Stim
     64     6   162        1  1008.149768         Stim
     65     1   341        1  1094.482260         Stim
     66     6   182        1   633.287813         Stim
     67     6   142        1   647.312069         Stim
     68     6   343        1  1037.590318         Stim
     69     6   382        1   686.317440         Stim
     70     6   286        1   805.180584         Stim
     71     1   366        1   832.274325         Stim
     72     1   281        1   691.310242         Stim
      1     6   221        1   709.482623         Stim
      2     1   262        1   800.810405         Stim
      3     1   361        1  1038.840851         Stim
      4     6   385        1   673.675892         Stim
      5     6   182        1   897.453186         Stim
      6     1   141        1  1359.854004         Stim
      7     1   145        1   986.676428         Stim
      8     6   243        1   866.518589         Stim
      9     6   261        1  1012.122177         Stim
     10     1   161        1   774.904375         Stim
     11     6   343        1   729.728444         Stim
     12     6   281        1   963.193714         Stim
     13     6   164        1   973.936604         Stim
     14     1   344        1   738.687746         Stim
     15     1   383        1   999.419362         Stim
     16     6   181        1   887.718559         Stim
     17     1   341        1   923.768803         Stim
     18     1   281        1  1038.598582         Stim
     19     1   361        1   985.383910         Stim
     20     6   181        1   932.220242         Stim
     21     6   341        1   879.339895         Stim
     22     1   281        1   730.106931         Stim
     23     1   265        1   812.853588         Stim
     24     6   361        1   924.817808         Stim
     25     1   382        1  1439.632161         Stim
     26     1   183        1  1069.956762         Stim
     27     1   244        1  1031.510259         Stim
     28     6   162        1  1387.831919         Stim
     29     6   143        1  1354.216809         Stim
     30     1   142        1   922.867213         Stim
     31     6   246        1  1081.678992         Stim
     32     6   161        1  1060.757989         Stim
     33     1   142        1  1063.575343         Stim
     34     1   144        1  1501.891660         Stim
     35     0   241        0  1515.668000         Stim
     36     6   163        1   245.471755         Stim
     37     6   342        1  1150.940979         Stim
     38     6   281        1  1045.360355         Stim
     39     1   364        1  1343.785542         Stim
     40     1   186        1   988.486140         Stim
     41     6   342        1   879.593983         Stim
     42     6   282        1   789.922589         Stim
     43     1   363        1   683.921492         Stim
     44     1   382        1   797.376027         Stim
     45     6   284        1  1379.419045         Stim
     46     6   361        1   776.159884         Stim
     47     6   281        1   842.517748         Stim
     48     6   364        1   982.110630         Stim
     49     1   381        1   906.819899         Stim
     50     6   181        1  1085.618124         Stim
     51     1   242        1   904.382277         Stim
     52     6   363        1   693.710544         Stim
     53     1   182        1   991.885375         Stim
     54     6   346        1   878.287470         Stim
     55     1   283        1   929.313631         Stim
     56     6   261        1   635.024440         Stim
     57     1   161        1   893.724290         Stim
     58     6   144        1   888.512233         Stim
     59     6   245        1  1061.206763         Stim
     60     1   263        1   669.138395         Stim
     61     6   362        1   662.690733         Stim
     62     1   182        1  1236.603576         Stim
     63     1   242        1  1298.496406         Stim
     64     6   163        1   800.987675         Stim
     65     1   242        1   666.565799         Stim
     66     6   161        1   640.625870         Stim
     67     6   341        1  1291.270932         Stim
     68     1   382        1   621.879382         Stim
     69     0   283        0  1515.668000         Stim
     70     1   161        1   982.009866         Stim
     71     1   241        1  1104.723196         Stim
     72     1   361        1   803.627759         Stim
