file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P25_1BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_16_1551
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  1205.105829         Stim
      2     4     6        1   968.046534         Stim
      3     1     7        1   928.610152         Stim
      4     4     8        1   976.972906         Stim
      5     1     6        0   957.542380         Stim
      6     4     8        1   879.850161         Stim
      7     1     5        1   802.021806         Stim
      8     1     7        1   811.145287         Stim
      9     1     5        1   728.674145         Stim
     10     1     7        1  1109.284973         Stim
     11     4     8        1   614.534484         Stim
     12     4     6        1   668.792410         Stim
     13     1     5        1   808.361003         Stim
     14     4     8        1   588.542597         Stim
     15     4     6        1   607.515515         Stim
     16     1     7        1   696.573978         Stim
     17     4     6        1   517.983145         Stim
     18     1     7        1   634.974403         Stim
     19     4     6        1   687.080425         Stim
     20     4     8        1   528.478846         Stim
     21     4     6        1   452.514429         Stim
     22     1     8        0   505.914491         Stim
     23     4     8        1   487.440233         Stim
     24     4     5        0   792.595265         Stim
     25     1     7        1  1321.389848         Stim
     26     1     5        1   585.905013         Stim
     27     1     7        1   699.363997         Stim
     28     1     5        1   542.791468         Stim
     29     1     5        1   513.185506         Stim
     30     4     6        1   771.726715         Stim
     31     1     7        1   709.111408         Stim
     32     4     8        1   414.281531         Stim
     33     4     6        1   651.466700         Stim
     34     4     8        1   653.653920         Stim
     35     1     5        1   641.859953         Stim
     36     1     7        1   759.972290         Stim
     37     1     5        1   717.447659         Stim
     38     1     7        1   642.554515         Stim
     39     4     8        1   694.784296         Stim
     40     4     6        1   759.100239         Stim
