file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P26BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_16_1540
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1  1344.896585         Stim
      2     4   161        1   627.574195         Stim
      3     4   241        1   528.811185         Stim
      4     1   164        1   558.298520         Stim
      5     4   241        1   489.977301         Stim
      6     4   261        1   469.929789         Stim
      7     1   362        0   411.516867         Stim
      8     1   283        1   506.882229         Stim
      9     4   263        1   420.541945         Stim
     10     1   261        1   490.127925         Stim
     11     4   262        1   787.938289         Stim
     12     4   362        0   629.520840         Stim
     13     1   284        1   534.433484         Stim
     14     4   262        1   545.832931         Stim
     15     4   166        1   542.956883         Stim
     16     1   243        1   596.088901         Stim
     17     1   161        1   581.620524         Stim
     18     4   344        1   515.004166         Stim
     19     4   386        1   771.791915         Stim
     20     4   182        1   674.228768         Stim
     21     1   242        1   485.124423         Stim
     22     1   161        1   771.156818         Stim
     23     1   142        1   671.871604         Stim
     24     4   341        1   710.279877         Stim
     25     1   382        0   608.982215         Stim
     26     4   181        1   541.976468         Stim
     27     1   142        1   840.806790         Stim
     28     1   142        1   750.792362         Stim
     29     4   341        1   553.115718         Stim
     30     1   281        1   810.911352         Stim
     31     4   361        1   583.722320         Stim
     32     1   183        1   859.504721         Stim
     33     1   342        1   641.973147         Stim
     34     4   181        1   515.041897         Stim
     35     1   341        1   589.813395         Stim
     36     1   285        1   556.523025         Stim
     37     4   362        1   523.565297         Stim
     38     4   185        1   511.272367         Stim
     39     1   342        1   740.439738         Stim
     40     1   381        1   605.821521         Stim
     41     4   281        1   514.998129         Stim
     42     1   266        1   558.307575         Stim
     43     4   163        1   695.832629         Stim
     44     4   241        1   591.881082         Stim
     45     4   364        1   708.768805         Stim
     46     4   383        0   681.331953         Stim
     47     1   181        1   726.615513         Stim
     48     1   141        1  1025.389389         Stim
     49     1   243        1   537.148946         Stim
     50     1   361        0   740.753664         Stim
     51     1   383        1  1004.454432         Stim
     52     1   184        1   635.091823         Stim
     53     1   142        1   587.376241         Stim
     54     1   343        1   801.742894         Stim
     55     4   281        1   620.899640         Stim
     56     4   161        1   628.681389         Stim
     57     4   241        1   468.235191         Stim
     58     1   261        1   538.184601         Stim
     59     1   262        1   535.425974         Stim
     60     4   264        1   489.768117         Stim
     61     4   163        1   502.112060         Stim
     62     1   144        1   566.313902         Stim
     63     1   341        1   718.356234         Stim
     64     4   181        1   805.780167         Stim
     65     1   341        0   458.519174         Stim
     66     4   183        1   536.320664         Stim
     67     1   343        1   527.887216         Stim
     68     4   182        1   682.997573         Stim
     69     1   341        1   572.393808         Stim
     70     4   384        1   524.544505         Stim
     71     1   385        1   550.900425         Stim
     72     1   282        1   740.813431         Stim
