file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P27C2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_15_1046
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   562.091186         Stim
      2     6    25        1   587.460347         Stim
      3     6    25        1   457.420539         Stim
      4     1    27        0   482.614916         Stim
      5     1    18        1   459.384835         Stim
      6     1    28        0   487.010325         Stim
      7     6    26        1   570.935498         Stim
      8     6    27        1   886.956211         Stim
      9     1    16        1   706.933818         Stim
     10     6    27        1   545.312247         Stim
     11     1    16        1   519.647322         Stim
     12     6    17        0   376.874417         Stim
     13     1    16        1  1020.391242         Stim
     14     1    15        1   517.587547         Stim
     15     1    15        1   555.662126         Stim
     16     1    15        1   356.776762         Stim
     17     6    27        1   565.572246         Stim
     18     1    28        0   457.221497         Stim
     19     6    28        1   589.040866         Stim
     20     6    26        1   825.155191         Stim
     21     1    17        1   653.063693         Stim
     22     1    16        1   555.559184         Stim
     23     6    27        1   732.714126         Stim
     24     1    18        1   725.520309         Stim
     25     1    18        1   774.280960         Stim
     26     6    28        1   855.013373         Stim
     27     0    28        0  1465.794000         Stim
     28     0    26        0  1465.794000         Stim
     29     1    17        1   869.391367         Stim
     30     0    16        0  1465.794000         Stim
     31     1    17        1   741.329850         Stim
     32     1    18        1   598.553835         Stim
     33     1    18        1   615.384400         Stim
     34     6    26        1   845.329974         Stim
     35     6    27        1  1206.470424         Stim
     36     1    18        1   815.268396         Stim
     37     1    16        1   664.045220         Stim
     38     6    27        1   763.651490         Stim
     39     6    26        1   908.786465         Stim
     40     6    27        1  1064.451390         Stim
     41     6    28        1   876.450208         Stim
     42     0    28        0  1465.794000         Stim
     43     0    18        0  1465.794000         Stim
     44     6    26        1   729.921938         Stim
     45     1    15        1   624.327922         Stim
     46     1    15        1   636.340735         Stim
     47     6    27        1   736.371525         Stim
     48     1    16        1   657.491758         Stim
     49     1    15        1   530.258133         Stim
     50     6    27        1   843.129004         Stim
     51     6    26        1   731.864154         Stim
     52     6    27        1   583.474529         Stim
     53     0    26        0  1465.794000         Stim
     54     1    17        1   732.589102         Stim
     55     1    18        1   754.583567         Stim
     56     6    26        1   622.648504         Stim
     57     6    27        1   754.530696         Stim
     58     1    18        1   736.887168         Stim
     59     6    26        1   623.262736         Stim
     60     6    25        1   629.716054         Stim
     61     6    25        1   502.873670         Stim
     62     1    15        1   895.666169         Stim
     63     1    17        1   592.465945         Stim
     64     1    18        1   561.176214         Stim
     65     6    26        1   764.828326         Stim
     66     6    25        1   821.924488         Stim
     67     0    15        0  1465.794000         Stim
     68     1    17        1   620.749207         Stim
     69     1    18        1   597.911613         Stim
     70     6    28        1   582.741494         Stim
     71     1    18        1   647.558624         Stim
     72     1    16        1   576.184923         Stim
     73     1    15        1   526.240281         Stim
     74     6    27        1   626.178702         Stim
     75     6    26        1   576.555327         Stim
     76     0    25        0  1465.794000         Stim
     77     6    27        1   547.384462         Stim
     78     1    16        1   598.947565         Stim
     79     6    27        1   589.364309         Stim
     80     1    18        1   689.368974         Stim
     81     1    18        1   727.771661         Stim
     82     1    18        1   480.930522         Stim
     83     1    18        1   748.501897         Stim
     84     1    16        1   485.678298         Stim
     85     1    15        1   473.263358         Stim
     86     1    15        1   474.422778         Stim
     87     6    25        1   691.217889         Stim
     88     6    25        1   620.045095         Stim
     89     6    27        1   703.624432         Stim
     90     1    16        1   555.622940         Stim
     91     1    15        1   535.633825         Stim
     92     1    15        1   485.987435         Stim
     93     6    25        1   716.404802         Stim
     94     6    25        1   648.369721         Stim
     95     6    27        1   662.716303         Stim
     96     1    16        1   613.091062         Stim
     97     1    17        1   945.115071         Stim
     98     6    28        1   991.483486         Stim
     99     6    26        1   664.610935         Stim
    100     6    25        1  1006.663868         Stim
    101     6    25        1   679.907321         Stim
    102     6    27        1   749.803446         Stim
    103     1    16        1   548.217951         Stim
    104     1    15        1   496.203583         Stim
    105     1    17        1   553.377185         Stim
    106     6    26        1   596.950613         Stim
    107     6    25        1   672.936493         Stim
    108     1    15        1   575.326553         Stim
    109     1    17        1   651.280090         Stim
    110     6    26        1   809.672825         Stim
    111     1    27        0   384.076631         Stim
    112     6    26        1   534.437706         Stim
    113     6    27        1   471.657026         Stim
    114     1    18        1   819.228090         Stim
    115     1    18        1   623.249984         Stim
    116     1    16        1   557.603409         Stim
    117     1    17        1   507.912235         Stim
    118     6    26        1   727.933072         Stim
    119     6    27        1   860.029545         Stim
    120     6    28        1   669.122038         Stim
    121     6    28        1   819.179262         Stim
    122     1    16        1   724.303664         Stim
    123     0    27        0  1465.794000         Stim
    124     1    26        0   737.082167         Stim
    125     6    25        1   620.725260         Stim
    126     6    25        1   805.850594         Stim
    127     1    15        1  1027.832618         Stim
    128     1    17        1   660.978416         Stim
    129     0    28        0  1465.794000         Stim
    130     6    26        1   545.362319         Stim
    131     1    17        1   514.593830         Stim
    132     6    26        1   566.138583         Stim
    133     1    15        1   514.152205         Stim
    134     1    17        1   587.340611         Stim
    135     1    18        1   761.391118         Stim
    136     1    16        1   655.666480         Stim
    137     1    17        1   627.672762         Stim
    138     6    28        1   812.833551         Stim
    139     6    26        1   746.012938         Stim
    140     6    27        1   647.992163         Stim
    141     6    28        1   646.395783         Stim
    142     1    18        1   692.767307         Stim
    143     6    26        1   525.920881         Stim
    144     6    25        1   508.046588         Stim
    145     1    15        1   602.367046         Stim
    146     1    17        1   568.728619         Stim
    147     1    16        1   561.919201         Stim
    148     6    27        1   543.848666         Stim
    149     6    28        1   483.891273         Stim
    150     1    18        1   751.834919         Stim
    151     1    16        1   619.880264         Stim
    152     1    15        1   522.250420         Stim
    153     1    17        1   728.566897         Stim
    154     1    16        1   844.617777         Stim
    155     1    15        1   624.629595         Stim
