file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P27C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_15_1051
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   124        1   674.012254         Stim
      2     6   342        1   774.955838         Stim
      3     1   285        1   757.307333         Stim
      4     1   161        1   573.252783         Stim
      5     6   242        1   672.028986         Stim
      6     6   265        1   549.666293         Stim
      7     1   161        1   694.246439         Stim
      8     1   241        1   665.080550         Stim
      9     1   165        1   595.889469         Stim
     10     1   241        1   819.745288         Stim
     11     6   161        1   646.535423         Stim
     12     6   241        1   449.691174         Stim
     13     1   362        1   604.498974         Stim
     14     1   281        1   514.893948         Stim
     15     6   361        1   653.265846         Stim
     16     6   181        1   560.494806         Stim
     17     6   346        1   563.250917         Stim
     18     6   381        1   926.356907         Stim
     19     1   284        1   545.164521         Stim
     20     6   362        1   821.877216         Stim
     21     6   281        1   572.223363         Stim
     22     1   162        1  1183.036325         Stim
     23     6   144        1   492.942091         Stim
     24     1   141        1   593.619145         Stim
     25     1   341        1   659.854139         Stim
     26     1   182        1   767.623624         Stim
     27     6   246        1   925.629471         Stim
     28     1   161        1  1064.632394         Stim
     29     1   344        1   987.878025         Stim
     30     1   381        1   800.566648         Stim
     31     6   383        1   955.377558         Stim
     32     6   381        1   708.541084         Stim
     33     1   184        1   687.754867         Stim
     34     6   342        1   714.958948         Stim
     35     1   282        1   682.440132         Stim
     36     6   161        1   688.435031         Stim
     37     1   342        1   883.611059         Stim
     38     6   183        1   625.524663         Stim
     39     1   243        0   523.084842         Stim
     40     6   161        1   948.216396         Stim
     41     1   242        1   575.387199         Stim
     42     1   361        1   949.340673         Stim
     43     1   283        1   514.969211         Stim
     44     1   262        1   441.687504         Stim
     45     6   361        1   743.677614         Stim
     46     1   283        1   618.858307         Stim
     47     6   261        1   596.064253         Stim
     48     1   364        1   615.244138         Stim
     49     6   182        1   547.637930         Stim
     50     1   341        1   817.825465         Stim
     51     1   281        0  1116.608509         Stim
     52     6   163        1   774.187037         Stim
     53     6   345        1   551.799465         Stim
     54     1   381        1  1471.692480         Stim
     55     6   182        0   954.508926         Stim
     56     6   244        1   632.465945         Stim
     57     6   261        1   501.201717         Stim
     58     6   261        1   712.345587         Stim
     59     1   162        1   619.148162         Stim
     60     6   344        1   537.109535         Stim
     61     1   382        1   797.828886         Stim
     62     1   282        1   660.218013         Stim
     63     1   363        1   674.136655         Stim
     64     6   181        1   843.696274         Stim
     65     6   343        1   638.522423         Stim
     66     1   283        1  1022.852833         Stim
     67     1   163        1   633.202090         Stim
     68     6   241        1   730.714997         Stim
     69     1   363        1   661.484108         Stim
     70     6   182        1   703.076756         Stim
     71     1   146        1   573.041923         Stim
     72     6   143        1   840.141195         Stim
