file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P27C_11BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_15_0925
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   223        1   769.023978         Stim
      2     1   361        0   578.693854         Stim
      3     1   181        1   600.225040         Stim
      4     6   243        1   643.004402         Stim
      5     1   364        1   684.526388         Stim
      6     6   285        1   608.002229         Stim
      7     0   362        0  1515.793000         Stim
      8     1   384        1   735.174373         Stim
      9     1   281        1   539.925777         Stim
     10     1   361        1   670.761195         Stim
     11     6   383        1   685.436376         Stim
     12     1   281        1   559.081852         Stim
     13     6   261        1   721.871949         Stim
     14     6   263        1   735.731686         Stim
     15     1   163        1   569.382499         Stim
     16     1   143        1   641.955708         Stim
     17     1   343        0   836.033388         Stim
     18     1   181        1   693.573082         Stim
     19     6   144        1   568.398805         Stim
     20     6   341        1   653.127468         Stim
     21     1   181        1   623.877249         Stim
     22     1   342        1   754.185211         Stim
     23     1   386        1   552.525962         Stim
     24     6   181        1   627.659637         Stim
     25     1   142        1   558.472291         Stim
     26     1   242        1   514.987269         Stim
     27     1   364        1   666.836991         Stim
     28     6   284        1   631.564560         Stim
     29     6   363        1   740.209782         Stim
     30     1   381        1   909.454384         Stim
     31     6   184        1   968.587084         Stim
     32     6   142        1   580.357707         Stim
     33     6   144        1   643.279948         Stim
     34     1   342        1   720.032692         Stim
     35     6   281        1   701.977248         Stim
     36     6   362        1  1072.841602         Stim
     37     1   281        1   815.099945         Stim
     38     1   362        1  1153.931870         Stim
     39     1   181        1   760.258429         Stim
     40     1   141        1   651.063357         Stim
     41     6   141        1   925.863392         Stim
     42     1   146        1   920.588201         Stim
     43     1   243        1   555.142720         Stim
     44     6   162        1   725.313481         Stim
     45     0   242        0  1515.793000         Stim
     46     1   261        1   553.539512         Stim
     47     6   162        1   717.530071         Stim
     48     1   341        1   827.544318         Stim
     49     6   383        1   558.722024         Stim
     50     6   385        1   879.832831         Stim
     51     1   281        1   551.833363         Stim
     52     0   163        0  1515.793000         Stim
     53     6   341        1   740.112128         Stim
     54     0   182        0  1515.793000         Stim
     55     1   241        1  1077.200274         Stim
     56     1   162        1   624.042702         Stim
     57     1   242        1   678.409942         Stim
     58     6   362        1   684.345386         Stim
     59     0   286        0  1515.793000         Stim
     60     1   161        0   981.869915         Stim
     61     0   145        0  1515.793000         Stim
     62     6   341        1   696.560863         Stim
     63     6   282        1   507.443330         Stim
     64     1   261        1   651.232231         Stim
     65     1   361        1   878.032138         Stim
     66     1   285        1   584.909821         Stim
     67     6   262        1  1144.653171         Stim
     68     1   264        1   567.156980         Stim
     69     6   161        1   587.176392         Stim
     70     1   341        1   662.624801         Stim
     71     0   183        0  1515.793000         Stim
     72     0   241        0  1515.793000         Stim
