file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P271BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_21_1441
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1  1101.615056         Stim
      2     6    27        1  1017.178735         Stim
      3     1    16        1   519.652276         Stim
      4     6    27        1   504.781477         Stim
      5     6    28        1   633.566780         Stim
      6     1    18        1   727.502613         Stim
      7     1    18        1   731.451698         Stim
      8     1    16        1   529.922445         Stim
      9     6    27        1   467.101902         Stim
     10     1    16        1   550.629170         Stim
     11     6    27        1   365.096539         Stim
     12     1    18        1   449.041170         Stim
     13     6    26        1   397.058993         Stim
     14     1    15        1   494.221144         Stim
     15     6    27        1   529.772543         Stim
     16     1    16        1   360.236534         Stim
     17     6    27        1   345.456858         Stim
     18     1    16        1   495.375267         Stim
     19     6    17        0   381.774562         Stim
     20     0    18        0  1465.794000         Stim
     21     1    16        1   374.924466         Stim
     22     6    25        1   378.923932         Stim
     23     1    15        1   342.960146         Stim
     24     6    27        1   346.902078         Stim
     25     1    18        1   350.861736         Stim
     26     6    28        1   554.864685         Stim
     27     1    28        0   374.807219         Stim
     28     6    26        1   400.050507         Stim
     29     6    17        0   493.986961         Stim
     30     0    26        0  1465.794000         Stim
     31     6    25        1   939.185098         Stim
     32     0    17        0  1465.794000         Stim
     33     6    26        1   633.912614         Stim
     34     0    17        0  1465.794000         Stim
     35     6    28        1   657.510708         Stim
     36     0    16        0  1465.794000         Stim
     37     6    25        1   613.028931         Stim
     38     6    17        0   515.474607         Stim
     39     6    26        1   556.650139         Stim
     40     1    25        0   362.616933         Stim
     41     6    25        1   678.642881         Stim
     42     1    15        1   693.048735         Stim
     43     6    27        1   579.406979         Stim
     44     6    28        1   601.773823         Stim
     45     1    16        1   600.076692         Stim
     46     6    25        1   441.339553         Stim
     47     1    15        1   410.148381         Stim
     48     6    25        1   432.071117         Stim
     49     6    27        1   398.435481         Stim
     50     6    26        1   599.673325         Stim
     51     0    17        0  1465.794000         Stim
     52     1    16        1   624.420878         Stim
     53     6    17        0   444.386426         Stim
     54     6    26        1   688.371910         Stim
     55     6    25        1   553.653338         Stim
     56     1    17        1   618.355746         Stim
     57     0    16        0  1465.794000         Stim
     58     1    15        1   703.503016         Stim
     59     1    15        1   819.497802         Stim
     60     1    15        1   449.931876         Stim
     61     6    17        0   669.888839         Stim
     62     6    26        1   636.268442         Stim
     63     1    27        0   573.465003         Stim
     64     0    16        0  1465.794000         Stim
     65     0    27        0  1465.794000         Stim
     66     6    28        1   944.219884         Stim
     67     1    18        1   408.957872         Stim
     68     6    26        1   478.934226         Stim
     69     1    27        0   504.178136         Stim
     70     6    16        0   686.183710         Stim
     71     1    15        1   839.318797         Stim
     72     6    27        1   690.833478         Stim
     73     6    18        0   758.912730         Stim
     74     1    16        1   552.080919         Stim
     75     6    15        0   352.885416         Stim
     76     6    25        1   662.920873         Stim
     77     1    17        1   714.811305         Stim
     78     6    16        0   684.037806         Stim
     79     1    15        1   567.595490         Stim
     80     1    27        0   445.975327         Stim
     81     0    18        0  1465.794000         Stim
     82     0    26        0  1465.794000         Stim
     83     6    15        0   354.074371         Stim
     84     0    25        0  1465.794000         Stim
     85     6    27        1   906.614328         Stim
     86     6    28        1   782.678765         Stim
     87     6    26        1   650.656569         Stim
     88     1    15        1   718.669578         Stim
     89     1    25        0   453.021043         Stim
     90     6    27        1   947.397688         Stim
     91     1    16        1   770.545392         Stim
     92     0    15        0  1465.794000         Stim
     93     0    17        0  1465.794000         Stim
     94     1    18        1   607.303412         Stim
     95     1    18        1   829.698619         Stim
     96     1    18        1   886.946657         Stim
     97     6    26        1   538.527207         Stim
     98     1    17        1   576.953495         Stim
     99     6    28        1   663.281634         Stim
    100     6    28        1   771.220574         Stim
    101     6    28        1  1281.633337         Stim
    102     1    26        0   650.842236         Stim
    103     0    27        0  1465.794000         Stim
    104     6    28        1  1360.718586         Stim
    105     1    18        1   568.740594         Stim
    106     6    28        1   538.008459         Stim
    107     6    28        1   621.516755         Stim
    108     6    28        1   774.704713         Stim
    109     6    26        1   586.337002         Stim
    110     1    15        1   694.329434         Stim
    111     6    25        1   660.692554         Stim
    112     1    17        1   667.172250         Stim
    113     1    18        1   719.015721         Stim
    114     6    26        1   597.465843         Stim
    115     6    25        1   641.450021         Stim
    116     6    25        1   610.553988         Stim
    117     6    27        1   968.634978         Stim
    118     6    26        1  1273.743566         Stim
    119     1    17        1   652.070066         Stim
    120     0    26        0  1465.794000         Stim
    121     0    15        0  1465.794000         Stim
    122     0    17        0  1465.794000         Stim
    123     0    16        0  1465.794000         Stim
    124     0    15        0  1465.794000         Stim
    125     1    17        1   647.199487         Stim
    126     1    18        1  1259.251876         Stim
    127     6    26        1   575.977886         Stim
    128     1    15        1   611.951003         Stim
    129     6    25        1   618.339264         Stim
    130     0    17        0  1465.794000         Stim
    131     1    28        0   521.100606         Stim
    132     1    28        0   964.756803         Stim
    133     1    16        1   805.884378         Stim
    134     1    17        1   795.932052         Stim
    135     6    26        1   815.813379         Stim
    136     1    17        1   699.881416         Stim
    137     1    16        1   594.232683         Stim
    138     1    15        1   758.201472         Stim
    139     6    25        1   631.400662         Stim
    140     1    17        1   538.997129         Stim
    141     1    18        1   809.445956         Stim
    142     0    18        0  1465.794000         Stim
    143     6    28        1  1086.527179         Stim
    144     1    16        1   684.611602         Stim
    145     6    25        1   661.749023         Stim
    146     6    25        1   699.737111         Stim
    147     1    17        1   706.085876         Stim
    148     1    16        1   712.458586         Stim
    149     1    15        1   532.397388         Stim
    150     1    17        1  1197.665693         Stim
    151     6    28        1  1442.325425         Stim
    152     0    28        0  1465.794000         Stim
    153     0    28        0  1465.794000         Stim
    154     0    28        0  1465.794000         Stim
    155     1    18        1   677.160341         Stim
    156     6    26        1   725.974979         Stim
