file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P27E2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_21_1623
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   321        1   835.761263         Stim
      2     6   284        1   575.308613         Stim
      3     6   163        1   604.032308         Stim
      4     1   342        1   949.212375         Stim
      5     6   183        1   979.570067         Stim
      6     0   344        0  1515.669000         Stim
      7     1   381        1   633.473791         Stim
      8     1   282        1   724.372082         Stim
      9     1   363        1   818.640064         Stim
     10     6   181        1   715.447612         Stim
     11     1   145        1   606.958823         Stim
     12     6   241        1   582.802792         Stim
     13     1   263        1   585.658399         Stim
     14     1   164        0   875.121796         Stim
     15     1   142        1   790.640377         Stim
     16     1   243        1   829.884597         Stim
     17     1   261        1   695.476716         Stim
     18     6   365        1   906.145338         Stim
     19     1   183        1   786.134603         Stim
     20     0   142        0  1515.669000         Stim
     21     6   241        1   657.663721         Stim
     22     6   361        0   948.447625         Stim
     23     1   282        1   950.961754         Stim
     24     1   162        1   645.607475         Stim
     25     6   343        1   731.558370         Stim
     26     6   286        1   661.085348         Stim
     27     1   162        1   656.226587         Stim
     28     1   141        1   910.484728         Stim
     29     1   344        1   881.278361         Stim
     30     6   281        1   733.983553         Stim
     31     1   362        1   688.814463         Stim
     32     6   381        1   678.070018         Stim
     33     1   281        1  1089.974308         Stim
     34     6   263        1   772.763758         Stim
     35     6   362        1   926.319630         Stim
     36     6   281        1   684.325482         Stim
     37     6   161        1   655.076507         Stim
     38     1   244        1   578.215225         Stim
     39     1   262        1   694.625507         Stim
     40     1   362        1   812.923564         Stim
     41     6   281        1   914.899070         Stim
     42     0   362        0  1515.669000         Stim
     43     1   285        1   692.055088         Stim
     44     6   361        1  1035.917758         Stim
     45     1   383        1  1158.678670         Stim
     46     6   384        1   864.257305         Stim
     47     1   181        1   693.039093         Stim
     48     6   242        1   783.805209         Stim
     49     6   163        1   597.812298         Stim
     50     1   341        1   935.301946         Stim
     51     1   181        1   818.051650         Stim
     52     6   241        1   605.326070         Stim
     53     1   162        1   696.052688         Stim
     54     1   144        1   646.076154         Stim
     55     1   241        1   682.783542         Stim
     56     6   265        1   661.610006         Stim
     57     1   263        1   597.011783         Stim
     58     6   164        1   902.950430         Stim
     59     1   341        1   987.817489         Stim
     60     6   181        1   702.560685         Stim
     61     1   242        1   424.905977         Stim
     62     6   362        1   631.664391         Stim
     63     1   186        1   773.663794         Stim
     64     6   142        1   793.116253         Stim
     65     6   341        1   631.093704         Stim
     66     6   383        1   769.935209         Stim
     67     1   381        1  1347.404965         Stim
     68     6   181        1  1254.190965         Stim
     69     6   241        1   640.953975         Stim
     70     6   366        1   828.172850         Stim
     71     6   181        1  1247.215223         Stim
     72     1   141        1  1082.069297         Stim
