file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P28C1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_15_1352
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   122        1   681.267280         Stim
      2     6   242        1   640.245196         Stim
      3     1   262        1   541.179142         Stim
      4     1   163        1   625.151848         Stim
      5     6   141        1   574.076551         Stim
      6     1   146        1   520.179512         Stim
      7     1   344        1   699.928780         Stim
      8     1   281        1   776.912287         Stim
      9     6   161        1   767.853977         Stim
     10     6   245        1   603.876046         Stim
     11     1   161        1   830.015955         Stim
     12     6   243        1   612.769524         Stim
     13     6   261        1   633.675542         Stim
     14     1   165        1   672.764424         Stim
     15     1   143        1   986.637702         Stim
     16     6   341        1   830.522891         Stim
     17     1   281        1   541.556390         Stim
     18     6   261        0   498.422275         Stim
     19     1   361        1   593.477930         Stim
     20     6   383        1   647.393318         Stim
     21     1   386        1   779.494867         Stim
     22     1   281        1   826.360410         Stim
     23     6   362        1   809.380511         Stim
     24     6   182        1   590.268366         Stim
     25     6   242        1   778.282883         Stim
     26     6   362        1   921.298816         Stim
     27     6   184        1   598.213281         Stim
     28     1   342        1   954.238211         Stim
     29     6   282        1   727.084739         Stim
     30     1   163        1   779.049820         Stim
     31     6   241        1   672.004018         Stim
     32     1   162        1   822.934698         Stim
     33     6   343        1   731.997985         Stim
     34     1   181        1   856.010313         Stim
     35     6   245        0  1094.904506         Stim
     36     6   363        1  1144.726767         Stim
     37     6   181        1  1298.730481         Stim
     38     6   143        1   585.593038         Stim
     39     6   241        1   614.685932         Stim
     40     1   361        1   973.752795         Stim
     41     6   286        1   643.526913         Stim
     42     1   161        1   907.436734         Stim
     43     1   141        1   679.445417         Stim
     44     6   342        1  1052.295056         Stim
     45     6   182        1   675.429730         Stim
     46     6   345        1   736.398695         Stim
     47     6   283        1   562.294154         Stim
     48     1   263        1   750.255179         Stim
     49     6   264        1   720.212167         Stim
     50     1   262        1  1188.078274         Stim
     51     6   162        1   705.132814         Stim
     52     1   241        1   736.111638         Stim
     53     1   364        1   943.049521         Stim
     54     6   383        1   672.972796         Stim
     55     6   181        1   877.048818         Stim
     56     6   341        1   697.891702         Stim
     57     6   283        1   721.837164         Stim
     58     1   361        1   645.852603         Stim
     59     1   382        1   620.855324         Stim
     60     6   184        1   793.724245         Stim
     61     6   341        1   739.769359         Stim
     62     1   384        1   978.766806         Stim
     63     6   381        1   876.674058         Stim
     64     6   184        1   739.647446         Stim
     65     1   341        1   837.601971         Stim
     66     1   181        1   684.548064         Stim
     67     1   341        1   698.406103         Stim
     68     1   281        1   793.507475         Stim
     69     6   162        1   648.441402         Stim
     70     1   244        1   708.417641         Stim
     71     1   261        1   966.405008         Stim
     72     1   362        1   917.379851         Stim
