file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P29C1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Dec_28_0938
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1  1107.165793         Stim
      2     1    18        1   551.358155         Stim
      3     0    28        0  1465.793000         Stim
      4     6    28        1   791.291613         Stim
      5     6    26        1   661.652613         Stim
      6     1    15        1   769.679878         Stim
      7     1    17        1   749.585825         Stim
      8     6    26        1   614.827446         Stim
      9     1    15        1   498.469722         Stim
     10     1    15        1   619.634891         Stim
     11     6    25        1   564.426396         Stim
     12     1    17        1   557.177596         Stim
     13     6    26        1   624.789103         Stim
     14     6    25        1   612.736590         Stim
     15     1    17        1   531.073770         Stim
     16     1    18        1   745.492436         Stim
     17     6    26        1   533.546846         Stim
     18     6    27        1   633.505202         Stim
     19     6    28        1   607.911417         Stim
     20     1    18        1   635.877825         Stim
     21     6    26        1   629.031461         Stim
     22     1    15        1   536.630104         Stim
     23     6    25        1   537.794801         Stim
     24     1    15        1   485.352966         Stim
     25     1    15        1   499.855230         Stim
     26     1    17        1   490.188401         Stim
     27     1    16        1   510.146547         Stim
     28     6    25        1   578.183813         Stim
     29     6    27        1   643.354588         Stim
     30     1    16        1   572.128634         Stim
     31     1    15        1   511.737003         Stim
     32     1    17        1   715.689571         Stim
     33     6    26        1   633.976368         Stim
     34     6    27        1   795.277706         Stim
     35     6    26        1   641.191891         Stim
     36     1    17        1   533.208788         Stim
     37     6    26        1   601.098640         Stim
     38     1    15        1   551.575855         Stim
     39     6    17        0   736.773538         Stim
     40     0    28        0  1465.793000         Stim
     41     6    28        1   726.260477         Stim
     42     1    16        1   649.894929         Stim
     43     6    25        1   773.931565         Stim
     44     1    15        1   612.239300         Stim
     45     1    17        1   754.779533         Stim
     46     1    18        1   683.718098         Stim
     47     1    16        1   625.865786         Stim
     48     6    27        1   512.172093         Stim
     49     1    18        1   569.374413         Stim
     50     1    18        1   567.351355         Stim
     51     6    28        1   672.578993         Stim
     52     6    26        1   732.189701         Stim
     53     1    15        1   578.583138         Stim
     54     6    25        1   672.906477         Stim
     55     1    15        1   578.078384         Stim
     56     6    25        1   578.884808         Stim
     57     1    17        1   390.419443         Stim
     58     1    18        1   564.819189         Stim
     59     6    26        1   478.112874         Stim
     60     1    15        1   502.829327         Stim
     61     6    27        1   490.377801         Stim
     62     1    18        1   379.539713         Stim
     63     6    26        1   492.429471         Stim
     64     1    15        1   442.318583         Stim
     65     1    27        0   598.406931         Stim
     66     1    18        1   631.430829         Stim
     67     6    28        1   584.366503         Stim
     68     6    28        1   707.951567         Stim
     69     6    26        1   639.901550         Stim
     70     6    27        1   769.097996         Stim
     71     1    16        1   679.016703         Stim
     72     6    27        1   712.210719         Stim
     73     6    28        1   750.268160         Stim
     74     6    28        1   655.467124         Stim
     75     1    16        1   581.354774         Stim
     76     1    17        1   779.835288         Stim
     77     6    26        1   637.024484         Stim
     78     1    15        1   506.911208         Stim
     79     6    27        1   548.145520         Stim
     80     1    18        1   615.750806         Stim
     81     1    16        1   590.122189         Stim
     82     6    25        1   716.503148         Stim
     83     6    25        1   813.670275         Stim
     84     1    17        1   707.657672         Stim
     85     6    28        1   737.992971         Stim
     86     1    16        1   699.190684         Stim
     87     1    15        1   521.170270         Stim
     88     1    17        1   565.180261         Stim
     89     1    16        1   489.207195         Stim
     90     6    27        1   623.542924         Stim
     91     1    16        1   432.722041         Stim
     92     1    15        1   529.467141         Stim
     93     1    15        1   629.072201         Stim
     94     6    25        1   585.179147         Stim
     95     1    15        1   455.453067         Stim
     96     1    17        1   605.855704         Stim
     97     1    16        1   615.057587         Stim
     98     1    15        1   498.602519         Stim
     99     1    15        1   523.806621         Stim
    100     1    17        1   660.613871         Stim
    101     6    28        1   682.582635         Stim
    102     1    16        1   518.587100         Stim
    103     1    17        1   602.499698         Stim
    104     6    26        1   574.505299         Stim
    105     6    25        1   692.931798         Stim
    106     6    27        1   894.099357         Stim
    107     6    28        1   900.030136         Stim
    108     1    18        1   565.272006         Stim
    109     0    18        0  1465.793000         Stim
    110     6    26        1   612.413460         Stim
    111     1    17        1   682.806867         Stim
    112     6    28        1   614.790126         Stim
    113     6    26        1   565.229399         Stim
    114     1    15        1   633.177719         Stim
    115     6    27        1   807.520241         Stim
    116     1    18        1   616.660794         Stim
    117     6    28        1   630.735121         Stim
    118     6    28        1   527.923023         Stim
    119     1    16        1   627.512845         Stim
    120     1    15        1   559.440124         Stim
    121     6    27        1   672.658920         Stim
    122     6    28        1   686.694995         Stim
    123     6    26        1   541.038847         Stim
    124     6    27        1   649.020084         Stim
    125     6    26        1   572.973000         Stim
    126     6    25        1   569.058437         Stim
    127     6    27        1   690.219563         Stim
    128     1    16        1   482.966970         Stim
    129     6    27        1   686.553800         Stim
    130     1    18        1   628.963973         Stim
    131     1    16        1   507.333236         Stim
    132     6    25        1   660.413587         Stim
    133     6    27        1   829.378910         Stim
    134     6    26        1   643.236719         Stim
    135     6    25        1   604.471440         Stim
    136     1    17        1   669.229829         Stim
    137     6    26        1   574.019517         Stim
    138     6    25        1   603.978816         Stim
    139     6    27        1   746.366659         Stim
    140     6    28        1   907.570032         Stim
    141     1    18        1   689.878707         Stim
    142     6    26        1   627.130004         Stim
    143     6    27        1   633.215661         Stim
    144     6    26        1   607.507116         Stim
    145     6    27        1   776.663394         Stim
    146     1    18        1   676.214278         Stim
    147     6    26        1   656.253023         Stim
    148     6    25        1   588.236904         Stim
    149     1    17        1   746.573474         Stim
    150     1    18        1   686.591120         Stim
    151     6    28        1   650.551762         Stim
    152     1    16        1   630.547588         Stim
    153     1    17        1   788.976214         Stim
    154     1    18        1   974.093970         Stim
    155     1    16        1   558.957452         Stim
    156     1    17        1   695.704990         Stim
