file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P29C2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Dec_28_1114
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   123        1   648.153637         Stim
      2     1   241        1   713.770697         Stim
      3     1   161        1   668.576728         Stim
      4     1   143        1   455.716795         Stim
      5     6   243        1   656.948731         Stim
      6     1   261        1   930.445362         Stim
      7     6   164        1   749.246523         Stim
      8     6   142        1   825.952929         Stim
      9     1   141        1   727.927129         Stim
     10     1   341        1   619.140401         Stim
     11     1   185        1   565.856686         Stim
     12     6   342        1  1037.908472         Stim
     13     6   283        1  1163.835370         Stim
     14     1   361        1   669.302603         Stim
     15     6   184        1   704.182863         Stim
     16     1   141        1   780.862833         Stim
     17     6   241        1   655.703173         Stim
     18     6   361        1   682.849162         Stim
     19     1   381        1   653.582462         Stim
     20     6   182        1   584.428703         Stim
     21     6   245        1   822.327596         Stim
     22     1   362        1   870.674489         Stim
     23     6   182        1   828.680092         Stim
     24     6   142        1   866.607535         Stim
     25     1   241        1   768.919171         Stim
     26     6   261        1  1107.685164         Stim
     27     1   163        1   742.542286         Stim
     28     1   141        1   752.085336         Stim
     29     1   241        1   930.840333         Stim
     30     6   362        1   653.633154         Stim
     31     1   384        1   780.014424         Stim
     32     1   384        1   656.760886         Stim
     33     0   282        0  1515.672000         Stim
     34     1   364        1   803.451732         Stim
     35     6   184        1   696.117377         Stim
     36     1   341        1   812.840526         Stim
     37     1   186        1  1023.669625         Stim
     38     6   243        1   890.737752         Stim
     39     6   262        1   812.245582         Stim
     40     1   261        1  1362.287893         Stim
     41     1   262        1   837.405522         Stim
     42     6   266        1   899.330074         Stim
     43     1   366        1  1310.504446         Stim
     44     1   283        1   905.926705         Stim
     45     1   264        1   835.138950         Stim
     46     6   161        1   687.905098         Stim
     47     1   343        0   610.739345         Stim
     48     1   285        1  1060.189791         Stim
     49     6   262        1  1220.099091         Stim
     50     6   161        1   769.808943         Stim
     51     1   141        1   741.235462         Stim
     52     6   244        1   768.155975         Stim
     53     6   363        1   684.843920         Stim
     54     1   281        1   773.866566         Stim
     55     1   162        1   697.134348         Stim
     56     1   241        1   799.079998         Stim
     57     1   362        1   657.917186         Stim
     58     6   382        1   776.272466         Stim
     59     6   181        1   942.224195         Stim
     60     6   341        1   800.210174         Stim
     61     6   381        1   756.214801         Stim
     62     1   282        1  1182.901877         Stim
     63     6   363        1  1396.914688         Stim
     64     1   182        1   870.500017         Stim
     65     1   342        1   852.832701         Stim
     66     6   281        1   994.751245         Stim
     67     6   363        1   765.565963         Stim
     68     6   181        1   647.169320         Stim
     69     0   345        0  1515.672000         Stim
     70     1   183        1  1153.746514         Stim
     71     1   341        1   691.430599         Stim
     72     6   381        1  1038.105646         Stim
