file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P29E1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Dec_29_1300
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   628.086330         Stim
      2     6    27        1   576.240371         Stim
      3     1    16        1   558.610375         Stim
      4     6    27        1   471.829109         Stim
      5     6    28        1   560.587716         Stim
      6     1    18        1   614.582689         Stim
      7     1    18        1   634.580953         Stim
      8     1    16        1   577.017562         Stim
      9     6    27        1   594.096154         Stim
     10     1    16        1   525.791115         Stim
     11     6    27        1   540.084076         Stim
     12     1    18        1   608.086199         Stim
     13     6    26        1   588.065232         Stim
     14     1    15        1   525.272366         Stim
     15     6    27        1   600.852950         Stim
     16     1    16        1   631.192603         Stim
     17     6    27        1   536.426088         Stim
     18     1    16        1   518.410762         Stim
     19     1    17        1   564.758855         Stim
     20     1    18        1   584.694920         Stim
     21     1    16        1   465.953999         Stim
     22     6    25        1   613.508182         Stim
     23     1    15        1   529.516901         Stim
     24     6    27        1   653.555715         Stim
     25     1    18        1   593.513027         Stim
     26     6    28        1   525.397388         Stim
     27     6    28        1   569.465536         Stim
     28     6    26        1   530.617532         Stim
     29     1    17        1   568.634232         Stim
     30     6    26        1   588.550704         Stim
     31     6    25        1   605.821182         Stim
     32     1    17        1   550.564170         Stim
     33     6    26        1   572.536044         Stim
     34     1    17        1   586.884052         Stim
     35     6    28        1   564.065635         Stim
     36     1    16        1   602.124320         Stim
     37     6    25        1   542.103402         Stim
     38     1    17        1   572.464203         Stim
     39     6    26        1   525.682576         Stim
     40     6    25        1   595.664840         Stim
     41     6    25        1   631.642932         Stim
     42     1    15        1   614.067361         Stim
     43     6    27        1   628.383958         Stim
     44     6    28        1   682.761771         Stim
     45     1    16        1   521.162495         Stim
     46     6    25        1   546.259923         Stim
     47     1    15        1   499.119091         Stim
     48     6    25        1   569.100111         Stim
     49     6    27        1   511.514949         Stim
     50     6    26        1   512.690220         Stim
     51     1    17        1   702.664248         Stim
     52     1    16        1   551.875659         Stim
     53     1    17        1   539.487888         Stim
     54     0    26        0  1465.671000         Stim
     55     6    25        1   608.562652         Stim
     56     1    17        1   609.420081         Stim
     57     1    16        1   599.395602         Stim
     58     1    15        1   640.575177         Stim
     59     1    15        1   580.132853         Stim
     60     1    15        1   506.510640         Stim
     61     1    17        1   742.545085         Stim
     62     6    26        1   572.853264         Stim
     63     6    27        1   758.125899         Stim
     64     1    16        1   646.755379         Stim
     65     6    27        1   618.399287         Stim
     66     6    28        1   616.849260         Stim
     67     1    18        1   556.823677         Stim
     68     6    26        1   507.173693         Stim
     69     6    27        1   572.407290         Stim
     70     1    16        1   658.369692         Stim
     71     1    15        1   491.634553         Stim
     72     6    27        1   567.083895         Stim
     73     1    18        1   587.191320         Stim
     74     1    16        1   588.437810         Stim
     75     1    15        1   605.067318         Stim
     76     0    25        0  1465.671000         Stim
     77     1    17        1   583.063100         Stim
     78     1    16        1   560.276094         Stim
     79     1    15        1   499.820397         Stim
     80     6    27        1   642.234676         Stim
     81     1    18        1   571.388452         Stim
     82     6    26        1   524.071904         Stim
     83     1    15        1   559.770096         Stim
     84     6    25        1   595.762494         Stim
     85     6    27        1   588.974908         Stim
     86     6    28        1   624.443892         Stim
     87     6    26        1   604.467086         Stim
     88     1    15        1   520.460256         Stim
     89     6    25        1   526.865933         Stim
     90     6    27        1   669.124400         Stim
     91     1    16        1   577.194210         Stim
     92     1    15        1   546.372195         Stim
     93     1    17        1   539.193993         Stim
     94     1    18        1   670.866002         Stim
     95     1    18        1   661.079128         Stim
     96     1    18        1   526.409695         Stim
     97     6    26        1   593.952160         Stim
     98     1    17        1   560.295376         Stim
     99     6    28        1   614.720462         Stim
    100     6    28        1   602.693140         Stim
    101     6    28        1   553.070834         Stim
    102     6    26        1   602.232859         Stim
    103     6    27        1   624.302698         Stim
    104     6    28        1   548.226069         Stim
    105     1    18        1   730.617283         Stim
    106     6    28        1   611.811363         Stim
    107     6    28        1   959.349748         Stim
    108     6    28        1   568.537822         Stim
    109     6    26        1   636.169233         Stim
    110     1    15        1   552.112953         Stim
    111     6    25        1   510.517259         Stim
    112     1    17        1   492.885086         Stim
    113     1    18        1   576.876056         Stim
    114     6    26        1   623.226014         Stim
    115     6    25        1   523.204213         Stim
    116     6    25        1   508.468077         Stim
    117     6    27        1   538.399386         Stim
    118     6    26        1   539.636857         Stim
    119     1    17        1   636.354900         Stim
    120     6    26        1   589.205982         Stim
    121     1    15        1   533.957366         Stim
    122     1    17        1   593.478195         Stim
    123     1    16        1   821.547607         Stim
    124     1    15        1   667.903723         Stim
    125     1    17        1   525.108159         Stim
    126     1    18        1   616.630938         Stim
    127     6    26        1   583.081448         Stim
    128     1    15        1   570.981353         Stim
    129     6    25        1   609.436875         Stim
    130     1    17        1   533.439861         Stim
    131     0    28        0  1465.671000         Stim
    132     6    28        1   602.506540         Stim
    133     1    16        1   587.367036         Stim
    134     1    17        1   673.340945         Stim
    135     6    26        1   693.294736         Stim
    136     1    17        1   705.347871         Stim
    137     1    16        1   703.723826         Stim
    138     1    15        1   539.676976         Stim
    139     6    25        1   564.868327         Stim
    140     1    17        1   616.429721         Stim
    141     1    18        1   574.803859         Stim
    142     1    18        1   658.772748         Stim
    143     6    28        1   596.013160         Stim
    144     1    16        1   521.990378         Stim
    145     6    25        1   515.204970         Stim
    146     6    25        1   529.152098         Stim
    147     1    17        1   567.706206         Stim
    148     1    16        1   509.913296         Stim
    149     1    15        1   529.867710         Stim
    150     1    17        1   643.114185         Stim
    151     6    28        1   571.865838         Stim
    152     6    28        1   636.545232         Stim
    153     6    28        1   546.642454         Stim
    154     6    28        1   707.835875         Stim
    155     1    18        1   604.632850         Stim
    156     6    26        1   525.439685         Stim
