file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P29E1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Dec_29_1313
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1   760.240702         Stim
      2     1   262        1   587.565454         Stim
      3     1   361        1   649.581751         Stim
      4     6   385        1   692.307310         Stim
      5     6   182        1   908.164665         Stim
      6     1   141        1   866.611889         Stim
      7     1   145        1   621.344462         Stim
      8     6   243        1   749.272959         Stim
      9     6   261        1   710.789758         Stim
     10     1   161        1   641.566646         Stim
     11     6   343        1   708.396609         Stim
     12     6   281        1   685.928689         Stim
     13     6   164        1   720.672110         Stim
     14     1   344        1   701.443260         Stim
     15     1   383        1   578.221133         Stim
     16     6   181        1   707.359734         Stim
     17     1   341        1   630.443403         Stim
     18     1   281        1   577.258275         Stim
     19     1   361        1   684.029099         Stim
     20     6   181        1   710.857245         Stim
     21     6   341        1   770.061165         Stim
     22     1   281        1   572.786089         Stim
     23     1   265        1   615.585976         Stim
     24     6   361        1   751.470799         Stim
     25     1   382        1   642.268574         Stim
     26     1   183        1   936.594775         Stim
     27     1   244        1   777.830579         Stim
     28     6   162        1   854.444306         Stim
     29     6   143        1   732.914954         Stim
     30     1   142        1   710.114575         Stim
     31     6   246        1   732.423263         Stim
     32     6   161        1   631.492096         Stim
     33     1   142        1   634.333086         Stim
     34     1   144        1   776.610523         Stim
     35     6   241        1   772.985502         Stim
     36     6   163        1   752.158422         Stim
     37     6   342        1   841.316664         Stim
     38     6   281        1   895.653737         Stim
     39     1   364        1   890.432038         Stim
     40     1   186        1   695.114089         Stim
     41     6   342        1   794.260424         Stim
     42     6   282        1   655.233563         Stim
     43     1   363        1   750.604663         Stim
     44     1   382        1   704.135902         Stim
     45     6   284        1   950.100593         Stim
     46     6   361        1   730.823787         Stim
     47     6   281        1   781.567561         Stim
     48     6   364        1   712.400429         Stim
     49     1   381        1   741.088048         Stim
     50     6   181        1   727.907225         Stim
     51     1   242        1   611.182831         Stim
     52     6   363        1   865.088920         Stim
     53     1   182        1   818.552050         Stim
     54     6   346        1   696.623063         Stim
     55     1   283        1   803.662280         Stim
     56     6   261        1   757.237992         Stim
     57     1   161        1   712.040291         Stim
     58     6   144        1   649.856986         Stim
     59     6   245        1   727.573521         Stim
     60     1   263        1   623.522398         Stim
     61     6   362        1   665.002400         Stim
     62     1   182        1   590.307856         Stim
     63     1   242        1   781.330578         Stim
     64     6   163        1  1203.259036         Stim
     65     1   242        1   716.839340         Stim
     66     6   161        1   714.893098         Stim
     67     6   341        1   709.947568         Stim
     68     1   382        1   656.769283         Stim
     69     1   283        1   654.741560         Stim
     70     1   161        1   728.281669         Stim
     71     1   241        1   619.097172         Stim
     72     1   361        1   989.888130         Stim
