file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P29E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Dec_29_1426
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   547.154984         Stim
      2     6   182        1   598.443007         Stim
      3     1   344        1   572.462648         Stim
      4     1   381        1   657.145283         Stim
      5     6   182        1   643.988096         Stim
      6     1   244        1   586.290352         Stim
      7     1   361        1   670.646436         Stim
      8     1   384        1   609.862323         Stim
      9     1   185        1   614.554388         Stim
     10     1   141        1   830.412054         Stim
     11     6   144        1   689.257950         Stim
     12     1   143        1   605.986013         Stim
     13     1   346        1   639.182206         Stim
     14     6   285        1   586.639917         Stim
     15     6   262        1   810.504912         Stim
     16     6   363        1   784.459555         Stim
     17     1   281        1   650.052606         Stim
     18     6   161        1   732.851510         Stim
     19     1   341        1   623.633114         Stim
     20     6   181        1   610.407507         Stim
     21     6   343        1   597.574383         Stim
     22     1   382        1   598.729439         Stim
     23     6   184        1   965.085841         Stim
     24     1   141        1   640.522618         Stim
     25     6   343        1   620.619519         Stim
     26     1   282        1   717.806240         Stim
     27     6   263        1   828.051249         Stim
     28     6   163        1   733.318011         Stim
     29     1   141        1   646.911500         Stim
     30     1   141        1   697.633504         Stim
     31     6   241        1   692.778786         Stim
     32     6   362        1   615.597794         Stim
     33     6   381        1   885.526317         Stim
     34     1   281        1  1032.360845         Stim
     35     6   365        1   555.510322         Stim
     36     1   181        1  1091.416729         Stim
     37     1   341        1   662.207438         Stim
     38     6   283        1   577.072919         Stim
     39     1   261        1   906.601266         Stim
     40     6   361        1  1197.312396         Stim
     41     1   285        1   784.087287         Stim
     42     6   162        1   736.044553         Stim
     43     6   342        1   678.371067         Stim
     44     6   381        1   652.285900         Stim
     45     6   282        1   711.110399         Stim
     46     1   261        1   685.438863         Stim
     47     1   166        1   592.255652         Stim
     48     6   243        1   699.339342         Stim
     49     6   262        1   652.942422         Stim
     50     0   261        0  1515.794000         Stim
     51     1   163        1   694.058864         Stim
     52     6   244        1   631.255736         Stim
     53     6   261        1   667.992358         Stim
     54     1   362        1   702.732357         Stim
     55     1   282        1   677.108405         Stim
     56     1   364        1   707.099426         Stim
     57     1   182        1   895.697899         Stim
     58     1   241        1   598.174302         Stim
     59     6   361        1   632.900618         Stim
     60     6   286        1   619.723527         Stim
     61     6   161        1   638.854411         Stim
     62     1   241        1   560.797020         Stim
     63     1   163        1   708.794689         Stim
     64     1   342        1   685.979694         Stim
     65     6   182        1   668.318287         Stim
     66     1   241        1   666.301137         Stim
     67     6   362        1   748.608350         Stim
     68     1   283        1   611.426345         Stim
     69     1   162        1   700.993553         Stim
     70     6   144        1   610.950825         Stim
     71     6   141        1   783.679565         Stim
     72     6   343        1   866.387968         Stim
      1     6   321        1   684.535096         Stim
      2     6   284        1   535.833010         Stim
      3     6   163        1   724.537534         Stim
      4     1   342        1   845.719498         Stim
      5     6   183        1   708.088718         Stim
      6     1   344        1   893.197766         Stim
      7     1   381        1   969.949266         Stim
      8     1   282        1  1316.744982         Stim
      9     1   363        1  1187.136460         Stim
     10     6   181        1   700.280429         Stim
     11     1   145        1   711.368219         Stim
     12     6   241        1   735.338582         Stim
     13     1   263        1   698.109024         Stim
     14     6   164        1   746.209293         Stim
     15     1   142        1   656.040298         Stim
     16     1   243        1   686.342009         Stim
     17     1   261        1   879.560706         Stim
     18     6   365        1   858.704079         Stim
     19     1   183        1   706.567926         Stim
     20     6   142        1   867.728381         Stim
     21     6   241        1   682.087211         Stim
     22     1   361        1   788.879804         Stim
     23     1   282        1   743.658156         Stim
     24     1   162        1   661.958327         Stim
     25     6   343        1   996.035988         Stim
     26     6   286        1   861.547246         Stim
     27     1   162        1   744.723954         Stim
     28     1   141        1   670.601030         Stim
     29     1   344        1   601.801813         Stim
     30     6   281        1   677.136395         Stim
     31     1   362        1   841.391304         Stim
     32     6   381        1   823.227010         Stim
     33     1   281        1   610.032751         Stim
     34     1   263        0   565.220691         Stim
     35     6   362        1   630.357566         Stim
     36     6   281        1   620.754804         Stim
     37     6   161        1   655.525281         Stim
     38     1   244        1   682.286251         Stim
     39     1   262        1   743.016562         Stim
     40     1   362        1   765.037884         Stim
     41     6   281        1   683.323749         Stim
     42     6   362        1   854.141391         Stim
     43     1   285        1   892.522273         Stim
     44     6   361        1   652.444511         Stim
     45     1   383        1   815.230876         Stim
     46     6   384        1   967.973480         Stim
     47     1   181        1   837.076172         Stim
     48     6   242        1   728.230043         Stim
     49     6   163        1   830.196842         Stim
     50     1   341        1  1103.779620         Stim
     51     1   181        1   602.651155         Stim
     52     6   241        1   685.383195         Stim
     53     1   162        1   544.231267         Stim
     54     1   144        1   806.457552         Stim
     55     1   241        1   603.212510         Stim
     56     6   265        1   630.008002         Stim
     57     1   263        1   709.950056         Stim
     58     6   164        1   735.540110         Stim
     59     1   341        1   771.898866         Stim
     60     6   181        1   806.969148         Stim
     61     1   242        1   705.803176         Stim
     62     6   362        1   671.783143         Stim
     63     1   186        1   766.139759         Stim
     64     6   142        1   929.240857         Stim
     65     6   341        1   799.192270         Stim
     66     6   383        1   794.377360         Stim
     67     6   381        0   707.560328         Stim
     68     1   181        0   614.577712         Stim
     69     6   241        1   569.432570         Stim
     70     6   366        1   700.338897         Stim
     71     6   181        1   871.375483         Stim
     72     1   141        1   713.575078         Stim
