file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P29E2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Dec_29_1432
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   321        1   684.535096         Stim
      2     6   284        1   535.833010         Stim
      3     6   163        1   724.537534         Stim
      4     1   342        1   845.719498         Stim
      5     6   183        1   708.088718         Stim
      6     1   344        1   893.197766         Stim
      7     1   381        1   969.949266         Stim
      8     1   282        1  1316.744982         Stim
      9     1   363        1  1187.136460         Stim
     10     6   181        1   700.280429         Stim
     11     1   145        1   711.368219         Stim
     12     6   241        1   735.338582         Stim
     13     1   263        1   698.109024         Stim
     14     6   164        1   746.209293         Stim
     15     1   142        1   656.040298         Stim
     16     1   243        1   686.342009         Stim
     17     1   261        1   879.560706         Stim
     18     6   365        1   858.704079         Stim
     19     1   183        1   706.567926         Stim
     20     6   142        1   867.728381         Stim
     21     6   241        1   682.087211         Stim
     22     1   361        1   788.879804         Stim
     23     1   282        1   743.658156         Stim
     24     1   162        1   661.958327         Stim
     25     6   343        1   996.035988         Stim
     26     6   286        1   861.547246         Stim
     27     1   162        1   744.723954         Stim
     28     1   141        1   670.601030         Stim
     29     1   344        1   601.801813         Stim
     30     6   281        1   677.136395         Stim
     31     1   362        1   841.391304         Stim
     32     6   381        1   823.227010         Stim
     33     1   281        1   610.032751         Stim
     34     1   263        0   565.220691         Stim
     35     6   362        1   630.357566         Stim
     36     6   281        1   620.754804         Stim
     37     6   161        1   655.525281         Stim
     38     1   244        1   682.286251         Stim
     39     1   262        1   743.016562         Stim
     40     1   362        1   765.037884         Stim
     41     6   281        1   683.323749         Stim
     42     6   362        1   854.141391         Stim
     43     1   285        1   892.522273         Stim
     44     6   361        1   652.444511         Stim
     45     1   383        1   815.230876         Stim
     46     6   384        1   967.973480         Stim
     47     1   181        1   837.076172         Stim
     48     6   242        1   728.230043         Stim
     49     6   163        1   830.196842         Stim
     50     1   341        1  1103.779620         Stim
     51     1   181        1   602.651155         Stim
     52     6   241        1   685.383195         Stim
     53     1   162        1   544.231267         Stim
     54     1   144        1   806.457552         Stim
     55     1   241        1   603.212510         Stim
     56     6   265        1   630.008002         Stim
     57     1   263        1   709.950056         Stim
     58     6   164        1   735.540110         Stim
     59     1   341        1   771.898866         Stim
     60     6   181        1   806.969148         Stim
     61     1   242        1   705.803176         Stim
     62     6   362        1   671.783143         Stim
     63     1   186        1   766.139759         Stim
     64     6   142        1   929.240857         Stim
     65     6   341        1   799.192270         Stim
     66     6   383        1   794.377360         Stim
     67     6   381        0   707.560328         Stim
     68     1   181        0   614.577712         Stim
     69     6   241        1   569.432570         Stim
     70     6   366        1   700.338897         Stim
     71     6   181        1   871.375483         Stim
     72     1   141        1   713.575078         Stim
