file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P30C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_13_1639
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   124        1   745.996879         Stim
      2     6   342        1   654.985073         Stim
      3     1   285        1   565.212605         Stim
      4     1   161        1   661.135419         Stim
      5     6   242        1   599.928967         Stim
      6     6   265        1   589.999655         Stim
      7     1   161        1   637.326465         Stim
      8     1   241        1   665.009863         Stim
      9     1   165        1   579.865393         Stim
     10     1   241        1   659.711037         Stim
     11     6   161        1   694.491466         Stim
     12     6   241        1   993.404924         Stim
     13     1   362        1   644.495027         Stim
     14     1   281        1   714.444014         Stim
     15     6   361        1   613.264358         Stim
     16     6   181        1   576.456205         Stim
     17     6   346        1   595.296926         Stim
     18     6   381        1  1046.222759         Stim
     19     1   284        1   641.078997         Stim
     20     6   362        1   797.743940         Stim
     21     6   281        1   620.168569         Stim
     22     1   162        1   726.994128         Stim
     23     6   144        1   596.890803         Stim
     24     1   141        1   777.630605         Stim
     25     1   341        1   732.419842         Stim
     26     1   182        1   606.544259         Stim
     27     6   246        1   821.585549         Stim
     28     1   161        1   744.639673         Stim
     29     1   344        1   787.420901         Stim
     30     1   381        1   680.120755         Stim
     31     6   383        1   722.446056         Stim
     32     6   381        1   740.519539         Stim
     33     1   184        1   703.294957         Stim
     34     6   342        1   820.055116         Stim
     35     1   282        1   658.326774         Stim
     36     6   161        1   792.384468         Stim
     37     1   342        1   851.199327         Stim
     38     6   183        1   969.485254         Stim
     39     6   243        1   666.668740         Stim
     40     6   161        1   708.180463         Stim
     41     1   242        1   758.992657         Stim
     42     1   361        1   805.277305         Stim
     43     1   283        1   632.080509         Stim
     44     1   262        1  1081.625189         Stim
     45     6   361        1   719.645496         Stim
     46     1   283        1  1082.427570         Stim
     47     6   261        1   755.973464         Stim
     48     1   364        1   614.795413         Stim
     49     6   182        1   723.431617         Stim
     50     1   341        1   665.453039         Stim
     51     6   281        1   892.602511         Stim
     52     6   163        1   919.337979         Stim
     53     6   345        1   743.892340         Stim
     54     1   381        1   776.855592         Stim
     55     1   182        1   667.675449         Stim
     56     6   244        1   617.588508         Stim
     57     6   261        1   870.359134         Stim
     58     6   261        1   737.072409         Stim
     59     1   162        1   620.320647         Stim
     60     6   344        1   778.276242         Stim
     61     1   382        1   711.066859         Stim
     62     1   282        1   757.023713         Stim
     63     1   363        1   803.350035         Stim
     64     6   181        1   884.498772         Stim
     65     6   343        1   903.681593         Stim
     66     1   283        1   792.814272         Stim
     67     1   163        1   738.391673         Stim
     68     6   241        1   666.801537         Stim
     69     1   363        1   710.713874         Stim
     70     6   182        1   951.918702         Stim
     71     1   146        1   950.168391         Stim
     72     6   143        1   833.366869         Stim
