file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P30E1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_27_1523
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1   753.446274         Stim
      2     1   262        1   836.752421         Stim
      3     1   361        1   874.696969         Stim
      4     6   385        1   725.532115         Stim
      5     6   182        1   973.425630         Stim
      6     1   141        1   603.852861         Stim
      7     1   145        1   710.601292         Stim
      8     6   243        1   878.528806         Stim
      9     6   261        1   896.044664         Stim
     10     1   161        1  1034.839829         Stim
     11     6   343        1   725.643141         Stim
     12     6   281        1  1231.146450         Stim
     13     6   164        1   737.960626         Stim
     14     1   344        1   734.643184         Stim
     15     1   383        1   963.355123         Stim
     16     6   181        1   876.579455         Stim
     17     1   341        1   863.708077         Stim
     18     1   281        1   842.421960         Stim
     19     1   361        1   893.318434         Stim
     20     6   181        1   656.127378         Stim
     21     6   341        1   809.826621         Stim
     22     1   281        1   733.995371         Stim
     23     1   265        1   608.845973         Stim
     24     6   361        1   752.769537         Stim
     25     1   382        1   915.495568         Stim
     26     1   183        1   921.879475         Stim
     27     1   244        1   803.035924         Stim
     28     6   162        1   815.797830         Stim
     29     6   143        1   774.071516         Stim
     30     1   142        1   671.302958         Stim
     31     6   246        1  1077.612039         Stim
     32     6   161        1   776.717197         Stim
     33     1   142        1   843.586657         Stim
     34     1   144        1   905.856730         Stim
     35     6   241        1   781.751052         Stim
     36     6   163        1   785.377317         Stim
     37     6   342        1   778.525043         Stim
     38     6   281        1   752.968267         Stim
     39     1   364        1   803.704887         Stim
     40     1   186        1  1136.347280         Stim
     41     6   342        1   731.510476         Stim
     42     6   282        1   713.851557         Stim
     43     1   363        1   751.774336         Stim
     44     1   382        1   769.404642         Stim
     45     6   284        1   711.306952         Stim
     46     6   361        1   884.066169         Stim
     47     6   281        1   822.880244         Stim
     48     6   364        1   873.618108         Stim
     49     1   381        1  1302.330419         Stim
     50     6   181        1   649.222546         Stim
     51     1   242        1   692.354270         Stim
     52     6   363        1   994.305270         Stim
     53     1   182        1   867.785295         Stim
     54     0   346        0  1515.791000         Stim
     55     1   283        1   772.403931         Stim
     56     6   261        1   918.406222         Stim
     57     1   161        1   841.221808         Stim
     58     6   144        1   620.452512         Stim
     59     6   245        1  1104.746521         Stim
     60     1   263        1   695.806066         Stim
     61     6   362        1  1274.182077         Stim
     62     1   182        1   728.564057         Stim
     63     1   242        1   718.572545         Stim
     64     6   163        1   740.175572         Stim
     65     1   242        1   566.032091         Stim
     66     6   161        1   612.364011         Stim
     67     6   341        1   727.270918         Stim
     68     1   382        1   617.967307         Stim
     69     1   283        1   719.987908         Stim
     70     1   161        1  1361.414605         Stim
     71     1   241        1   716.368484         Stim
     72     1   361        1   575.496769         Stim
