file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P30E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_27_1645
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   691.146655         Stim
      2     6   182        1   622.458465         Stim
      3     1   344        1   636.433273         Stim
      4     1   381        1   721.193657         Stim
      5     6   182        1   764.004741         Stim
      6     1   244        1   786.298189         Stim
      7     1   361        1   742.678815         Stim
      8     1   384        1   593.856683         Stim
      9     1   185        1   790.595283         Stim
     10     1   141        1   694.460366         Stim
     11     6   144        1   713.279316         Stim
     12     1   143        1   797.983410         Stim
     13     0   346        0  1515.792000         Stim
     14     6   285        1  1042.660248         Stim
     15     6   262        1   922.576739         Stim
     16     6   363        1   792.533438         Stim
     17     1   281        1   602.024178         Stim
     18     6   161        1   620.861477         Stim
     19     1   341        1   687.636082         Stim
     20     6   181        1   594.466555         Stim
     21     6   343        1   749.531711         Stim
     22     1   382        1   822.749935         Stim
     23     6   184        1  1045.092273         Stim
     24     1   141        1   793.792058         Stim
     25     6   343        1   876.582254         Stim
     26     1   282        1   829.803737         Stim
     27     6   263        1  1292.105968         Stim
     28     6   163        1   620.943271         Stim
     29     1   141        1   598.792883         Stim
     30     1   141        1   609.625652         Stim
     31     6   241        1   668.752754         Stim
     32     6   362        1   719.536958         Stim
     33     6   381        1   885.573900         Stim
     34     1   281        1   616.271421         Stim
     35     6   365        1   971.502714         Stim
     36     1   181        1   659.377956         Stim
     37     1   341        1   766.146912         Stim
     38     6   283        1   569.001213         Stim
     39     0   261        0  1515.792000         Stim
     40     1   361        0   413.366304         Stim
     41     1   285        1   648.078375         Stim
     42     6   162        1   735.995415         Stim
     43     6   342        1   774.279886         Stim
     44     6   381        1   828.373757         Stim
     45     6   282        1   983.089970         Stim
     46     1   261        1   765.463333         Stim
     47     1   166        1   872.237266         Stim
     48     6   243        1   696.546867         Stim
     49     6   262        1   650.155235         Stim
     50     6   261        1   680.162119         Stim
     51     1   163        1   587.274047         Stim
     52     6   244        1   884.384634         Stim
     53     6   261        1  1025.106758         Stim
     54     1   362        1   939.907864         Stim
     55     1   282        1   658.312157         Stim
     56     1   364        1  1056.237597         Stim
     57     1   182        1   900.933904         Stim
     58     1   241        1   731.025627         Stim
     59     6   361        1   766.118922         Stim
     60     6   286        1   696.983202         Stim
     61     6   161        1   716.031982         Stim
     62     1   241        1   550.856511         Stim
     63     1   163        1   594.022757         Stim
     64     1   342        1   955.052654         Stim
     65     6   182        1   977.568778         Stim
     66     1   241        1   591.466022         Stim
     67     6   362        1  1122.207021         Stim
     68     1   283        1   704.621374         Stim
     69     1   162        1   833.792629         Stim
     70     6   144        1   848.173603         Stim
     71     6   141        1  1492.821642         Stim
     72     6   343        1   783.725904         Stim
