file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P31BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Oct_15_1327
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1  1211.078883         Stim
      2     4    28        1   883.820963         Stim
      3     1    18        1   333.931910         Stim
      4     4    26        1   232.867301         Stim
      5     1    17        1   265.877439         Stim
      6     4    16        0   250.853266         Stim
      7     4    27        1   803.166810         Stim
      8     1    16        1   422.344312         Stim
      9     1    15        1   509.967668         Stim
     10     1    15        1   289.017257         Stim
     11     4    27        1   275.103604         Stim
     12     1    16        1   238.978031         Stim
     13     4    27        1   221.157181         Stim
     14     1    18        1   293.171974         Stim
     15     0    18        0  1467.291000         Stim
     16     1    28        0   160.392181         Stim
     17     1    26        0   246.980480         Stim
     18     1    25        0   292.003196         Stim
     19     4    27        1   249.006222         Stim
     20     1    26       -1    16.034479         Stim
     21     4    27        1   274.049832         Stim
     22     1    18        1   265.209739         Stim
     23     4    28        1   418.538840         Stim
     24     1    26        0   273.901923         Stim
     25     4    27        1  1113.082318         Stim
     26     4    18        0   325.569953         Stim
     27     4    26        1   444.970676         Stim
     28     4    27        1   649.873931         Stim
     29     4    16        0   396.952664         Stim
     30     1    15        1   732.683623         Stim
     31     1    27        0   349.607182         Stim
     32     1    28        0   308.670059         Stim
     33     1    16        1   468.565992         Stim
     34     4    17        0   305.592658         Stim
     35     4    26        1   618.237228         Stim
     36     1    27        0   602.557427         Stim
     37     4    26        1   351.877426         Stim
     38     4    17        0   408.902154         Stim
     39     1    16        1   384.267858         Stim
     40     1    17        1   446.735012         Stim
     41     1    18        1   258.857525         Stim
     42     4    28        1   171.520628         Stim
     43     1    28        0   254.623723         Stim
     44     4    18        0   407.632255         Stim
     45     4    26        1   480.672748         Stim
     46     1    15        1   243.306616         Stim
     47     4    27        1   258.852394         Stim
     48     1    16        1   263.943763         Stim
     49     4    27        1   234.436036         Stim
     50     1    18        1   290.743862         Stim
     51     0    18        0  1467.291000         Stim
     52     0    18        0  1467.291000         Stim
     53     1    18        1   319.047796         Stim
     54     1    16        1   275.473979         Stim
     55     4    27        1   239.870311         Stim
     56     1    28        0   260.193832         Stim
     57     4    26        1   340.415429         Stim
     58     4    17        0   241.043618         Stim
     59     1    16        1   280.649264         Stim
     60     4    25        1   283.557626         Stim
     61     1    15        1   266.922760         Stim
     62     4    25        1   235.330127         Stim
     63     1    27        0   130.721754         Stim
     64     4    28        1   272.834870         Stim
     65     4    26        1   195.896538         Stim
     66     4    15        0   125.277819         Stim
     67     1    25        0   218.560332         Stim
     68     1    17        1   424.976780         Stim
     69     4    16        0   284.125413         Stim
     70     1    27        0   317.773671         Stim
     71     1    16        1   445.132168         Stim
     72     4    25        1   241.541375         Stim
     73     1    25        0   246.936711         Stim
     74     4    17        0   279.831240         Stim
     75     4    18        0   769.901001         Stim
     76     4    26        1   421.309859         Stim
     77     4    27        1   258.351316         Stim
     78     4    28        1   401.387803         Stim
     79     4    26        1   277.455649         Stim
     80     4    17        0   382.447679         Stim
     81     4    28        1   349.839610         Stim
     82     4    28        1   416.823706         Stim
     83     4    16        0   260.603750         Stim
     84     4    15        0   218.564256         Stim
     85     1    17        1   601.227761         Stim
     86     1    26        0   289.185994         Stim
     87     1    15        1   348.100328         Stim
     88     4    15        0   254.233727         Stim
     89     1    25       -1    95.828349         Stim
     90     4    25        1   267.725389         Stim
     91     4    27        1   465.652498         Stim
     92     1    16        1   325.293757         Stim
     93     4    25        1   444.637430         Stim
     94     1    25        0   284.612907         Stim
     95     4    25       -1     4.983306         Stim
     96     1    15        1   588.607551         Stim
     97     0    17        0  1467.291000         Stim
     98     1    26        0   280.380010         Stim
     99     4    15        0   265.497707         Stim
    100     4    25        1   231.604646         Stim
    101     0    27        0  1467.291000         Stim
    102     4    26        1   249.929894         Stim
    103     4    25        1   285.952233         Stim
    104     4    17        0   166.880530         Stim
    105     4    16        0  1236.712920         Stim
    106     0    25        0  1467.291000         Stim
    107     1    25        0   313.796142         Stim
    108     4    15        0   334.419706         Stim
    109     4    27        1   429.369358         Stim
    110     1    26        0   245.951460         Stim
    111     4    15        0   235.296018         Stim
    112     4    27        1   315.477770         Stim
    113     1    16        1   324.475431         Stim
    114     4    27        1   261.562136         Stim
    115     1    26        0   259.894092         Stim
    116     4    17        0   301.942943         Stim
    117     4    16       -1    98.536582         Stim
    118     1    17        1   266.832505         Stim
    119     4    16        0   391.776474         Stim
    120     1    25        0   407.801595         Stim
    121     4    25        1   425.799030         Stim
    122     1    17        1   282.905621         Stim
    123     0    28        0  1467.291000         Stim
    124     0    28        0  1467.291000         Stim
    125     0    16        0  1467.291000         Stim
    126     4    25        1   202.987991         Stim
    127     4    25        1   300.987877         Stim
    128     4    15       -1   108.168438         Stim
    129     1    17        1   289.048046         Stim
    130     1    16        1   432.009372         Stim
    131     1    27        0   291.442653         Stim
    132     0    26        0  1467.291000         Stim
    133     1    15        1   643.608953         Stim
    134     4    17        0   393.647666         Stim
    135     1    16        1   335.204526         Stim
    136     4    17        0   508.561029         Stim
    137     1    18        1   864.932456         Stim
    138     1    28        0   281.946028         Stim
    139     4    28        1   727.253271         Stim
