file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P31BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Oct_15_1333
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1  1225.490596         Stim
      2     4   161        1   446.206466         Stim
      3     4   241        1   592.883311         Stim
      4     1   164        1   499.417271         Stim
      5     4   241        1   605.017536         Stim
      6     1   261        0   533.584717         Stim
      7     4   362        1   920.039205         Stim
      8     1   283        1   863.005722         Stim
      9     4   263        1   806.160898         Stim
     10     1   261        1   535.643361         Stim
     11     4   262        1   620.457061         Stim
     12     1   362        1   912.268580         Stim
     13     1   284        1   463.815415         Stim
     14     4   262        1   374.621513         Stim
     15     4   166        1   629.439629         Stim
     16     1   243        1   486.550447         Stim
     17     1   161        1   821.049842         Stim
     18     1   344        0   660.839075         Stim
     19     4   386        1   649.209248         Stim
     20     4   182        1   528.720040         Stim
     21     1   242        1   638.676962         Stim
     22     4   161        0   498.685275         Stim
     23     1   142        1   510.464520         Stim
     24     1   341        0   435.918078         Stim
     25     4   382        1  1046.573943         Stim
     26     4   181        1   514.986291         Stim
     27     4   142        0   557.382878         Stim
     28     1   142        1   556.023328         Stim
     29     1   341        0   558.700169         Stim
     30     4   281        0   481.515524         Stim
     31     4   361        1   640.301540         Stim
     32     1   183        1   372.983956         Stim
     33     4   342        0   394.605448         Stim
     34     4   181        1   365.452097         Stim
     35     1   341        1   601.310469         Stim
     36     1   285        1   606.090929         Stim
     37     4   362        1  1143.969819         Stim
     38     4   185        1   591.240623         Stim
     39     1   342        1   662.956882         Stim
     40     1   381        1   536.272424         Stim
     41     4   281        1   525.951134         Stim
     42     1   266        1   437.784441         Stim
     43     4   163        1   677.949362         Stim
     44     4   241        1   559.400470         Stim
     45     1   364        0   562.291325         Stim
     46     1   383        1   706.979556         Stim
     47     1   181        1   514.945239         Stim
     48     4   141        0   536.888206         Stim
     49     1   243        1   501.776863         Stim
     50     1   361        0   422.335256         Stim
     51     1   383        1  1006.038889         Stim
     52     1   184        1   614.672937         Stim
     53     1   142        1   612.831930         Stim
     54     1   343        1   678.236727         Stim
     55     4   281        1   567.443669         Stim
     56     4   161        1   800.272333         Stim
     57     4   241        1   663.048646         Stim
     58     1   261        1   660.192806         Stim
     59     4   262        0   348.993513         Stim
     60     4   264        1   608.000758         Stim
     61     1   163        0   420.643064         Stim
     62     1   144        1   791.830988         Stim
     63     1   341        1   452.554756         Stim
     64     4   181        1   433.342359         Stim
     65     1   341        0   268.119308         Stim
     66     4   183        1   308.944142         Stim
     67     1   343        1   520.380420         Stim
     68     4   182        1   641.514389         Stim
     69     1   341        1   609.941981         Stim
     70     1   384        0   534.777946         Stim
     71     4   385        0   484.798487         Stim
     72     1   282        1   530.238667         Stim
