file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P32E1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_18_1517
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   223        1   818.988754         Stim
      2     1   361        0   556.733353         Stim
      3     1   181        1   535.504393         Stim
      4     6   243        1   529.691465         Stim
      5     1   364        1   731.867915         Stim
      6     6   285        1   720.498013         Stim
      7     6   362        1   632.432352         Stim
      8     1   384        1   622.149711         Stim
      9     1   281        1   571.117792         Stim
     10     1   361        1   774.240309         Stim
     11     6   383        1  1025.072938         Stim
     12     1   281        1   634.222165         Stim
     13     6   261        1   621.426632         Stim
     14     6   263        1   640.186551         Stim
     15     1   163        1   553.214060         Stim
     16     1   143        1   626.867292         Stim
     17     6   343        1   900.444390         Stim
     18     1   181        1  1477.603696         Stim
     19     6   144        1   552.748491         Stim
     20     6   341        1   661.039510         Stim
     21     1   181        1   736.242773         Stim
     22     1   342        1  1067.099498         Stim
     23     1   386        1   913.039949         Stim
     24     6   181        1   980.508295         Stim
     25     1   142        1  1103.291671         Stim
     26     1   242        1   877.281623         Stim
     27     1   364        1   547.631895         Stim
     28     0   284        0  1515.796000         Stim
     29     6   363        1   652.737326         Stim
     30     1   381        1   662.210119         Stim
     31     0   184        0  1515.796000         Stim
     32     6   142        1   677.731891         Stim
     33     6   144        1   619.488160         Stim
     34     1   342        1   640.462409         Stim
     35     6   281        1   515.047650         Stim
     36     6   362        1   841.641789         Stim
     37     1   281        1   679.606608         Stim
     38     1   362        1   666.766291         Stim
     39     1   181        1   536.752753         Stim
     40     1   141        1   675.432657         Stim
     41     6   141        1   557.894321         Stim
     42     1   146        1   433.525149         Stim
     43     1   243        1   708.549648         Stim
     44     6   162        1   990.019341         Stim
     45     6   242        1   540.100373         Stim
     46     1   261        1   865.928826         Stim
     47     6   162        1   605.258288         Stim
     48     1   341        1  1083.159924         Stim
     49     6   383        1   757.983952         Stim
     50     6   385        1   839.489970         Stim
     51     1   281        1  1127.394906         Stim
     52     6   163        1   674.198915         Stim
     53     6   341        1   915.695591         Stim
     54     6   182        1   702.570645         Stim
     55     1   241        1  1179.402436         Stim
     56     1   162        1   623.810458         Stim
     57     1   242        1   557.675376         Stim
     58     1   362        0   931.983359         Stim
     59     6   286        1   609.978979         Stim
     60     6   161        1  1237.068637         Stim
     61     1   145        1   919.013976         Stim
     62     6   341        1   720.191365         Stim
     63     6   282        1   602.931686         Stim
     64     1   261        1   680.957598         Stim
     65     1   361        1   787.736217         Stim
     66     1   285        1   766.942038         Stim
     67     6   262        1  1070.738837         Stim
     68     1   264        1   572.875883         Stim
     69     6   161        1   889.503048         Stim
     70     0   341        0  1515.796000         Stim
     71     1   183        1   535.144253         Stim
     72     6   241        1   752.585277         Stim
