file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P33C_12BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_11_1344
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   123        1   669.159543         Stim
      2     6   241        0   673.101163         Stim
      3     1   161        1   715.144387         Stim
      4     1   143        1   458.048988         Stim
      5     6   243        1   527.040404         Stim
      6     1   261        1   549.984466         Stim
      7     6   164        1   580.966334         Stim
      8     6   142        1   649.862584         Stim
      9     1   141        1   589.837313         Stim
     10     6   341        0   591.841711         Stim
     11     1   185        1   606.836288         Stim
     12     6   342        1   970.732055         Stim
     13     6   283        1   639.715260         Stim
     14     0   361        0  1513.446000         Stim
     15     6   184        1   645.623959         Stim
     16     6   141        0  1034.589475         Stim
     17     6   241        1   769.522823         Stim
     18     1   361        0   568.426173         Stim
     19     1   381        1   919.497212         Stim
     20     6   182        1   630.458953         Stim
     21     6   245        1   661.482807         Stim
     22     0   362        0  1513.446000         Stim
     23     6   182        1   969.300208         Stim
     24     6   142        1   936.302745         Stim
     25     1   241        1   717.275051         Stim
     26     6   261        1   590.314387         Stim
     27     1   163        1  1133.212707         Stim
     28     1   141        1   810.183338         Stim
     29     1   241        1   689.196994         Stim
     30     6   362        1   624.205977         Stim
     31     6   384        0   583.133386         Stim
     32     1   384        1   964.029372         Stim
     33     6   282        1   727.989329         Stim
     34     1   364        1   662.997379         Stim
     35     6   184        1   763.887183         Stim
     36     1   341        1   903.785778         Stim
     37     1   186        1   761.803168         Stim
     38     0   243        0  1513.446000         Stim
     39     6   262        1   770.764648         Stim
     40     1   261        1   695.561308         Stim
     41     1   262        1   912.636541         Stim
     42     6   266        1  1173.623177         Stim
     43     1   366        1   905.490061         Stim
     44     1   283        1   763.391759         Stim
     45     1   264        1   946.360501         Stim
     46     6   161        1  1071.221912         Stim
     47     1   343        0   502.279789         Stim
     48     1   285        1   717.176775         Stim
     49     6   262        1   727.077165         Stim
     50     6   161        1   574.128056         Stim
     51     1   141        1   765.038507         Stim
     52     6   244        1   702.912115         Stim
     53     6   363        1   722.952054         Stim
     54     1   281        1   639.953798         Stim
     55     1   162        1   742.871013         Stim
     56     1   241        1   645.862185         Stim
     57     1   362        1   820.859674         Stim
     58     6   382        1   723.843692         Stim
     59     6   181        1   616.795768         Stim
     60     1   341        0   554.799064         Stim
     61     6   381        1   641.781237         Stim
     62     1   282        1   520.112868         Stim
     63     1   363        0   799.800898         Stim
     64     1   182        1   884.598914         Stim
     65     1   342        1   771.671525         Stim
     66     6   281        1   738.640163         Stim
     67     0   363        0  1513.446000         Stim
     68     6   181        1  1086.452539         Stim
     69     1   345        0   653.505644         Stim
     70     1   183        1   777.459866         Stim
     71     0   341        0  1513.446000         Stim
     72     1   381        0   807.471103         Stim
