file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P33C2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_11_1334
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   123        1   631.091217         Stim
      2     1   241        1   523.124597         Stim
      3     6   161        0   485.068711         Stim
      4     1   143        1   524.032407         Stim
      5     6   243        1   592.996767         Stim
      6     1   261        1  1044.921844         Stim
      7     6   164        1   547.860332         Stim
      8     6   142        1   560.883789         Stim
      9     1   141        1   559.837583         Stim
     10     1   341        1   582.706693         Stim
     11     1   185        1   565.615972         Stim
     12     6   342        1   802.699733         Stim
     13     6   283        1   993.675183         Stim
     14     6   361        0   941.638270         Stim
     15     0   184        0  1513.444000         Stim
     16     1   141        1   625.544523         Stim
     17     6   241        1   816.484519         Stim
     18     6   361        1   975.553806         Stim
     19     6   381        0   638.465971         Stim
     20     1   182        0   576.423239         Stim
     21     6   245        1   621.454867         Stim
     22     6   362        0   465.312716         Stim
     23     6   182        1  1008.352851         Stim
     24     6   142        1   551.383968         Stim
     25     1   241        1   596.274401         Stim
     26     1   261        0   491.180493         Stim
     27     1   163        1   682.193263         Stim
     28     1   141        1   585.159865         Stim
     29     1   241        1   504.121223         Stim
     30     6   362        1   549.101224         Stim
     31     6   384        0   580.051993         Stim
     32     0   384        0  1513.444000         Stim
     33     6   282        1   596.954870         Stim
     34     1   364        1  1355.922025         Stim
     35     6   184        1   626.860677         Stim
     36     6   341        0   580.788442         Stim
     37     1   186        1   590.751654         Stim
     38     6   243        1   880.634279         Stim
     39     6   262        1   844.650589         Stim
     40     1   261        1   443.666770         Stim
     41     6   262        0   530.550356         Stim
     42     6   266        1   538.521298         Stim
     43     0   366        0  1513.444000         Stim
     44     1   283        1   472.382379         Stim
     45     1   264        1   668.222498         Stim
     46     6   161        1  1409.134831         Stim
     47     1   343        0   640.166211         Stim
     48     1   285        1   671.135329         Stim
     49     6   262        1   636.089306         Stim
     50     6   161        1   624.039281         Stim
     51     0   141        0  1513.444000         Stim
     52     6   244        1   425.018870         Stim
     53     1   363        0  1084.919306         Stim
     54     1   281        1   649.967081         Stim
     55     1   162        1   768.795392         Stim
     56     1   241        1   615.922479         Stim
     57     1   362        1   582.889562         Stim
     58     1   382        0   701.768566         Stim
     59     6   181        1   674.767504         Stim
     60     0   341        0  1513.444000         Stim
     61     0   381        0  1513.444000         Stim
     62     1   282        1   543.551420         Stim
     63     6   363        1   895.562925         Stim
     64     6   182        0  1427.684144         Stim
     65     1   342        1   698.554376         Stim
     66     6   281        1   665.598898         Stim
     67     0   363        0  1513.444000         Stim
     68     6   181        1   597.467399         Stim
     69     1   345        0   580.492992         Stim
     70     1   183        1  1248.373701         Stim
     71     1   341        1   728.331118         Stim
     72     6   381        1   871.237088         Stim
