file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P33E2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_09_1639
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   993.948241         Stim
      2     6    25        1   522.952925         Stim
      3     6    25        1   456.922855         Stim
      4     1    27        0   719.913268         Stim
      5     1    16        1   535.200124         Stim
      6     1    27        0   413.924549         Stim
      7     1    28        0   462.858611         Stim
      8     6    18        0   613.898177         Stim
      9     6    18        0   540.897964         Stim
     10     1    16        1   581.783022         Stim
     11     6    27        1   907.731441         Stim
     12     1    28        0   538.826079         Stim
     13     6    28        1   411.723288         Stim
     14     1    26        0   474.966171         Stim
     15     6    15        0   338.800515         Stim
     16     1    15        1   777.670724         Stim
     17     6    25        1   488.680049         Stim
     18     1    27        0  1087.705871         Stim
     19     6    18        0   501.662142         Stim
     20     1    16        1   767.528376         Stim
     21     1    15        1   694.655363         Stim
     22     1    27        0   414.653846         Stim
     23     6    28        1   957.604724         Stim
     24     6    28        1   412.594400         Stim
     25     6    16        0   516.582391         Stim
     26     6    15        0   523.629040         Stim
     27     1    15        1   491.584793         Stim
     28     6    27        1   690.545492         Stim
     29     6    26        1   968.504980         Stim
     30     1    25        0   465.505536         Stim
     31     1    15        1   656.471034         Stim
     32     0    27        0  1463.481000         Stim
     33     0    28        0  1463.481000         Stim
     34     0    26        0  1463.481000         Stim
     35     6    17        0   788.463064         Stim
     36     1    16        1   557.388765         Stim
     37     6    17        0   492.391217         Stim
     38     6    26        1   451.375851         Stim
     39     6    27        1   594.476196         Stim
     40     6    28        1   579.327051         Stim
     41     6    26        1   482.319467         Stim
     42     6    27        1   570.329496         Stim
     43     1    18        1   911.358329         Stim
     44     6    28        1   590.300081         Stim
     45     6    28        1   648.284879         Stim
     46     1    18        1   679.307489         Stim
     47     6    26        1   518.234425         Stim
     48     6    17        0   862.248863         Stim
     49     6    26        1  1013.200105         Stim
     50     1    17        1   924.149157         Stim
     51     6    26        1   843.209413         Stim
     52     6    27        1  1074.126034         Stim
     53     6    28        1   609.149199         Stim
     54     1    16        1   610.077536         Stim
     55     1    17        1  1025.131950         Stim
     56     1    16        1   536.189728         Stim
     57     6    25        1   575.098066         Stim
     58     6    25        1   534.031695         Stim
     59     0    17        0  1463.481000         Stim
     60     0    28        0  1463.481000         Stim
     61     0    26        0  1463.481000         Stim
     62     0    17        0  1463.481000         Stim
     63     1    28        0   708.966362         Stim
     64     1    18        1   572.016051         Stim
     65     1    16        1   451.989455         Stim
     66     6    25        1   522.917782         Stim
     67     6    27        1   665.881909         Stim
     68     1    18        1   632.880403         Stim
     69     1    16        1  1318.897105         Stim
     70     0    17        0  1463.481000         Stim
     71     1    16        1   391.895763         Stim
     72     6    25        1   510.846920         Stim
     73     1    15        1   461.797477         Stim
     74     1    17        1   668.807490         Stim
     75     6    28        1   699.875818         Stim
     76     1    16        1   658.830906         Stim
     77     6    27        1   316.827086         Stim
     78     6    26        1   386.701432         Stim
     79     6    27        1   377.777273         Stim
     80     1    16        1   592.843443         Stim
     81     6    27        1   727.765720         Stim
     82     1    28        0   360.714542         Stim
     83     0    16        0  1463.481000         Stim
     84     6    25        1   581.570297         Stim
     85     1    17        1   567.710872         Stim
     86     6    28        1   622.629515         Stim
     87     0    18        0  1463.481000         Stim
     88     6    26        1   589.549326         Stim
     89     6    25        1   476.590526         Stim
     90     1    15        1   564.598379         Stim
     91     6    25        1   449.595373         Stim
     92     6    17        0   491.549961         Stim
     93     6    18        0   418.576184         Stim
     94     1    18        1   658.586148         Stim
     95     1    16        1   951.555453         Stim
     96     6    25        1   414.565521         Stim
     97     1    15        1   431.482393         Stim
     98     6    17        0   630.472326         Stim
     99     1    16        1   527.407074         Stim
    100     6    17        0   486.380511         Stim
    101     6    26        1   469.438759         Stim
    102     1    15        1   564.364195         Stim
    103     1    15        1   466.408370         Stim
    104     6    25        1   596.403466         Stim
    105     1    15        1   450.342085         Stim
    106     6    25        1   401.395584         Stim
    107     1    15        1   736.377323         Stim
    108     6    17        0   863.389924         Stim
    109     1    18        1   593.251165         Stim
    110     6    26        1   480.297652         Stim
    111     1    27        0   543.261879         Stim
    112     6    16        0   190.308665         Stim
    113     1    15        1   412.339380         Stim
    114     6    25        1   437.247720         Stim
    115     1    27        0   435.199471         Stim
    116     6    26        1   333.257553         Stim
    117     0    25        0  1463.481000         Stim
    118     0    27        0  1463.481000         Stim
    119     6    18        0   369.226315         Stim
    120     1    18        1   536.181642         Stim
    121     1    16        1   482.110785         Stim
    122     1    15        1   633.090639         Stim
    123     6    17        0   344.153455         Stim
    124     6    26        1   728.077964         Stim
    125     6    15        0   413.119058         Stim
    126     0    27        0  1463.481000         Stim
    127     6    18        0   693.987023         Stim
    128     6    28        1  1205.070303         Stim
    129     1    18        1   604.021112         Stim
    130     6    26        1   347.000665         Stim
    131     6    25        1   361.994309         Stim
    132     1    17        1   648.985874         Stim
    133     0    28        0  1463.481000         Stim
    134     0    26        0  1463.481000         Stim
    135     6    27        1   271.997298         Stim
    136     6    18        0   326.978142         Stim
    137     6    28        1   503.860605         Stim
    138     1    16        1   470.912280         Stim
    139     6    25        1   462.806363         Stim
    140     6    25        1   611.874807         Stim
    141     1    17        1   628.859788         Stim
    142     1    16        1   530.924178         Stim
    143     6    27        1   801.832664         Stim
    144     1    16        1  1035.761014         Stim
    145     6    17        0   418.778023         Stim
    146     1    16        1   377.685839         Stim
    147     1    27        0   920.748367         Stim
    148     6    26        1   534.714030         Stim
    149     1    17        1   599.662129         Stim
    150     0    18        0  1463.481000         Stim
    151     0    18        0  1463.481000         Stim
    152     6    26        1   364.686330         Stim
    153     1    15        1   390.622216         Stim
    154     6    17        0   309.648884         Stim
