file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P33E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_09_1650
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   661.096544         Stim
      2     6   182        1   468.070357         Stim
      3     1   344        1   579.100954         Stim
      4     1   381        1   554.027783         Stim
      5     6   182        1   520.145523         Stim
      6     1   244        1   488.871314         Stim
      7     1   361        1   620.776885         Stim
      8     6   384        0   838.865047         Stim
      9     1   185        1   474.822178         Stim
     10     6   141        0   505.620867         Stim
     11     1   144        0   545.641966         Stim
     12     1   143        1   589.594732         Stim
     13     1   346        1   556.541289         Stim
     14     6   285        1   713.426109         Stim
     15     6   262        1   605.408796         Stim
     16     6   363        1   692.319439         Stim
     17     1   281        1   523.185242         Stim
     18     6   161        1   531.198481         Stim
     19     1   341        1   572.231575         Stim
     20     6   181        1   577.147870         Stim
     21     6   343        1   515.104516         Stim
     22     1   382        1  1087.155089         Stim
     23     6   184        1   520.161384         Stim
     24     1   141        1   484.999047         Stim
     25     6   343        1   580.976287         Stim
     26     1   282        1   491.969190         Stim
     27     6   263        1   506.853673         Stim
     28     1   163        0   520.050046         Stim
     29     1   141        1   653.838415         Stim
     30     1   141        1   533.773254         Stim
     31     6   241        1   574.786133         Stim
     32     6   362        1   467.737586         Stim
     33     6   381        1   618.754760         Stim
     34     1   281        1   588.710869         Stim
     35     6   365        1  1059.863241         Stim
     36     1   181        1   567.600466         Stim
     37     1   341        1   615.643511         Stim
     38     6   283        1   616.565628         Stim
     39     1   261        1   469.524284         Stim
     40     6   361        1   644.458329         Stim
     41     1   285        1   427.531754         Stim
     42     6   162        1   722.406870         Stim
     43     6   342        1   601.356771         Stim
     44     6   381        1   606.275244         Stim
     45     6   282        1   648.303228         Stim
     46     1   261        1  1095.294905         Stim
     47     1   166        1   566.322876         Stim
     48     6   243        1   706.205922         Stim
     49     6   262        1   746.057836         Stim
     50     6   261        1  1105.129984         Stim
     51     1   163        1   791.995407         Stim
     52     6   244        1   527.033251         Stim
     53     6   261        1   674.991113         Stim
     54     1   362        1   635.003603         Stim
     55     1   282        1   593.912352         Stim
     56     6   364        0   584.956471         Stim
     57     1   182        1   607.888714         Stim
     58     1   241        1   520.050668         Stim
     59     0   361        0  1513.448000         Stim
     60     6   286        1   556.831141         Stim
     61     6   161        1   553.692213         Stim
     62     1   241        1   672.708059         Stim
     63     1   163        1   519.638904         Stim
     64     1   342        1   622.515378         Stim
     65     6   182        1   613.618276         Stim
     66     1   241        1   557.527782         Stim
     67     6   362        1   596.569851         Stim
     68     1   283        1   483.538899         Stim
     69     1   162        1   570.476910         Stim
     70     6   144        1   553.404849         Stim
     71     6   141        1   750.381364         Stim
     72     6   343        1   685.248531         Stim
