file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P33E_12BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_09_1645
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   673.920649         Stim
      2     6    25        1   442.949914         Stim
      3     6    25        1   370.807752         Stim
      4     6    27        1   439.954358         Stim
      5     1    16        1   321.913810         Stim
      6     6    27        1   352.878263         Stim
      7     1    28        0   344.841388         Stim
      8     1    18        1   533.877128         Stim
      9     6    18        0   335.846321         Stim
     10     1    16        1   461.844749         Stim
     11     6    27        1   518.802623         Stim
     12     6    28        1   461.759224         Stim
     13     1    28        0   517.764815         Stim
     14     6    26        1   418.769937         Stim
     15     1    15        1   579.767739         Stim
     16     1    15        1   425.806634         Stim
     17     6    25        1   443.677344         Stim
     18     1    27        0   442.750563         Stim
     19     1    18        1   554.648229         Stim
     20     1    16        1   327.687845         Stim
     21     1    15        1   417.695119         Stim
     22     1    27        0   343.656476         Stim
     23     6    28        1   464.592128         Stim
     24     6    28        1   351.678112         Stim
     25     6    16        0   319.611473         Stim
     26     1    15        1   414.540641         Stim
     27     1    15        1   358.597251         Stim
     28     6    27        1   461.586308         Stim
     29     6    26        1   573.567322         Stim
     30     6    25        1   532.492243         Stim
     31     6    15        0   531.505127         Stim
     32     6    27        1   578.528402         Stim
     33     0    28        0  1463.449000         Stim
     34     6    26        1   368.529052         Stim
     35     6    17        0   306.384622         Stim
     36     1    16        1   448.495986         Stim
     37     1    17        1   703.426510         Stim
     38     6    26        1   422.450317         Stim
     39     1    27        0   328.346855         Stim
     40     6    28       -1   102.434232         Stim
     41     6    26        1   326.366093         Stim
     42     6    27        1   364.395233         Stim
     43     1    18        1   654.255466         Stim
     44     0    28        0  1463.449000         Stim
     45     6    28        1   556.235575         Stim
     46     1    18        1   547.338162         Stim
     47     6    26        1   394.306638         Stim
     48     1    17        1   299.258979         Stim
     49     6    26        1   273.217975         Stim
     50     1    17        1   464.285792         Stim
     51     6    26        1   375.560773         Stim
     52     1    27        0   329.161054         Stim
     53     1    28        0   344.192952         Stim
     54     6    16        0   448.154197         Stim
     55     1    17        1   360.066106         Stim
     56     1    16        1   703.164337         Stim
     57     6    25        1   342.053269         Stim
     58     6    25        1   493.073864         Stim
     59     1    17        1   332.087258         Stim
     60     1    28        0   403.088048         Stim
     61     6    26        1   386.134478         Stim
     62     1    17        1   467.003625         Stim
     63     6    28        1   393.037445         Stim
     64     1    18        1   491.026547         Stim
     65     6    16        0   352.977783         Stim
     66     6    25        1   361.990266         Stim
     67     1    27        0   408.982130         Stim
     68     1    18        1   679.911763         Stim
     69     1    16        1   485.914321         Stim
     70     6    17        0   383.939437         Stim
     71     1    16        1   375.520032         Stim
