file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P34C1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_15_1307
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1  1302.831442         Stim
      2     0    27        0  1465.795000         Stim
      3     1    16        1   921.284532         Stim
      4     6    27        1   674.472986         Stim
      5     6    28        1   667.229474         Stim
      6     1    18        1   609.216064         Stim
      7     1    18        1   701.185752         Stim
      8     1    16        1   787.639223         Stim
      9     6    27        1   596.718198         Stim
     10     1    16        1   528.340387         Stim
     11     6    27        1   750.689255         Stim
     12     1    18        1   618.718684         Stim
     13     6    26        1   830.726787         Stim
     14     1    15        1   487.937069         Stim
     15     0    27        0  1465.795000         Stim
     16     1    16        1   617.871208         Stim
     17     1    27        0   587.020271         Stim
     18     1    16        1   721.052152         Stim
     19     1    17        1   695.458367         Stim
     20     1    18        1   603.417460         Stim
     21     0    16        0  1465.795000         Stim
     22     6    25        1   628.549721         Stim
     23     1    15        1   608.556432         Stim
     24     6    27        1   540.604379         Stim
     25     1    18        1   624.489610         Stim
     26     6    28        1   516.473230         Stim
     27     6    28        1   680.495511         Stim
     28     6    26        1   513.669560         Stim
     29     0    17        0  1465.795000         Stim
     30     6    26        1   627.677986         Stim
     31     6    25        1   548.805152         Stim
     32     1    17        1   517.613046         Stim
     33     6    26        1   707.573080         Stim
     34     1    17        1   666.057313         Stim
     35     6    28        1   555.144896         Stim
     36     1    16        1   713.137812         Stim
     37     6    25        1   893.089849         Stim
     38     1    17        1   667.538608         Stim
     39     6    26        1   500.793207         Stim
     40     6    25        1   746.709693         Stim
     41     6    25        1   550.719048         Stim
     42     1    15        1   477.004468         Stim
     43     6    27        1   371.490709         Stim
     44     6    28        1   617.887691         Stim
     45     0    16        0  1465.795000         Stim
     46     6    25        1   553.346070         Stim
     47     1    15        1   458.202933         Stim
     48     6    25        1   472.235276         Stim
     49     6    27        1   886.595537         Stim
     50     6    26        1   647.773594         Stim
     51     1    17        1   637.913012         Stim
     52     1    16        1   591.117390         Stim
     53     1    17        1   810.425296         Stim
     54     6    26        1   830.421073         Stim
     55     6    25        1   623.698735         Stim
     56     1    17        1   728.440280         Stim
     57     0    16        0  1465.795000         Stim
     58     1    15        1   871.669690         Stim
     59     1    15        1   891.258056         Stim
     60     1    15        1   553.570923         Stim
     61     1    17        1   861.650188         Stim
     62     0    26        0  1465.795000         Stim
     63     6    27        1   757.113592         Stim
     64     0    16        0  1465.795000         Stim
     65     1    27        0   283.881871         Stim
     66     6    28        1   681.874176         Stim
     67     1    18        1   549.888988         Stim
     68     6    26        1   492.302894         Stim
     69     6    27        1   509.453638         Stim
     70     0    16        0  1465.795000         Stim
     71     1    15        1   581.363482         Stim
     72     6    27        1   561.584473         Stim
     73     1    18        1  1125.367719         Stim
     74     1    16        1   678.505108         Stim
     75     1    15        1   735.317744         Stim
     76     6    25        1   709.375327         Stim
     77     1    17        1   561.365528         Stim
     78     1    16        1   514.547204         Stim
     79     1    15        1   534.081455         Stim
     80     6    27        1   436.516247         Stim
     81     1    18        1   421.645137         Stim
     82     6    26        1   782.425300         Stim
     83     1    15        1   529.942350         Stim
     84     6    25        1   509.988247         Stim
     85     6    27        1   639.223258         Stim
     86     6    28        1   562.829097         Stim
     87     6    26        1   750.707915         Stim
     88     1    15        1   578.709093         Stim
     89     6    25        1   449.201024         Stim
     90     6    27        1   671.494535         Stim
     91     1    16        1   491.457283         Stim
     92     1    15        1   980.680649         Stim
     93     1    17        1   973.424386         Stim
     94     1    18        1   626.967972         Stim
     95     1    18        1   553.008323         Stim
     96     1    18        1   890.087450         Stim
     97     6    26        1  1061.743861         Stim
     98     0    17        0  1465.795000         Stim
     99     6    28        1   507.685289         Stim
    100     6    28        1   871.760191         Stim
    101     6    28        1   638.109254         Stim
    102     6    26        1   463.361810         Stim
    103     6    27        1   605.245521         Stim
    104     6    28        1   617.317005         Stim
    105     1    18        1   751.677925         Stim
    106     0    28        0  1465.795000         Stim
    107     1    28        0   587.181368         Stim
    108     6    28        1   660.445309         Stim
    109     6    26        1   560.045643         Stim
    110     1    15        1   460.009224         Stim
    111     6    25        1   522.339943         Stim
    112     1    17        1   616.757826         Stim
    113     1    18        1   972.715305         Stim
    114     6    26        1   659.076596         Stim
    115     6    25        1   551.113397         Stim
    116     6    25        1   824.283478         Stim
    117     0    27        0  1465.795000         Stim
    118     6    26        1   603.044259         Stim
    119     1    17        1   652.227432         Stim
    120     6    26        1   708.971338         Stim
    121     1    15        1   821.811024         Stim
    122     1    17        1   609.366899         Stim
    123     0    16        0  1465.795000         Stim
    124     1    15        1   710.108978         Stim
    125     1    17        1   638.903238         Stim
    126     1    18        1   522.529964         Stim
    127     6    26        1   792.902285         Stim
    128     1    15        1   588.893426         Stim
    129     6    25        1   435.310809         Stim
    130     1    17        1   631.266621         Stim
    131     6    28        1   504.448395         Stim
    132     6    28        1   692.010615         Stim
    133     1    16        1   477.245183         Stim
    134     1    17        1   723.184060         Stim
    135     6    26        1   559.172042         Stim
    136     1    17        1   539.136146         Stim
    137     1    16        1   649.525460         Stim
    138     1    15        1   805.511489         Stim
    139     0    25        0  1465.795000         Stim
    140     1    17        1  1076.691166         Stim
    141     1    18        1   811.209640         Stim
    142     1    18        1   903.075764         Stim
    143     6    28        1   816.330263         Stim
    144     1    16        1   502.226919         Stim
    145     6    25        1   439.422236         Stim
    146     6    25        1  1117.445292         Stim
    147     1    17        1   491.834216         Stim
    148     1    16        1   538.158672         Stim
    149     1    15        1   550.278050         Stim
    150     1    17        1   343.380308         Stim
    151     0    28        0  1465.795000         Stim
    152     6    28        1   648.884488         Stim
    153     6    28        1   670.949662         Stim
    154     6    28        1   512.076926         Stim
    155     1    18        1   600.820917         Stim
    156     6    26        1   489.608385         Stim
