file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P34C1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_15_1319
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1  1181.401300         Stim
      2     1   262        1   536.786538         Stim
      3     1   361        1   806.804939         Stim
      4     6   385        1   585.631031         Stim
      5     6   182        1   729.514164         Stim
      6     1   141        1   703.803131         Stim
      7     1   145        1  1346.578948         Stim
      8     6   243        1   810.491228         Stim
      9     6   261        1   908.103709         Stim
     10     1   161        1   726.897095         Stim
     11     6   343        1  1121.662149         Stim
     12     6   281        1   707.154784         Stim
     13     6   164        1   726.013543         Stim
     14     1   344        1  1354.634794         Stim
     15     1   383        1  1103.401443         Stim
     16     6   181        1   752.597243         Stim
     17     1   341        1   579.687500         Stim
     18     1   281        1   782.496519         Stim
     19     1   361        1   641.303540         Stim
     20     6   181        1   516.109359         Stim
     21     6   341        1   855.323194         Stim
     22     1   281        1   714.091339         Stim
     23     1   265        1   828.843367         Stim
     24     6   361        1   868.776763         Stim
     25     1   382        1   719.565259         Stim
     26     1   183        1   757.958270         Stim
     27     1   244        1   895.066879         Stim
     28     6   162        1   699.800866         Stim
     29     6   143        1   938.120543         Stim
     30     1   142        1   747.318320         Stim
     31     6   246        1   737.692544         Stim
     32     6   161        1   932.749565         Stim
     33     1   142        1   871.557419         Stim
     34     1   144        1   789.907661         Stim
     35     6   241        1   697.702235         Stim
     36     6   163        1   973.417855         Stim
     37     6   342        1   766.491501         Stim
     38     6   281        1  1012.943218         Stim
     39     1   364        1   679.723607         Stim
     40     1   186        1   812.454263         Stim
     41     0   342        0  1515.796000         Stim
     42     6   282        1  1381.864753         Stim
     43     1   363        1   723.872927         Stim
     44     1   382        1   981.399993         Stim
     45     6   284        1  1299.337973         Stim
     46     6   361        1   760.103862         Stim
     47     6   281        1   650.954507         Stim
     48     6   364        1   589.791907         Stim
     49     1   381        1  1162.411299         Stim
     50     6   181        1   612.969529         Stim
     51     1   242        1   576.324652         Stim
     52     6   363        1   654.412522         Stim
     53     1   182        1   703.968584         Stim
     54     6   346        1  1197.803155         Stim
     55     0   283        0  1515.796000         Stim
     56     0   261        0  1515.796000         Stim
     57     1   161        1   725.347069         Stim
     58     6   144        1   760.546727         Stim
     59     6   245        1  1005.203038         Stim
     60     1   263        1  1437.047436         Stim
     61     6   362        1   526.278142         Stim
     62     1   182        1   724.728178         Stim
     63     1   242        1   634.594948         Stim
     64     6   163        1   704.982446         Stim
     65     1   242        1   666.103652         Stim
     66     6   161        1   704.460587         Stim
     67     0   341        0  1515.796000         Stim
     68     1   382        1   790.024908         Stim
     69     6   283        0   483.428495         Stim
     70     1   161        1   637.571534         Stim
     71     1   241        1   656.384576         Stim
     72     1   361        1   667.508441         Stim
