file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P34E2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_25_1039
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    24        0  1465.668000         Stim
      2     6    25        1   548.176309         Stim
      3     6    25        1   570.303371         Stim
      4     6    27        1   515.429513         Stim
      5     1    18        1   756.267048         Stim
      6     6    28        1   575.833271         Stim
      7     6    26        1   507.850119         Stim
      8     6    27        1   575.800927         Stim
      9     1    16        1   603.803723         Stim
     10     6    27        1   658.131154         Stim
     11     1    16        1   520.564753         Stim
     12     1    17        1   625.788037         Stim
     13     1    16        1   693.318994         Stim
     14     1    15        1   494.599321         Stim
     15     1    15        1   516.418804         Stim
     16     1    15        1   501.691376         Stim
     17     6    27        1   750.475598         Stim
     18     6    28        1   706.047622         Stim
     19     6    28        1   814.004290         Stim
     20     6    26        1   521.991933         Stim
     21     1    17        1   613.977793         Stim
     22     1    16        1   804.325954         Stim
     23     6    27        1   725.503813         Stim
     24     1    18        1   422.309745         Stim
     25     1    18        1   639.136177         Stim
     26     6    28        1   575.896094         Stim
     27     6    28        1   637.888133         Stim
     28     1    26        0   689.847606         Stim
     29     1    17        1   656.217880         Stim
     30     1    16        1   614.657951         Stim
     31     6    17        0   666.649458         Stim
     32     0    18        0  1465.668000         Stim
     33     1    18        1   564.630723         Stim
     34     6    26        1   618.513424         Stim
     35     6    27        1   827.778812         Stim
     36     1    18        1   612.504584         Stim
     37     1    16        1   605.319850         Stim
     38     6    27        1   744.876656         Stim
     39     1    26        0   434.030731         Stim
     40     6    27        1   413.716179         Stim
     41     6    28        1   673.713834         Stim
     42     6    28        1   624.059185         Stim
     43     1    18        1   801.128248         Stim
     44     6    26        1   668.825529         Stim
     45     1    15        1   459.237943         Stim
     46     1    15        1   655.202151         Stim
     47     6    27        1   651.122758         Stim
     48     1    16        1   380.350181         Stim
     49     0    15        0  1465.668000         Stim
     50     6    27        1   453.919523         Stim
     51     6    26        1   574.743836         Stim
     52     0    27        0  1465.668000         Stim
     53     6    26        1   494.316933         Stim
     54     1    17        1   550.974069         Stim
     55     1    18        1   853.086788         Stim
     56     6    26        1   545.066615         Stim
     57     0    27        0  1465.668000         Stim
     58     6    18       -1    82.948807         Stim
     59     6    26        1   521.434932         Stim
     60     0    25        0  1465.668000         Stim
     61     6    25        1   556.144142         Stim
     62     1    15        1   701.335965         Stim
     63     1    17        1   598.070740         Stim
     64     1    18        1   590.895336         Stim
     65     6    26        1   874.445992         Stim
     66     6    25        1   595.699361         Stim
     67     1    15        1   468.527216         Stim
     68     1    17        1   730.393673         Stim
     69     1    18        1   795.657126         Stim
     70     6    28        1   932.418660         Stim
     71     1    18        1   989.186824         Stim
     72     1    16        1   757.982839         Stim
     73     1    15        1   571.949808         Stim
     74     6    27        1   647.941534         Stim
     75     6    26        1   542.293113         Stim
     76     6    25        1   564.686392         Stim
     77     6    27        1   944.615789         Stim
     78     1    16        1   556.679373         Stim
     79     6    27        1   595.050924         Stim
     80     1    18        1   431.024290         Stim
     81     1    18        1   781.368520         Stim
     82     1    18        1   846.589367         Stim
     83     1    18        1   906.123879         Stim
     84     1    16        1   627.336819         Stim
     85     1    15        1   638.908836         Stim
     86     1    15        1   448.107235         Stim
     87     6    25        1   776.988701         Stim
     88     1    25        0   465.682494         Stim
     89     6    27        1   701.371107         Stim
     90     1    16        1   521.148810         Stim
     91     1    15        1   573.248857         Stim
     92     1    15        1   699.657184         Stim
     93     6    25        1   858.004640         Stim
     94     6    25        1  1054.016121         Stim
     95     6    27        1   612.381116         Stim
     96     1    16        1   498.808091         Stim
     97     1    17        1   582.753032         Stim
     98     0    28        0  1465.668000         Stim
     99     6    26        1   550.388766         Stim
    100     6    25        1   540.332565         Stim
    101     6    25        1   453.526108         Stim
    102     6    27        1   739.422640         Stim
    103     1    16        1   537.902097         Stim
    104     1    15        1   525.854248         Stim
    105     1    17        1   599.013694         Stim
    106     0    26        0  1465.668000         Stim
    107     6    25        1  1029.782651         Stim
    108     1    15        1   446.533262         Stim
    109     1    17        1   682.639237         Stim
    110     6    26        1   680.930289         Stim
    111     6    27        1   791.328000         Stim
    112     6    26        1   997.693931         Stim
    113     6    27        1   790.920589         Stim
    114     1    18        1   946.517867         Stim
    115     1    18        1   662.510974         Stim
    116     1    16        1   548.835630         Stim
    117     1    17        1   627.204333         Stim
    118     6    26        1   551.231577         Stim
    119     1    27        0   643.235164         Stim
    120     6    28        1  1004.378265         Stim
    121     6    28        1   466.446624         Stim
    122     1    16        1   579.526402         Stim
    123     6    27        1   599.151777         Stim
    124     6    26        1   680.367379         Stim
    125     6    25        1   595.441231         Stim
    126     6    25        1   532.766856         Stim
    127     1    15        1   474.710218         Stim
    128     1    17        1   819.802894         Stim
    129     0    28        0  1465.668000         Stim
    130     6    26        1   611.771245         Stim
    131     1    17        1   637.053096         Stim
    132     6    26        1   768.614079         Stim
    133     1    15        1   436.597108         Stim
    134     6    17        0   389.822011         Stim
    135     1    18        1   603.825804         Stim
    136     1    16        1   522.173246         Stim
    137     1    17        1   590.110371         Stim
    138     6    28        1   695.280474         Stim
    139     6    26        1   645.324776         Stim
