file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P36Ea1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_29_1126
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1463.446000         Stim
      2     1    18        1   747.207915         Stim
      3     6    28        1   509.167828         Stim
      4     6    28        1   548.132458         Stim
      5     6    26        1   973.151949         Stim
      6     1    15        1   572.119304         Stim
      7     6    17        0   523.115267         Stim
      8     0    26        0  1463.446000         Stim
      9     1    15        1   475.999625         Stim
     10     1    15        1   564.013076         Stim
     11     6    25        1   530.999752         Stim
     12     1    17        1   746.003721         Stim
     13     6    26        1   896.980464         Stim
     14     6    25        1   795.487943         Stim
     15     1    17        1   760.918372         Stim
     16     0    18        0  1463.446000         Stim
     17     6    26        1   784.827778         Stim
     18     6    27        1  1271.911462         Stim
     19     6    28        1  1112.788683         Stim
     20     1    18        1  1334.815354         Stim
     21     6    26        1   625.001205         Stim
     22     0    15        0  1463.446000         Stim
     23     6    25        1   775.707379         Stim
     24     1    15        1   622.848148         Stim
     25     1    15        1   800.019220         Stim
     26     1    17        1   735.781757         Stim
     27     0    16        0  1463.446000         Stim
     28     6    25        1   766.719464         Stim
     29     0    27        0  1463.446000         Stim
     30     1    16        1  1030.679265         Stim
     31     1    15        1  1189.668003         Stim
     32     0    17        0  1463.446000         Stim
     33     6    26        1   981.647549         Stim
     34     6    27        1   788.680142         Stim
     35     6    26        1   754.617502         Stim
     36     1    17        1   972.627914         Stim
     37     6    26        1   659.622091         Stim
     38     1    15        1   660.607962         Stim
     39     1    17        1   843.646369         Stim
     40     6    28        1   915.578917         Stim
     41     6    28        1   851.545781         Stim
     42     1    16        1   626.566782         Stim
     43     6    25        1   513.583724         Stim
     44     1    15        1   522.496065         Stim
     45     6    17        0   634.507246         Stim
     46     1    18        1   386.508612         Stim
     47     1    16        1   586.520181         Stim
     48     6    27        1   841.376998         Stim
     49     1    18        1   776.423924         Stim
     50     1    18        1   841.422715         Stim
     51     6    28        1   528.412539         Stim
     52     6    26        1   687.399411         Stim
     53     1    15        1   616.445582         Stim
     54     6    25        1   656.401060         Stim
     55     1    15        1   824.331372         Stim
     56     6    25        1   631.349036         Stim
     57     1    17        1   606.321894         Stim
     58     1    18        1   767.356393         Stim
     59     6    26        1   710.253904         Stim
     60     1    15        1   685.330324         Stim
     61     0    27        0  1463.446000         Stim
     62     1    18        1   726.216937         Stim
     63     6    26        1   805.199866         Stim
     64     1    15        1   763.218531         Stim
     65     0    27        0  1463.446000         Stim
     66     1    18        1   780.224350         Stim
     67     6    28        1  1115.169702         Stim
     68     6    28        1  1389.170465         Stim
     69     6    26        1   818.064401         Stim
     70     6    27        1   892.134144         Stim
