file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P37C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_09_1638
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   670.377028         Stim
      2     6   182        1   545.784519         Stim
      3     1   344        1   607.743647         Stim
      4     1   381        1   684.338856         Stim
      5     6   182        1   447.163503         Stim
      6     1   244        1   557.552536         Stim
      7     1   361        1   633.391698         Stim
      8     1   384        1   565.057955         Stim
      9     1   185        1   721.760522         Stim
     10     1   141        1   889.790416         Stim
     11     6   144        1   580.544005         Stim
     12     1   143        1   617.230462         Stim
     13     1   346        1   858.407481         Stim
     14     1   285        0   645.845475         Stim
     15     6   262        1   845.736936         Stim
     16     6   363        1   723.723880         Stim
     17     1   281        1   549.265879         Stim
     18     6   161        1   528.028152         Stim
     19     1   341        1   698.821301         Stim
     20     6   181        1   637.094181         Stim
     21     6   343        1   680.855319         Stim
     22     1   382        1   858.576045         Stim
     23     6   184        1   744.375056         Stim
     24     1   141        1   837.059971         Stim
     25     6   343        1   807.952330         Stim
     26     1   282        1   753.397234         Stim
     27     6   263        1  1031.358054         Stim
     28     0   163        0  1515.671000         Stim
     29     1   141        1  1001.926970         Stim
     30     1   141        1  1412.025838         Stim
     31     6   241        1  1120.045966         Stim
     32     6   362        1   914.803400         Stim
     33     6   381        1   720.778066         Stim
     34     1   281        1   755.966113         Stim
     35     6   365        1   518.767436         Stim
     36     1   181        1   774.686587         Stim
     37     1   341        1   913.402956         Stim
     38     6   283        1   708.223835         Stim
     39     1   261        1   781.720838         Stim
     40     6   361        1   760.565216         Stim
     41     1   285        1   810.332119         Stim
     42     6   162        1  1307.593744         Stim
     43     6   342        1   769.570599         Stim
     44     6   381        1   839.201533         Stim
     45     6   282        1   698.719914         Stim
     46     1   261        1   704.689604         Stim
     47     1   166        1   675.460983         Stim
     48     6   243        1   655.089709         Stim
     49     6   262        1   688.235404         Stim
     50     6   261        1   590.525314         Stim
     51     1   163        1   657.328614         Stim
     52     6   244        1   818.792005         Stim
     53     0   261        0  1515.671000         Stim
     54     0   362        0  1515.671000         Stim
     55     0   282        0  1515.671000         Stim
     56     0   364        0  1515.671000         Stim
     57     0   182        0  1515.671000         Stim
     58     0   241        0  1515.671000         Stim
     59     0   361        0  1515.671000         Stim
     60     0   286        0  1515.671000         Stim
     61     0   161        0  1515.671000         Stim
     62     0   241        0  1515.671000         Stim
     63     0   163        0  1515.671000         Stim
     64     0   342        0  1515.671000         Stim
     65     0   182        0  1515.671000         Stim
     66     0   241        0  1515.671000         Stim
     67     0   362        0  1515.671000         Stim
     68     0   283        0  1515.671000         Stim
     69     1   162        1   544.202761         Stim
     70     6   144        1   574.171879         Stim
     71     6   141        1   746.882979         Stim
     72     6   343        1   837.676688         Stim
      1     6   321        1   695.208076         Stim
      2     6   284        1   842.551339         Stim
      3     6   163        1   583.197477         Stim
      4     1   342        1   832.401467         Stim
      5     6   183        1   598.782115         Stim
      6     1   344        1   855.948386         Stim
      7     1   381        1  1100.704420         Stim
      8     1   282        1   799.452947         Stim
      9     1   363        1   877.777018         Stim
     10     6   181        1  1095.011834         Stim
     11     1   145        1   698.146737         Stim
     12     6   241        1   778.026441         Stim
     13     1   263        1   660.830190         Stim
     14     6   164        1   958.350257         Stim
     15     0   142        0  1515.793000         Stim
     16     1   243        1   753.145011         Stim
     17     0   261        0  1515.793000         Stim
     18     6   365        1   893.475171         Stim
     19     1   183        1   877.342858         Stim
     20     6   142        1  1038.463524         Stim
     21     6   241        1   748.764232         Stim
     22     1   361        1   679.635878         Stim
     23     1   282        1   634.360781         Stim
     24     1   162        1   848.810883         Stim
     25     6   343        1   830.759996         Stim
     26     6   286        1   616.266666         Stim
     27     1   162        1  1163.335935         Stim
     28     1   141        1   704.560538         Stim
     29     1   344        1   740.455494         Stim
     30     1   281        0  1321.211603         Stim
     31     1   362        1   828.005138         Stim
     32     6   381        1   761.960994         Stim
     33     1   281        1   516.700514         Stim
     34     6   263        1   515.040695         Stim
     35     6   362        1   913.052146         Stim
     36     6   281        1   887.535338         Stim
     37     6   161        1   850.238383         Stim
     38     1   244        1   765.038673         Stim
     39     1   262        1   657.769616         Stim
     40     1   362        1   888.151122         Stim
     41     6   281        1  1014.128214         Stim
     42     6   362        1   784.903014         Stim
     43     1   285        1   615.212057         Stim
     44     6   361        1   743.086885         Stim
     45     1   383        1   801.969889         Stim
     46     6   384        1   907.436377         Stim
     47     1   181        1   735.794813         Stim
     48     6   242        1   690.964138         Stim
     49     6   163        1   800.930519         Stim
     50     1   341        1   794.518895         Stim
     51     1   181        1   637.339251         Stim
     52     6   241        1   688.120022         Stim
     53     1   162        1   714.912562         Stim
     54     1   144        1   601.228459         Stim
     55     1   241        1   661.966281         Stim
     56     6   265        1   696.753136         Stim
     57     1   263        1   808.683807         Stim
     58     6   164        1  1218.125216         Stim
     59     1   341        1   933.498372         Stim
     60     6   181        1   897.735281         Stim
     61     1   242        1   676.498487         Stim
     62     6   362        1   858.501404         Stim
     63     1   186        1   768.803667         Stim
     64     0   142        0  1515.793000         Stim
     65     1   341        0   530.332679         Stim
     66     6   383        1   669.096010         Stim
     67     1   381        1   614.047353         Stim
     68     6   181        1   633.383301         Stim
     69     6   241        1   588.196218         Stim
     70     1   366        0   607.072815         Stim
     71     6   181        1   738.080058         Stim
     72     1   141        1   781.211416         Stim
