file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P38C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Jan_29_1603
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   768.614391         Stim
      2     6   182        1   659.915053         Stim
      3     1   344        1   721.885944         Stim
      4     1   381        1   798.634023         Stim
      5     6   182        1   713.346493         Stim
      6     1   244        1   815.763931         Stim
      7     0   361        0  1515.793000         Stim
      8     1   384        1  1119.264646         Stim
      9     1   185        1   587.864015         Stim
     10     1   141        1   739.905003         Stim
     11     6   144        1   614.675678         Stim
     12     1   143        1   627.489831         Stim
     13     1   346        1   708.557396         Stim
     14     0   285        0  1515.793000         Stim
     15     6   262        1   727.924019         Stim
     16     6   363        1   917.949051         Stim
     17     1   281        1   767.482970         Stim
     18     6   161        1   730.217648         Stim
     19     1   341        1   885.019697         Stim
     20     6   181        1   591.830203         Stim
     21     6   343        1   658.997292         Stim
     22     1   382        1  1020.163407         Stim
     23     6   184        1   930.510361         Stim
     24     1   141        1   687.226494         Stim
     25     6   343        1  1137.979411         Stim
     26     1   282        1   819.262686         Stim
     27     6   263        1   697.507549         Stim
     28     6   163        1  1154.219235         Stim
     29     1   141        1   924.249921         Stim
     30     1   141        1  1143.073600         Stim
     31     6   241        1   642.188026         Stim
     32     6   362        1  1108.947827         Stim
     33     6   381        1   834.931202         Stim
     34     1   281        1   957.720106         Stim
     35     6   365        1   808.851323         Stim
     36     1   181        1   864.857535         Stim
     37     1   341        1  1123.531261         Stim
     38     6   283        1   678.377909         Stim
     39     1   261        1   663.949351         Stim
     40     6   361        1   874.716873         Stim
     41     1   285        1   685.530920         Stim
     42     6   162        1   845.403522         Stim
     43     6   342        1  1475.780992         Stim
     44     6   381        1   921.704072         Stim
     45     6   282        1   708.523808         Stim
     46     1   261        1   794.882114         Stim
     47     1   166        1   813.694534         Stim
     48     6   243        1   784.745986         Stim
     49     6   262        1   722.304240         Stim
     50     6   261        1   672.269548         Stim
     51     1   163        1   851.479228         Stim
     52     6   244        1   660.671095         Stim
     53     6   261        1   785.295835         Stim
     54     1   362        1   844.133085         Stim
     55     1   282        1   706.493597         Stim
     56     1   364        1   920.388850         Stim
     57     1   182        1   701.206277         Stim
     58     1   241        1   723.596758         Stim
     59     6   361        1   734.407134         Stim
     60     6   286        1  1097.110837         Stim
     61     6   161        1  1068.212359         Stim
     62     1   241        1   655.428560         Stim
     63     1   163        1   826.249313         Stim
     64     1   342        1   723.393053         Stim
     65     6   182        1   753.661797         Stim
     66     1   241        1   751.672638         Stim
     67     6   362        1   930.881074         Stim
     68     1   283        1   720.842849         Stim
     69     1   162        1   858.384682         Stim
     70     6   144        1   712.355023         Stim
     71     6   141        1   829.089680         Stim
     72     0   343        0  1515.793000         Stim
      1     6   321        1   665.885952         Stim
      2     6   284        1   805.183694         Stim
      3     6   163        1   666.033055         Stim
      4     1   342        1   755.095821         Stim
      5     6   183        1   601.434832         Stim
      6     1   344        1   834.637307         Stim
      7     1   381        1  1391.302684         Stim
      8     1   282        1   746.150514         Stim
      9     1   363        1   968.464550         Stim
     10     6   181        1   953.614276         Stim
     11     1   145        1   788.805164         Stim
     12     6   241        1  1020.735647         Stim
     13     1   263        1   663.489693         Stim
     14     6   164        1   800.998872         Stim
     15     1   142        1   837.446885         Stim
     16     1   243        1   811.784991         Stim
     17     1   261        1   660.021105         Stim
     18     6   365        1   936.052701         Stim
     19     1   183        1  1055.999371         Stim
     20     6   142        1  1329.114404         Stim
     21     6   241        1   839.442886         Stim
     22     1   361        1  1018.260393         Stim
     23     1   282        1   973.037813         Stim
     24     1   162        1  1427.397401         Stim
     25     6   343        1   977.405192         Stim
     26     6   286        1   810.926940         Stim
     27     1   162        1   950.015690         Stim
     28     1   141        1  1252.422306         Stim
     29     1   344        1   927.090910         Stim
     30     6   281        1   827.873046         Stim
     31     1   362        1  1398.657535         Stim
     32     1   381        0  1180.655520         Stim
     33     1   281        1   822.962036         Stim
     34     6   263        1   666.625511         Stim
     35     6   362        1  1307.816157         Stim
     36     6   281        1   746.102620         Stim
     37     6   161        1   812.961195         Stim
     38     1   244        1   711.696636         Stim
     39     1   262        1   788.466173         Stim
     40     1   362        1   897.548974         Stim
     41     6   281        1  1224.713716         Stim
     42     6   362        1  1011.495822         Stim
     43     1   285        1   777.825602         Stim
     44     0   361        0  1515.794000         Stim
     45     1   383        1   828.572797         Stim
     46     6   384        1   726.146029         Stim
     47     1   181        1   930.455625         Stim
     48     6   242        1  1381.617818         Stim
     49     6   163        1   971.589794         Stim
     50     1   341        1  1293.107701         Stim
     51     1   181        1   783.973460         Stim
     52     6   241        1   890.724069         Stim
     53     1   162        1   605.620899         Stim
     54     1   144        1   739.918686         Stim
     55     1   241        1   728.645540         Stim
     56     6   265        1   723.400827         Stim
     57     1   263        1   715.348714         Stim
     58     6   164        1  1228.872415         Stim
     59     1   341        1   936.934076         Stim
     60     6   181        1   804.388155         Stim
     61     1   242        1   551.187727         Stim
     62     6   362        1   669.187844         Stim
     63     1   186        1   963.427586         Stim
     64     6   142        1   926.601396         Stim
     65     6   341        1  1139.900462         Stim
     66     6   383        1   679.746622         Stim
     67     1   381        1   768.938764         Stim
     68     6   181        1   708.046422         Stim
     69     6   241        1   798.796677         Stim
     70     6   366        1   993.639418         Stim
     71     6   181        1   900.727711         Stim
     72     1   141        1   751.959692         Stim
