file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P38E1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_22_1214
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   122        1   963.699712         Stim
      2     6   242        1   562.155781         Stim
      3     1   262        1   744.195876         Stim
      4     1   163        1   710.513900         Stim
      5     6   141        1   671.733072         Stim
      6     1   146        1   826.874112         Stim
      7     1   344        1  1349.974140         Stim
      8     1   281        1   922.656666         Stim
      9     6   161        1  1237.397249         Stim
     10     6   245        1  1136.286946         Stim
     11     1   161        1  1376.132392         Stim
     12     6   243        1  1354.991822         Stim
     13     6   261        1  1012.420427         Stim
     14     1   165        1   719.324233         Stim
     15     1   143        1   983.149682         Stim
     16     6   341        1   920.704516         Stim
     17     1   281        1  1123.446669         Stim
     18     1   261        1  1030.334988         Stim
     19     1   361        1  1289.435096         Stim
     20     6   383        1   716.266165         Stim
     21     1   386        1   957.028440         Stim
     22     1   281        1  1224.873260         Stim
     23     6   362        1  1107.658729         Stim
     24     6   182        1   833.689999         Stim
     25     6   242        1   759.975730         Stim
     26     6   362        1   670.024746         Stim
     27     0   184        0  1515.795000         Stim
     28     1   342        1  1177.027700         Stim
     29     6   282        1   974.953575         Stim
     30     1   163        1  1005.019859         Stim
     31     6   241        1   862.528764         Stim
     32     1   162        1   801.357766         Stim
     33     6   343        1   759.651045         Stim
     34     1   181        1   960.758580         Stim
     35     1   245        1  1491.913521         Stim
     36     0   363        0  1515.795000         Stim
     37     6   181        1   669.109472         Stim
     38     6   143        1   975.861697         Stim
     39     6   241        1   985.341925         Stim
     40     1   361        1   868.212920         Stim
     41     6   286        1   941.893601         Stim
     42     1   161        1  1170.403078         Stim
     43     1   141        1  1029.258926         Stim
     44     6   342        1   839.953549         Stim
     45     6   182        1   894.300263         Stim
     46     6   345        1  1332.376488         Stim
     47     6   283        1   796.226880         Stim
     48     1   263        1  1005.831881         Stim
     49     6   264        1   678.992134         Stim
     50     1   262        1   803.769575         Stim
     51     6   162        1   762.020869         Stim
     52     1   241        1   879.994862         Stim
     53     1   364        1  1058.808949         Stim
     54     6   383        1  1303.482055         Stim
     55     6   181        1  1313.018263         Stim
     56     6   341        1   779.874163         Stim
     57     6   283        1   726.633989         Stim
     58     1   361        1   976.123248         Stim
     59     1   382        1   986.932070         Stim
     60     6   184        1  1161.245980         Stim
     61     0   341        0  1515.795000         Stim
     62     1   384        1   872.911204         Stim
     63     6   381        1   812.972079         Stim
     64     6   184        1   680.414651         Stim
     65     1   341        1   893.104155         Stim
     66     1   181        1  1087.881897         Stim
     67     1   341        1  1122.581466         Stim
     68     1   281        1   837.453416         Stim
     69     6   162        1   808.349057         Stim
     70     1   244        1  1102.560187         Stim
     71     1   261        1   995.303893         Stim
     72     0   362        0  1515.795000         Stim
