file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P41E1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_02_1441
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    24        0  1465.670000         Stim
      2     6    27        1   490.435957         Stim
      3     0    16        0  1465.670000         Stim
      4     6    27        1   490.043786         Stim
      5     0    28        0  1465.670000         Stim
      6     1    18        1   576.808258         Stim
      7     0    18        0  1465.670000         Stim
      8     1    16        1   483.139575         Stim
      9     6    27        1   428.362437         Stim
     10     1    16        1   415.850575         Stim
     11     0    27        0  1465.670000         Stim
     12     0    18        0  1465.670000         Stim
     13     6    26        1   397.930416         Stim
     14     1    15        1   295.098726         Stim
     15     0    27        0  1465.670000         Stim
     16     1    16        1   401.113505         Stim
     17     6    27        1   370.244220         Stim
     18     1    16        1   424.219599         Stim
     19     0    17        0  1465.670000         Stim
     20     1    18        1   498.526947         Stim
     21     1    16        1   387.740484         Stim
     22     0    25        0  1465.670000         Stim
     23     1    15        1   635.401684         Stim
     24     6    27        1   527.352649         Stim
     25     0    18        0  1465.670000         Stim
     26     6    28        1   471.329642         Stim
     27     6    28        1   627.291724         Stim
     28     6    26        1   556.456696         Stim
     29     1    17        1   626.404128         Stim
     30     0    26        0  1465.670000         Stim
     31     6    25        1   471.618562         Stim
     32     1    17        1   624.424299         Stim
     33     6    26        1   454.364254         Stim
     34     0    17        0  1465.670000         Stim
     35     6    28        1   445.979370         Stim
     36     1    16        1   387.929884         Stim
     37     6    25        1   487.914677         Stim
     38     1    17        1   398.301129         Stim
     39     6    26        1   391.503902         Stim
     40     6    25        1   557.480199         Stim
     41     6    25        1   545.517877         Stim
     42     1    15        1   439.859191         Stim
     43     0    27        0  1465.670000         Stim
     44     1    28        0   300.636712         Stim
     45     1    16        1   323.006044         Stim
     46     6    25        1   428.205691         Stim
     47     1    15        1   388.973913         Stim
     48     6    25        1   434.895623         Stim
     49     0    27        0  1465.670000         Stim
     50     6    26        1   658.550383         Stim
     51     1    17        1   576.500367         Stim
     52     1    16        1   433.676191         Stim
     53     6    17        0   389.260966         Stim
     54     6    26        1   425.229106         Stim
     55     6    25        1   434.474840         Stim
     56     1    17        1   499.256553         Stim
     57     1    16        1   481.152593         Stim
     58     1    15        1   434.382473         Stim
     59     1    15        1   485.974344         Stim
     60     1    15        1   444.366832         Stim
     61     0    17        0  1465.670000         Stim
     62     6    26        1   462.720215         Stim
     63     0    27        0  1465.670000         Stim
     64     1    16        1   424.696673         Stim
     65     1    27        0   380.278650         Stim
     66     0    28        0  1465.670000         Stim
     67     1    18        1   534.645610         Stim
     68     6    26        1   357.008039         Stim
     69     1    27        0   318.201709         Stim
     70     1    16        1   404.207339         Stim
     71     1    15        1   541.404273         Stim
     72     6    27        1   472.991940         Stim
     73     1    18        1   388.928507         Stim
     74     1    16        1   374.130481         Stim
     75     1    15        1   414.939966         Stim
     76     6    25        1   460.861366         Stim
     77     1    17        1   416.850442         Stim
     78     1    16        1   426.100219         Stim
     79     1    15        1   389.650961         Stim
     80     6    27        1   436.030153         Stim
     81     1    18        1   581.203628         Stim
     82     6    26        1  1013.991291         Stim
     83     1    15        1   561.618061         Stim
     84     6    25        1   469.545743         Stim
     85     6    27        1   566.717536         Stim
     86     6    28        1   490.324619         Stim
     87     6    26        1   470.350924         Stim
     88     1    15        1   474.302185         Stim
     89     6    25        1   576.676083         Stim
     90     6    27        1   527.078657         Stim
     91     1    16        1   435.047703         Stim
     92     1    15        1   572.227220         Stim
     93     1    17        1   581.029156         Stim
     94     1    18        1   640.582330         Stim
     95     1    18        1   646.980854         Stim
     96     1    18        1   544.061461         Stim
     97     6    26        1   539.790181         Stim
     98     1    17        1   658.162566         Stim
     99     6    28        1   512.575150         Stim
    100     6    28        1   548.528361         Stim
    101     6    28        1   586.985438         Stim
    102     6    26        1   468.063827         Stim
    103     6    27        1   450.050988         Stim
    104     0    28        0  1465.670000         Stim
    105     1    18        1   596.481216         Stim
    106     6    28        1   517.597497         Stim
    107     6    28        1   473.239496         Stim
    108     6    28        1   546.373439         Stim
    109     6    26        1   541.942615         Stim
    110     1    15        1   569.987706         Stim
    111     0    25        0  1465.670000         Stim
    112     1    17        1   486.709861         Stim
    113     1    18        1   714.737909         Stim
    114     6    26        1   561.120461         Stim
    115     6    25        1   501.074662         Stim
    116     6    25        1   478.265886         Stim
    117     6    27        1  1116.249496         Stim
    118     6    26        1   613.487034         Stim
    119     1    17        1   486.252068         Stim
    120     6    26        1   390.998526         Stim
    121     1    15        1   415.748878         Stim
    122     1    17        1   419.401580         Stim
    123     1    16        1   455.347638         Stim
    124     1    15        1   429.738303         Stim
    125     6    17        0   454.943649         Stim
    126     1    18        1   666.386662         Stim
    127     6    26        1   512.893613         Stim
    128     1    15        1   420.870123         Stim
    129     6    25        1   395.249903         Stim
    130     1    17        1   303.190026         Stim
    131     6    28        1   472.451421         Stim
    132     1    28        0   380.051309         Stim
    133     1    16        1   469.188403         Stim
    134     1    17        1   499.202750         Stim
    135     6    26        1   591.141026         Stim
    136     6    17        0   483.143306         Stim
    137     1    16        1   361.526254         Stim
    138     1    15        1   341.506841         Stim
    139     6    25        1   478.718081         Stim
    140     1    17        1   426.321030         Stim
    141     1    18        1   528.681554         Stim
    142     1    18        1   452.687651         Stim
    143     6    28        1   509.815331         Stim
    144     1    16        1   467.867585         Stim
    145     0    25        0  1465.670000         Stim
    146     1    25        0   347.043893         Stim
    147     1    17        1   321.472812         Stim
    148     1    16        1  1079.728086         Stim
    149     1    15        1   555.756945         Stim
    150     1    17        1   508.957592         Stim
    151     6    28        1   493.789475         Stim
    152     0    28        0  1465.670000         Stim
    153     1    28        0   316.499602         Stim
    154     6    28        1   557.720291         Stim
    155     6    18        0   502.413520         Stim
    156     6    26        1   735.240617         Stim
