file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P41E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_02_1609
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   571.231708         Stim
      2     6   182        1   550.504769         Stim
      3     1   344        1   396.487063         Stim
      4     1   381        1   515.050713         Stim
      5     6   182        1   547.976336         Stim
      6     1   244        1   454.350570         Stim
      7     1   361        1   650.737118         Stim
      8     1   384        1   637.910213         Stim
      9     1   185        1   617.779464         Stim
     10     1   141        1   473.414901         Stim
     11     6   144        1   565.309636         Stim
     12     1   143        1   466.001581         Stim
     13     1   346        1   539.166625         Stim
     14     6   285        1   645.284657         Stim
     15     6   262        1   550.633213         Stim
     16     6   363        1   644.561892         Stim
     17     1   281        1   446.086666         Stim
     18     6   161        1   560.916444         Stim
     19     1   341        1   595.605128         Stim
     20     6   181        1   470.498337         Stim
     21     6   343        1   409.599155         Stim
     22     1   382        1   522.715943         Stim
     23     6   184        1   514.986958         Stim
     24     1   141        1   645.321977         Stim
     25     6   343        1   464.612653         Stim
     26     1   282        1   514.957724         Stim
     27     6   263        1   536.208076         Stim
     28     6   163        1   569.275826         Stim
     29     1   141        1   562.889742         Stim
     30     1   141        1   613.676745         Stim
     31     6   241        1   600.842064         Stim
     32     0   362        0  1515.795000         Stim
     33     6   381        1   585.618591         Stim
     34     1   281        1   524.382905         Stim
     35     6   365        1   583.573452         Stim
     36     1   181        1   607.452069         Stim
     37     1   341        1   690.259060         Stim
     38     6   283        1   460.987320         Stim
     39     1   261        1   518.625042         Stim
     40     0   361        0  1515.795000         Stim
     41     1   285        1   484.145351         Stim
     42     6   162        1   644.053406         Stim
     43     6   342        1   602.412928         Stim
     44     0   381        0  1515.795000         Stim
     45     6   282        1   659.195087         Stim
     46     1   261        1   497.514328         Stim
     47     1   166        1   532.280141         Stim
     48     6   243        1   559.403427         Stim
     49     6   262        1   688.953170         Stim
     50     6   261        1   630.849880         Stim
     51     1   163        1   498.195108         Stim
     52     6   244        1   547.286848         Stim
     53     6   261        1   655.963792         Stim
     54     1   362        1   866.743754         Stim
     55     1   282        1   515.000641         Stim
     56     1   364        1   655.107608         Stim
     57     1   182        1   579.838958         Stim
     58     1   241        1   562.260589         Stim
     59     6   361        1   565.002990         Stim
     60     1   286        0   535.778897         Stim
     61     6   161        1   626.881825         Stim
     62     1   241        1   582.069143         Stim
     63     1   163        1   528.844519         Stim
     64     1   342        1   745.786333         Stim
     65     6   182        1   632.375960         Stim
     66     1   241        1   750.358040         Stim
     67     0   362        0  1515.795000         Stim
     68     1   283        1   495.448975         Stim
     69     1   162        1   520.998597         Stim
     70     6   144        1   591.047104         Stim
     71     6   141        1   603.682122         Stim
     72     6   343        1   574.504055         Stim
      1     6   321        1   694.925623         Stim
      2     6   284        1   515.054445         Stim
      3     0   163        0  1515.668000         Stim
      4     1   342        1   515.046981         Stim
      5     6   183        1   478.356698         Stim
      6     1   344        1   519.576392         Stim
      7     1   381        1   564.260632         Stim
      8     1   282        1   687.116089         Stim
      9     1   363        1   493.386107         Stim
     10     6   181        1   638.513865         Stim
     11     1   145        1   553.807905         Stim
     12     6   241        1   545.732467         Stim
     13     1   263        1   484.496159         Stim
     14     6   164        1   654.015685         Stim
     15     1   142        1   577.614061         Stim
     16     1   243        1   504.700306         Stim
     17     1   261        1   690.259994         Stim
     18     6   365        1   669.038874         Stim
     19     1   183        1   764.943652         Stim
     20     6   142        1  1158.434225         Stim
     21     6   241        1   676.472098         Stim
     22     1   361        1   671.262839         Stim
     23     1   282        1   569.536134         Stim
     24     1   162        1   584.379876         Stim
     25     6   343        1   582.437677         Stim
     26     6   286        1   543.948879         Stim
     27     1   162        1   587.048882         Stim
     28     1   141        1   681.438775         Stim
     29     1   344        1   788.138378         Stim
     30     6   281        1   584.887429         Stim
     31     1   362        1   595.770580         Stim
     32     6   381        1   624.912258         Stim
     33     1   281        1   636.740540         Stim
     34     6   263        1   515.002819         Stim
     35     6   362        1   545.037380         Stim
     36     6   281        1   607.144801         Stim
     37     6   161        1   577.925372         Stim
     38     1   244        1   533.134460         Stim
     39     1   262        1   633.396663         Stim
     40     1   362        1   967.793722         Stim
     41     6   281        1   557.776582         Stim
     42     6   362        1   712.865686         Stim
     43     1   285        1   494.972833         Stim
     44     6   361        1   566.793420         Stim
     45     1   383        1   425.691564         Stim
     46     6   384        1   539.152629         Stim
     47     1   181        1   543.891654         Stim
     48     6   242        1   578.673016         Stim
     49     6   163        1   529.011214         Stim
     50     1   341        1   546.166001         Stim
     51     1   181        1   525.067107         Stim
     52     6   241        1   560.239084         Stim
     53     1   162        1   474.965860         Stim
     54     1   144        1   552.941147         Stim
     55     1   241        1   581.632809         Stim
     56     6   265        1   687.650388         Stim
     57     1   263        1   552.736509         Stim
     58     6   164        1   497.903701         Stim
     59     1   341        1   726.629945         Stim
     60     6   181        1   761.391715         Stim
     61     1   242        1   548.577500         Stim
     62     6   362        1   626.506759         Stim
     63     1   186        1   624.430208         Stim
     64     6   142        1   683.965965         Stim
     65     6   341        1   601.928701         Stim
     66     6   383        1   628.803186         Stim
     67     1   381        1   550.215539         Stim
     68     6   181        1   649.086638         Stim
     69     6   241        1   604.259338         Stim
     70     6   366        1   487.043875         Stim
     71     6   181        1   626.122983         Stim
     72     1   141        1   572.915155         Stim
