file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P43C1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_16_1510
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    24        0  1465.790000         Stim
      2     6    27        1   910.436834         Stim
      3     1    16        1   524.889836         Stim
      4     6    27        1   454.034283         Stim
      5     6    28        1   558.792310         Stim
      6     1    18        1   548.784937         Stim
      7     1    18        1   600.794171         Stim
      8     1    16        1   511.214211         Stim
      9     6    27        1   488.388330         Stim
     10     1    16        1   403.847511         Stim
     11     6    27        1   450.349860         Stim
     12     1    18        1   390.298153         Stim
     13     6    26        1   434.245321         Stim
     14     1    15        1   443.476438         Stim
     15     6    27        1   479.094391         Stim
     16     1    16        1   317.483608         Stim
     17     6    27        1   302.603789         Stim
     18     1    16        1   388.670999         Stim
     19     1    17        1   482.967592         Stim
     20     1    18        1   431.022734         Stim
     21     1    16        1   360.174334         Stim
     22     6    25        1   363.822059         Stim
     23     1    15        1   415.762873         Stim
     24     6    27        1   363.688951         Stim
     25     1    18        1   295.662880         Stim
     26     6    28        1   307.701710         Stim
     27     6    28        1   415.660554         Stim
     28     6    26        1   448.829379         Stim
     29     6    17        0   342.928113         Stim
     30     6    26        1   426.784420         Stim
     31     6    25        1   427.991724         Stim
     32     1    17        1   340.802114         Stim
     33     6    26        1   434.800768         Stim
     34     1    17        1   505.150013         Stim
     35     6    28        1   314.357742         Stim
     36     1    16        1   560.365662         Stim
     37     6    25        1   428.350929         Stim
     38     1    17        1   554.729400         Stim
     39     6    26        1   339.854495         Stim
     40     6    25        1   505.817420         Stim
     41     6    25        1   557.855266         Stim
     42     1    15        1   444.248341         Stim
     43     6    27        1   370.599382         Stim
     44     6    28        1   496.964480         Stim
     45     1    16        1   367.367776         Stim
     46     6    25        1   384.579476         Stim
     47     1    15        1   337.328860         Stim
     48     6    25        1   367.312418         Stim
     49     6    27        1   525.893434         Stim
     50     6    26        1   518.822527         Stim
     51     1    17        1   460.892777         Stim
     52     1    16        1   446.149176         Stim
     53     1    17        1   457.689783         Stim
     54     6    26        1   461.572624         Stim
     55     6    25        1   454.837908         Stim
     56     1    17        1   519.700793         Stim
     57     1    16        1   509.516460         Stim
     58     1    15        1   446.767756         Stim
     59     1    15        1   578.342423         Stim
     60     1    15        1   472.751536         Stim
     61     1    17        1   884.751304         Stim
     62     6    26        1   507.118957         Stim
     63     6    27        1   460.328622         Stim
     64     1    16        1   533.167425         Stim
     65     6    27        1   448.666414         Stim
     66     6    28        1   527.178799         Stim
     67     1    18        1   451.002028         Stim
     68     6    26        1   497.439377         Stim
     69     6    27        1   506.607672         Stim
     70     1    16        1   440.641669         Stim
     71     1    15        1   473.775972         Stim
     72     6    27        1   421.317653         Stim
     73     1    18        1   529.289249         Stim
     74     1    16        1   434.527399         Stim
     75     1    15        1   427.272380         Stim
     76     6    25        1   433.302679         Stim
     77     1    17        1   453.250873         Stim
     78     1    16        1   398.436725         Stim
     79     1    15        1   410.070009         Stim
     80     6    27        1   496.441688         Stim
     81     1    18        1   457.679209         Stim
     82     6    26        1   386.394475         Stim
     83     1    15        1   397.982975         Stim
     84     6    25        1   361.986223         Stim
     85     6    27        1   451.153485         Stim
     86     6    28        1   478.763487         Stim
     87     6    26        1   450.660239         Stim
     88     1    15        1   382.703210         Stim
     89     6    25        1   397.088538         Stim
     90     6    27        1   467.473858         Stim
     91     1    16        1   471.483587         Stim
     92     1    15        1   432.669793         Stim
     93     1    17        1   641.432605         Stim
     94     1    18        1   485.064979         Stim
     95     1    18        1   595.396446         Stim
     96     1    18        1   468.626737         Stim
     97     6    26        1   464.168545         Stim
     98     1    17        1   438.582223         Stim
     99     6    28        1   396.930239         Stim
    100     6    28        1   480.920586         Stim
    101     6    28        1   503.335947         Stim
    102     6    26        1   536.497618         Stim
    103     6    27        1   614.442427         Stim
    104     6    28        1   490.417297         Stim
    105     1    18        1   512.826438         Stim
    106     6    28        1   450.028597         Stim
    107     6    28        1   445.572270         Stim
    108     6    28        1   606.879828         Stim
    109     6    26        1   466.378825         Stim
    110     1    15        1   414.368969         Stim
    111     6    25        1   492.792097         Stim
    112     6    17        0   443.135271         Stim
    113     1    18        1   447.113278         Stim
    114     6    26        1   373.441926         Stim
    115     6    25        1   465.465417         Stim
    116     6    25        1   458.689027         Stim
    117     6    27        1   432.644913         Stim
    118     6    26        1   569.829407         Stim
    119     1    17        1   538.573236         Stim
    120     6    26        1   499.384064         Stim
    121     1    15        1   428.210046         Stim
    122     1    17        1   583.760052         Stim
    123     1    16        1   467.771486         Stim
    124     1    15        1   658.125556         Stim
    125     1    17        1   531.340297         Stim
    126     1    18        1   710.893943         Stim
    127     6    26        1   581.275158         Stim
    128     1    15        1   785.237056         Stim
    129     6    25        1   415.683879         Stim
    130     1    17        1   355.685042         Stim
    131     6    28        1   484.811514         Stim
    132     6    28        1   536.373840         Stim
    133     1    16        1   401.599289         Stim
    134     1    17        1   551.606333         Stim
    135     6    26        1   547.506103         Stim
    136     1    17        1   471.595237         Stim
    137     1    16        1   437.977016         Stim
    138     1    15        1   377.879903         Stim
    139     1    25        0   347.088367         Stim
    140     1    17        1   534.733623         Stim
    141     1    18        1   525.096029         Stim
    142     1    18        1   425.039707         Stim
    143     6    28        1   546.219494         Stim
    144     1    16        1   416.213202         Stim
    145     6    25        1   409.354397         Stim
    146     6    25        1   663.406656         Stim
    147     1    17        1   493.702707         Stim
    148     1    16        1   452.205600         Stim
    149     1    15        1   408.154246         Stim
    150     1    17        1   425.327071         Stim
    151     6    28        1   450.123452         Stim
    152     6    28        1   506.827549         Stim
    153     6    28        1   424.884207         Stim
    154     6    28        1   482.023705         Stim
    155     6    18        0   650.821088         Stim
    156     6    26        1   451.613455         Stim
