file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P43C1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_16_1518
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   121        1   579.340735         Stim
      2     6   241        1   590.687588         Stim
      3     1   161        1   417.419573         Stim
      4     6   243        1   420.266471         Stim
      5     1   362        1   541.747617         Stim
      6     1   384        1   731.816812         Stim
      7     1   183        1   752.499278         Stim
      8     1   241        1   945.993832         Stim
      9     6   363        1   700.768078         Stim
     10     1   181        1   529.658095         Stim
     11     6   345        1   529.100471         Stim
     12     1   186        1   665.005509         Stim
     13     1   141        1  1164.173117         Stim
     14     6   341        1   622.930875         Stim
     15     1   283        1   441.208934         Stim
     16     1   262        1   691.199215         Stim
     17     1   261        1   465.650462         Stim
     18     6   261        1   524.427689         Stim
     19     6   161        1   631.227435         Stim
     20     1   341        1   450.004027         Stim
     21     6   381        1   460.836175         Stim
     22     1   281        1   391.949255         Stim
     23     6   363        1   370.698902         Stim
     24     1   382        1   780.262603         Stim
     25     6   181        1   562.241306         Stim
     26     1   142        1   517.057599         Stim
     27     1   141        1   819.382110         Stim
     28     6   141        1   622.176388         Stim
     29     1   242        1   368.939883         Stim
     30     1   162        1   502.598254         Stim
     31     1   141        1   581.266761         Stim
     32     6   341        1   536.034227         Stim
     33     1   285        1   498.818665         Stim
     34     1   261        1   610.810875         Stim
     35     1   165        1   541.932974         Stim
     36     6   144        1   749.842711         Stim
     37     1   341        1   754.521714         Stim
     38     6   184        1   533.370508         Stim
     39     1   241        1   554.080964         Stim
     40     6   264        1   604.881339         Stim
     41     6   362        1   713.630436         Stim
     42     6   281        1   599.607082         Stim
     43     1   163        1   562.324032         Stim
     44     1   342        1   579.926660         Stim
     45     6   282        1   633.875604         Stim
     46     1   361        1   520.191862         Stim
     47     6   382        1   875.011390         Stim
     48     6   381        1   520.788672         Stim
     49     6   184        1   444.202002         Stim
     50     1   143        1   872.893477         Stim
     51     1   344        1   602.076737         Stim
     52     6   183        1   750.733728         Stim
     53     1   244        1   608.411817         Stim
     54     1   261        1   803.993806         Stim
     55     6   363        1   711.821035         Stim
     56     6   283        1   601.008761         Stim
     57     6   162        1   586.573362         Stim
     58     1   341        1   560.583362         Stim
     59     6   283        1   419.643537         Stim
     60     6   265        1   628.901773         Stim
     61     6   262        1   556.809371         Stim
     62     1   364        1   747.120524         Stim
     63     6   282        1   559.826076         Stim
     64     6   162        1   605.788528         Stim
     65     1   341        1   739.467113         Stim
     66     6   182        1   798.899618         Stim
     67     6   142        1   653.004311         Stim
     68     6   343        1   651.254623         Stim
     69     6   382        1   620.443804         Stim
     70     6   286        1   546.764055         Stim
     71     6   366        0   749.856085         Stim
     72     1   281        1   688.889414         Stim
