file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P43C1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_16_1524
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1   667.073974         Stim
      2     1   262        1   462.320891         Stim
      3     1   361        1   588.300970         Stim
      4     6   385        1   487.134065         Stim
      5     6   182        1   583.019249         Stim
      6     1   141        1   493.287210         Stim
      7     1   145        1   514.945284         Stim
      8     6   243        1   496.006909         Stim
      9     6   261        1   585.641916         Stim
     10     1   161        1   524.445105         Stim
     11     6   343        1   479.206041         Stim
     12     6   281        1   544.744729         Stim
     13     6   164        1   539.457721         Stim
     14     1   344        1   616.234412         Stim
     15     1   383        1   515.048225         Stim
     16     6   181        1   806.154948         Stim
     17     1   341        1   521.358425         Stim
     18     1   281        1   476.091060         Stim
     19     1   361        1   446.865410         Stim
     20     6   181        1   449.655707         Stim
     21     6   341        1   604.495388         Stim
     22     1   281        1   455.582754         Stim
     23     1   265        1   602.381206         Stim
     24     6   361        1   642.327665         Stim
     25     1   382        1   573.078118         Stim
     26     1   183        1   579.427504         Stim
     27     1   244        1   532.560663         Stim
     28     6   162        1   753.343022         Stim
     29     6   143        1   590.571585         Stim
     30     1   142        1   800.932317         Stim
     31     6   246        1   535.207899         Stim
     32     6   161        1   714.321479         Stim
     33     1   142        1   677.087878         Stim
     34     1   144        1   674.645281         Stim
     35     6   241        1   639.825666         Stim
     36     6   163        1   578.932702         Stim
     37     6   342        1   668.157188         Stim
     38     6   281        1   562.484508         Stim
     39     1   364        1   613.275243         Stim
     40     1   186        1   610.033062         Stim
     41     6   342        1   541.101358         Stim
     42     6   282        1   603.074115         Stim
     43     1   363        1   497.446530         Stim
     44     1   382        1   515.501353         Stim
     45     6   284        1   609.006450         Stim
     46     6   361        1  1173.643704         Stim
     47     6   281        1   696.411583         Stim
     48     6   364        1   675.249555         Stim
     49     1   381        1   671.986226         Stim
     50     6   181        1   562.782136         Stim
     51     1   242        1   573.581006         Stim
     52     6   363        1   699.938018         Stim
     53     1   182        1   572.145117         Stim
     54     6   346        1   643.448821         Stim
     55     1   283        1   742.571831         Stim
     56     6   261        1   768.090043         Stim
     57     1   161        1   722.906337         Stim
     58     6   144        1   461.677742         Stim
     59     6   245        1   986.339925         Stim
     60     1   263        1   602.351972         Stim
     61     6   362        1   691.901454         Stim
     62     1   182        1   521.813730         Stim
     63     1   242        1   592.183811         Stim
     64     6   163        1   582.116103         Stim
     65     1   242        1   495.727009         Stim
     66     6   161        1   597.639382         Stim
     67     6   341        1   608.475572         Stim
     68     1   382        1   531.654719         Stim
     69     1   283        1   665.568109         Stim
     70     1   161        1   795.102613         Stim
     71     1   241        1   565.883433         Stim
     72     1   361        1   736.711027         Stim
