file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P43E2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_18_1623
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    24        0  1465.792000         Stim
      2     6    25        1   620.256204         Stim
      3     6    25        1   466.128736         Stim
      4     6    27        1   859.400823         Stim
      5     1    18        1   524.157728         Stim
      6     6    28        1   551.763228         Stim
      7     6    26        1   475.747727         Stim
      8     6    27        1   479.637744         Stim
      9     1    16        1   451.681434         Stim
     10     6    27        1   498.087958         Stim
     11     1    16        1   456.470559         Stim
     12     1    17        1  1065.649793         Stim
     13     1    16        1   549.271166         Stim
     14     1    15        1   582.472531         Stim
     15     1    15        1   444.400870         Stim
     16     1    15        1   429.602446         Stim
     17     6    27        1   598.322453         Stim
     18     6    28        1   497.962002         Stim
     19     6    28        1   477.946514         Stim
     20     6    26        1   481.935741         Stim
     21     1    17        1   501.913908         Stim
     22     1    16        1   436.277178         Stim
     23     6    27        1   549.485136         Stim
     24     1    18        1   542.322752         Stim
     25     1    18        1   455.100283         Stim
     26     6    28        1   431.892045         Stim
     27     6    28        1   581.882248         Stim
     28     6    26        1   489.756827         Stim
     29     1    17        1   480.161783         Stim
     30     1    16        1   406.587340         Stim
     31     1    17        1   530.597342         Stim
     32     6    18        0   467.793532         Stim
     33     1    18        1   532.525868         Stim
     34     6    26        1   482.510162         Stim
     35     6    27        1   459.725820         Stim
     36     1    18        1   596.374024         Stim
     37     1    16        1   493.185006         Stim
     38     6    27        1   520.876964         Stim
     39     6    26        1   482.001673         Stim
     40     6    27        1   581.605456         Stim
     41     6    28        1   545.609425         Stim
     42     6    28        1   448.018138         Stim
     43     1    18        1   441.177019         Stim
     44     6    26        1   492.775416         Stim
     45     1    15        1   427.128111         Stim
     46     1    15        1   487.120461         Stim
     47     6    27        1   507.119465         Stim
     48     1    16        1   428.315829         Stim
     49     1    15        1   429.052283         Stim
     50     6    27        1   493.884761         Stim
     51     6    26        1   518.624063         Stim
     52     6    27        1   530.252130         Stim
     53     6    26        1   446.225209         Stim
     54     1    17        1   439.472727         Stim
     55     1    18        1   477.444245         Stim
     56     6    26        1   449.308175         Stim
     57     6    27        1   413.367191         Stim
     58     1    18        1   387.759570         Stim
     59     6    26        1   370.059184         Stim
     60     6    25        1   408.517110         Stim
     61     6    25        1   361.588102         Stim
     62     1    15        1   378.437275         Stim
     63     1    17        1   459.338311         Stim
     64     1    18        1   620.013622         Stim
     65     6    26        1   407.618313         Stim
     66     6    25        1   448.827055         Stim
     67     1    15        1   401.514892         Stim
     68     1    17        1   671.565368         Stim
     69     1    18        1   464.740111         Stim
     70     6    28        1   441.491443         Stim
     71     1    18        1   394.280978         Stim
     72     1    16        1   459.084223         Stim
     73     1    15        1   473.185379         Stim
     74     6    27        1   637.007722         Stim
     75     6    26        1   531.477168         Stim
     76     6    25        1   577.842950         Stim
     77     6    27        1   517.826032         Stim
     78     1    16        1   433.823680         Stim
     79     6    27        1   648.218112         Stim
     80     1    18        1   500.206195         Stim
     81     1    18        1   434.581593         Stim
     82     1    18        1   627.725547         Stim
     83     1    18        1   511.350030         Stim
     84     1    16        1   472.478160         Stim
     85     1    15        1   564.055284         Stim
     86     1    15        1   565.286853         Stim
     87     6    25        1   462.022884         Stim
     88     6    25        1   486.825630         Stim
     89     6    27        1   522.437885         Stim
     90     1    16        1   430.403588         Stim
     91     1    15        1   466.403662         Stim
     92     1    15        1   448.862820         Stim
     93     6    25        1   447.178742         Stim
     94     6    25        1   435.148239         Stim
     95     6    27        1   505.554502         Stim
     96     1    16        1   543.956758         Stim
     97     1    17        1   515.904037         Stim
     98     6    28        1   658.319779         Stim
     99     6    26        1   483.416112         Stim
    100     6    25        1   417.452829         Stim
    101     6    25        1   610.684174         Stim
    102     6    27        1   504.631136         Stim
    103     1    16        1   511.045870         Stim
    104     1    15        1   426.984117         Stim
    105     6    17        0   436.167083         Stim
    106     6    26        1   535.737278         Stim
    107     6    25        1   419.787212         Stim
    108     1    15        1   482.199160         Stim
    109     1    17        1   590.171082         Stim
    110     6    26        1   636.574185         Stim
    111     6    27        1   722.816686         Stim
    112     6    26        1   705.273978         Stim
    113     6    27        1   474.487546         Stim
    114     1    18        1   750.013529         Stim
    115     1    18        1   641.989047         Stim
    116     1    16        1   616.428076         Stim
    117     1    17        1   486.774937         Stim
    118     6    26        1   506.762124         Stim
    119     6    27        1   462.768667         Stim
    120     6    28        1   544.009940         Stim
    121     6    28        1   501.912664         Stim
    122     1    16        1   415.145502         Stim
    123     6    27        1   402.692658         Stim
    124     6    26        1   499.809667         Stim
    125     6    25        1   463.410576         Stim
    126     6    25        1   656.621084         Stim
    127     1    15        1   534.640372         Stim
    128     1    17        1   447.842732         Stim
    129     6    28        1   621.838895         Stim
    130     6    26        1   740.220065         Stim
    131     1    17        1   533.328254         Stim
    132     6    26        1   440.891208         Stim
    133     1    15        1   652.938505         Stim
    134     6    17        0   654.079884         Stim
    135     1    18        1   548.146582         Stim
    136     1    16        1   458.430185         Stim
    137     1    17        1   382.512339         Stim
    138     6    28        1   511.640506         Stim
    139     6    26        1   621.648561         Stim
    140     6    27        1   596.035342         Stim
    141     6    28        1   594.386097         Stim
    142     1    18        1   608.757515         Stim
    143     6    26        1   481.942894         Stim
    144     6    25        1   455.971089         Stim
    145     1    15        1   566.383447         Stim
    146     1    17        1   764.691284         Stim
    147     1    16        1   501.887784         Stim
    148     6    27        1   507.899459         Stim
    149     6    28        1   599.896436         Stim
    150     1    18        1   523.848592         Stim
    151     1    16        1   519.910058         Stim
    152     1    15        1   542.251843         Stim
    153     6    17        0   780.592833         Stim
    154     1    16        1   528.594798         Stim
    155     1    15        1   444.559481         Stim
    156     1    17        1   472.573016         Stim
