file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P43E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_18_1628
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1  1063.821099         Stim
      2     6   182        1   739.220193         Stim
      3     1   344        1   857.170625         Stim
      4     1   381        1   693.945096         Stim
      5     6   182        1   592.640130         Stim
      6     1   244        1   655.174612         Stim
      7     1   361        1   971.402714         Stim
      8     1   384        1   742.590836         Stim
      9     1   185        1   657.966480         Stim
     10     1   141        1   659.218576         Stim
     11     6   144        1   517.972203         Stim
     12     1   143        1   738.776392         Stim
     13     1   346        1   931.843217         Stim
     14     6   285        1   999.381416         Stim
     15     6   262        1   999.217518         Stim
     16     6   363        1   797.240476         Stim
     17     1   281        1   774.823739         Stim
     18     6   161        1   649.570661         Stim
     19     1   341        1   548.389163         Stim
     20     6   181        1   567.171216         Stim
     21     6   343        1   865.362738         Stim
     22     1   382        1   907.465300         Stim
     23     6   184        1   745.869112         Stim
     24     1   141        1   886.168482         Stim
     25     6   343        1   841.329722         Stim
     26     1   282        1   714.442948         Stim
     27     6   263        1   536.922197         Stim
     28     6   163        1   634.024588         Stim
     29     1   141        1   907.542428         Stim
     30     1   141        1   758.374826         Stim
     31     6   241        1   609.152177         Stim
     32     6   362        1   772.299645         Stim
     33     1   381        0   834.223007         Stim
     34     1   281        1   573.038897         Stim
     35     6   365        1   615.430070         Stim
     36     1   181        1   840.172482         Stim
     37     6   341        0  1010.868598         Stim
     38     6   283        1   677.674698         Stim
     39     0   261        0  1515.794000         Stim
     40     6   361        1   866.085507         Stim
     41     1   285        1   588.796763         Stim
     42     6   162        1   836.686768         Stim
     43     6   342        1   731.015951         Stim
     44     6   381        1   776.970899         Stim
     45     6   282        1   739.822604         Stim
     46     1   261        1   794.180835         Stim
     47     1   166        1   676.928292         Stim
     48     6   243        1  1064.104422         Stim
     49     6   262        1   857.630598         Stim
     50     6   261        1   855.601929         Stim
     51     1   163        1   650.430272         Stim
     52     6   244        1   867.959918         Stim
     53     6   261        1   680.731229         Stim
     54     1   362        1  1251.405886         Stim
     55     1   282        1   784.816555         Stim
     56     1   364        1  1199.855695         Stim
     57     1   182        1   828.470397         Stim
     58     1   241        1   706.435882         Stim
     59     6   361        1   877.243338         Stim
     60     6   286        1   568.464675         Stim
     61     6   161        1   675.581030         Stim
     62     1   241        1   566.383447         Stim
     63     1   163        1   529.155846         Stim
     64     1   342        1   610.646232         Stim
     65     6   182        1   632.637828         Stim
     66     1   241        1   678.912176         Stim
     67     6   362        1   577.725080         Stim
     68     1   283        1   815.435979         Stim
     69     1   162        1   697.248251         Stim
     70     6   144        1   655.641738         Stim
     71     6   141        1   828.044324         Stim
     72     6   343        1   583.173530         Stim
      1     6   321        1   906.453920         Stim
      2     6   284        1   515.121866         Stim
      3     6   163        1   730.422559         Stim
      4     1   342        1   739.592463         Stim
      5     6   183        1   618.059283         Stim
      6     1   344        1   651.176055         Stim
      7     1   381        1   624.445405         Stim
      8     1   282        1   658.690805         Stim
      9     1   363        1   641.019963         Stim
     10     6   181        1   642.212657         Stim
     11     1   145        1   565.295561         Stim
     12     6   241        1   613.238125         Stim
     13     1   263        1   576.007414         Stim
     14     6   164        1   617.186300         Stim
     15     1   142        1   829.949835         Stim
     16     1   243        1   676.249063         Stim
     17     1   261        1   517.419863         Stim
     18     6   365        1   648.600334         Stim
     19     1   183        1   872.561508         Stim
     20     6   142        1   665.629578         Stim
     21     6   241        1   552.057747         Stim
     22     1   361        1   682.838891         Stim
     23     1   282        1   541.570126         Stim
     24     1   162        1   659.932326         Stim
     25     6   343        1   690.036418         Stim
     26     6   286        1   779.499659         Stim
     27     1   162        1  1086.581493         Stim
     28     1   141        1   676.494755         Stim
     29     6   344        0   919.702620         Stim
     30     6   281        1   812.099857         Stim
     31     1   362        1   959.184054         Stim
     32     1   381        0   925.166620         Stim
     33     1   281        1   680.069105         Stim
     34     6   263        1   610.614509         Stim
     35     6   362        1  1100.349256         Stim
     36     6   281        1   618.583944         Stim
     37     6   161        1   733.491530         Stim
     38     1   244        1   504.267885         Stim
     39     1   262        1   604.927521         Stim
     40     1   362        1   626.901390         Stim
     41     6   281        1   721.253899         Stim
     42     6   362        1   788.055645         Stim
     43     1   285        1   722.051620         Stim
     44     6   361        1   737.892524         Stim
     45     1   383        1   725.203318         Stim
     46     6   384        1   878.296080         Stim
     47     1   181        1   722.990225         Stim
     48     6   242        1   645.858537         Stim
     49     6   163        1  1164.070834         Stim
     50     1   341        1   877.264797         Stim
     51     1   181        1   520.515580         Stim
     52     6   241        1   523.290653         Stim
     53     1   162        1   526.124507         Stim
     54     1   144        1  1235.990434         Stim
     55     1   241        1   736.757365         Stim
     56     6   265        1  1146.728722         Stim
     57     1   263        1   883.854936         Stim
     58     6   164        1   924.980329         Stim
     59     1   341        1   913.723600         Stim
     60     6   181        1   804.525084         Stim
     61     1   242        1   591.017009         Stim
     62     1   362        0  1133.628371         Stim
     63     1   186        1   627.714040         Stim
     64     6   142        1   807.163939         Stim
     65     1   341        0   893.156394         Stim
     66     6   383        1   879.852025         Stim
     67     1   381        1   889.481901         Stim
     68     6   181        1   852.268295         Stim
     69     6   241        1   551.037348         Stim
     70     6   366        1   682.261982         Stim
     71     6   181        1   845.229691         Stim
     72     1   141        1   744.079293         Stim
