file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P8BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_May_05_1514
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1   671.378002         Stim
      2     4    28        1   463.171259         Stim
      3     4    18        0   415.483475         Stim
      4     4    26        1   542.119938         Stim
      5     1    17        1   480.100735         Stim
      6     1    16        1   394.055772         Stim
      7     4    27        1   381.465144         Stim
      8     1    16        1   437.733427         Stim
      9     1    15        1   453.282827         Stim
     10     1    15        1   504.484492         Stim
     11     4    27        1   583.418381         Stim
     12     1    16        1   546.392982         Stim
     13     4    27        1   421.702571         Stim
     14     1    18        1   534.547631         Stim
     15     1    18        1   733.556584         Stim
     16     4    28        1   453.801412         Stim
     17     4    26        1   349.378075         Stim
     18     4    25        1   336.493442         Stim
     19     4    27        1   287.473576         Stim
     20     4    26        1   424.541808         Stim
     21     4    27        1   298.699221         Stim
     22     4    18        0   349.616842         Stim
     23     4    28        1   718.911237         Stim
     24     4    26        1   596.384817         Stim
     25     1    27        0   458.624434         Stim
     26     1    18        1   528.162818         Stim
     27     4    26        1   502.958621         Stim
     28     4    27        1   481.372747         Stim
     29     4    16        0   381.605507         Stim
     30     1    15        1   546.044341         Stim
     31     4    27        1   487.006548         Stim
     32     4    28        1   523.090163         Stim
     33     1    16        1   479.114276         Stim
     34     1    17        1   584.354128         Stim
     35     4    26        1   483.526776         Stim
     36     4    27        1   686.393121         Stim
     37     4    26        1   691.830717         Stim
     38     1    17        1   551.190949         Stim
     39     1    16        1   369.608323         Stim
     40     1    17        1   546.940847         Stim
     41     1    18        1   515.220530         Stim
     42     4    28        1   513.712770         Stim
     43     4    28        1   355.740552         Stim
     44     1    18        1   529.660013         Stim
     45     1    26        0   384.924692         Stim
     46     1    15        1   535.504206         Stim
     47     4    27        1   690.127053         Stim
     48     1    16        1  1111.991720         Stim
     49     4    27        1   544.424593         Stim
     50     1    18        1   526.766743         Stim
     51     1    18        1   685.685273         Stim
     52     1    18        1   650.220459         Stim
     53     1    18        1   635.330610         Stim
     54     1    16        1   774.756019         Stim
     55     4    27        1   591.106298         Stim
     56     4    28        1   576.484193         Stim
     57     4    26        1   507.657882         Stim
     58     4    17        0   320.238911         Stim
     59     1    16        1   651.821794         Stim
     60     4    25        1   557.873995         Stim
     61     1    15        1   933.215731         Stim
     62     4    25        1   641.550310         Stim
     63     1    27        0   672.577268         Stim
     64     4    28        1   561.840959         Stim
     65     4    26        1   522.704997         Stim
     66     1    15        1   640.153933         Stim
     67     1    25        0   408.512159         Stim
     68     1    17        1   521.868862         Stim
     69     1    16        1   745.169508         Stim
     70     4    27        1   498.751381         Stim
     71     1    16        1   442.368092         Stim
     72     4    25        1   570.615248         Stim
     73     4    25        1   527.004604         Stim
     74     1    17        1   679.855871         Stim
     75     1    18        1   561.895594         Stim
     76     4    26        1   440.363782         Stim
     77     4    27        1   384.330644         Stim
     78     4    28        1   680.532024         Stim
     79     4    26        1   427.559744         Stim
     80     1    17        1   447.520738         Stim
     81     1    28        0   433.955726         Stim
     82     4    28        1   496.834307         Stim
     83     4    16        0   317.281951         Stim
     84     1    15        1   494.510334         Stim
     85     1    17        1   587.032779         Stim
     86     4    26        1   455.817192         Stim
     87     1    15        1   545.072975         Stim
     88     1    15        1   612.047713         Stim
     89     4    25        1   521.679901         Stim
     90     4    25        1   512.328468         Stim
     91     4    27        1   639.955314         Stim
     92     1    16        1   766.202687         Stim
     93     4    25        1   646.287001         Stim
     94     1    25        0  1384.245521         Stim
     95     4    25        1   582.279486         Stim
     96     1    15        1  1110.514748         Stim
     97     1    17        1   594.936220         Stim
     98     4    26        1   593.058990         Stim
     99     1    15        1   484.267828         Stim
    100     4    25        1   434.520796         Stim
    101     4    27        1   575.521279         Stim
    102     4    26        1   649.625203         Stim
    103     4    25        1   674.547468         Stim
    104     0    17        0  1467.442000         Stim
    105     1    16        1  1250.986685         Stim
    106     4    25        1   691.552709         Stim
    107     4    25        1   427.846505         Stim
    108     1    15        1   485.221384         Stim
    109     4    27        1   416.543888         Stim
    110     4    26        1   610.108302         Stim
    111     1    15        1   552.233855         Stim
    112     4    27        1   719.456083         Stim
    113     1    16        1   606.410894         Stim
    114     4    27        1   438.810744         Stim
    115     1    26        0   569.770660         Stim
    116     0    17        0  1467.442000         Stim
    117     4    16        0   434.556113         Stim
    118     1    17        1   711.710512         Stim
    119     1    16        1   754.716241         Stim
    120     4    25        1   591.673481         Stim
    121     4    25        1   511.646882         Stim
    122     1    17        1   518.955066         Stim
    123     0    28        0  1467.442000         Stim
    124     1    28        0   566.159884         Stim
    125     1    16        1   744.100945         Stim
    126     1    25       -1    24.581774         Stim
    127     4    25        1   487.446349         Stim
    128     1    15        1   505.331796         Stim
    129     4    17        0   809.279049         Stim
    130     4    16        0   677.327241         Stim
    131     4    27        1  1118.643372         Stim
    132     0    26        0  1467.442000         Stim
    133     1    15        1   790.446988         Stim
    134     1    17        1   734.778187         Stim
    135     1    16        1   588.044292         Stim
    136     1    17        1   588.443041         Stim
    137     1    18        1   573.853838         Stim
    138     1    28        0   927.817980         Stim
    139     4    28        1   815.214402         Stim
    140     0    18        0  1467.442000         Stim
    141     1    18        1   643.632800         Stim
    142     1    18        1   396.536408         Stim
    143     1    16        1   442.328549         Stim
    144     1    27        0   330.560805         Stim
    145     4    26        1  1117.150704         Stim
    146     1    17        1   688.668797         Stim
    147     4    26        1   556.098490         Stim
    148     1    15        1   536.300195         Stim
    149     1    15        1   725.114335         Stim
    150     0    17        0  1467.442000         Stim
    151     4    28        1   711.429788         Stim
    152     4    28        1   690.959868         Stim
    153     1    18        1   948.619939         Stim
    154     1    16        1   829.992263         Stim
    155     1    17        1   589.551448         Stim
    156     1    18        1   354.685271         Stim
