file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P8BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_May_05_1519
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1   936.729914         Stim
      2     4   161        1   625.343472         Stim
      3     4   241        1   693.864005         Stim
      4     1   164        1   531.280063         Stim
      5     4   241        1   457.336725         Stim
      6     4   261        1   493.149879         Stim
      7     4   362        1   698.291296         Stim
      8     1   283        1   560.229059         Stim
      9     4   263        1   544.316227         Stim
     10     1   261        1  1019.932318         Stim
     11     4   262        1   578.758058         Stim
     12     1   362        1   753.102530         Stim
     13     1   284        1   774.042436         Stim
     14     4   262        1   668.737083         Stim
     15     4   166        1   460.788726         Stim
     16     1   243        1   686.811490         Stim
     17     1   161        1   577.386132         Stim
     18     4   344        1   964.149115         Stim
     19     4   386        1   713.513486         Stim
     20     4   182        1   535.941592         Stim
     21     1   242        1   535.937367         Stim
     22     4   161        0   501.859269         Stim
     23     1   142        1   532.405374         Stim
     24     0   341        0  1517.292000         Stim
     25     0   382        0  1517.292000         Stim
     26     4   181        1   571.817230         Stim
     27     1   142        1   560.542081         Stim
     28     1   142        1   540.925200         Stim
     29     4   341        1   528.910208         Stim
     30     1   281        1   557.699825         Stim
     31     4   361        1   415.473816         Stim
     32     1   183        1   422.548063         Stim
     33     1   342        1   553.836699         Stim
     34     4   181        1   780.854675         Stim
     35     4   341        0   651.960647         Stim
     36     1   285        1   585.764993         Stim
     37     4   362        1  1080.220088         Stim
     38     4   185        1   545.569826         Stim
     39     1   342        1  1259.504398         Stim
     40     1   381        1   878.860296         Stim
     41     4   281        1   710.276103         Stim
     42     1   266        1   522.043334         Stim
     43     4   163        1   616.626837         Stim
     44     4   241        1   793.706708         Stim
     45     4   364        1   730.468317         Stim
     46     1   383        1   926.213626         Stim
     47     1   181        1   620.422046         Stim
     48     1   141        1   850.530101         Stim
     49     1   243        1   533.331764         Stim
     50     4   361        1   954.456888         Stim
     51     1   383        1   707.540401         Stim
     52     1   184        1   651.816964         Stim
     53     1   142        1   684.602523         Stim
     54     1   343        1   575.501357         Stim
     55     4   281        1   724.062072         Stim
     56     4   161        1   854.773865         Stim
     57     4   241        1   774.574303         Stim
     58     1   261        1   589.371543         Stim
     59     1   262        1   565.152598         Stim
     60     4   264        1   801.338179         Stim
     61     4   163        1   738.861063         Stim
     62     1   144        1   726.458792         Stim
     63     1   341        1   733.234506         Stim
     64     4   181        1   854.970372         Stim
     65     4   341        1   767.742142         Stim
     66     4   183        1   743.526819         Stim
     67     1   343        1  1183.328247         Stim
     68     4   182        1   737.168568         Stim
     69     1   341        1   811.202764         Stim
     70     4   384        1   588.649207         Stim
     71     1   385        1   599.655404         Stim
     72     1   282        1   641.588041         Stim
