file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P8BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_May_05_1513
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  1654.334728         Stim
      2     4     6        1   515.855932         Stim
      3     1     7        1   506.856158         Stim
      4     4     8        1   479.405263         Stim
      5     4     6        1   451.189169         Stim
      6     4     8        1   446.142171         Stim
      7     1     5        1   465.143572         Stim
      8     1     7        1   551.574002         Stim
      9     1     5        1   476.300998         Stim
     10     1     7        1   601.109434         Stim
     11     4     8        1   511.111997         Stim
     12     4     6        1   426.658408         Stim
     13     1     5        1   470.205058         Stim
     14     4     8        1   515.981202         Stim
     15     4     6        1   469.999798         Stim
     16     1     7        1   444.824277         Stim
     17     4     6        1   507.832052         Stim
     18     1     7        1   433.731147         Stim
     19     4     6        1   394.305707         Stim
     20     4     8        1   584.525883         Stim
     21     4     6        1   492.547982         Stim
     22     4     8        1   506.689535         Stim
     23     1     8        0   597.307886         Stim
     24     1     5        1   449.215648         Stim
     25     1     7        1   974.157382         Stim
     26     1     5        1   464.792516         Stim
     27     4     7        0   492.548586         Stim
     28     1     5        1   468.850036         Stim
     29     1     5        1   434.548567         Stim
     30     4     6        1   562.119268         Stim
     31     4     7        0   273.738017         Stim
     32     4     8        1   774.338857         Stim
     33     4     6        1   754.736767         Stim
     34     4     8        1   895.635223         Stim
     35     1     5        1   513.313719         Stim
     36     1     7        1   509.857794         Stim
     37     1     5        1   625.438556         Stim
     38     1     7        1   644.095843         Stim
     39     4     8        1   550.753865         Stim
     40     4     6        1   562.534317         Stim
