file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= PMattTest221720161BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_17_1306
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0   121        0  1516.854000         Stim
      2     0   241        0  1516.854000         Stim
      3     0   161        0  1516.854000         Stim
      4     0   243        0  1516.854000         Stim
      5     0   362        0  1516.854000         Stim
      6     0   384        0  1516.854000         Stim
      7     0   183        0  1516.854000         Stim
      8     0   241        0  1516.854000         Stim
      9     0   363        0  1516.854000         Stim
     10     0   181        0  1516.854000         Stim
     11     0   345        0  1516.854000         Stim
     12     0   186        0  1516.854000         Stim
     13     0   141        0  1516.854000         Stim
     14     0   341        0  1516.854000         Stim
     15     0   283        0  1516.854000         Stim
     16     0   262        0  1516.854000         Stim
     17     0   261        0  1516.854000         Stim
     18     0   261        0  1516.854000         Stim
     19     0   161        0  1516.854000         Stim
     20     0   341        0  1516.854000         Stim
     21     0   381        0  1516.854000         Stim
     22     0   281        0  1516.854000         Stim
     23     0   363        0  1516.854000         Stim
     24     0   382        0  1516.854000         Stim
     25     0   181        0  1516.854000         Stim
     26     0   142        0  1516.854000         Stim
     27     0   141        0  1516.854000         Stim
     28     0   141        0  1516.854000         Stim
     29     0   242        0  1516.854000         Stim
     30     0   162        0  1516.854000         Stim
     31     0   141        0  1516.854000         Stim
     32     0   341        0  1516.854000         Stim
     33     0   285        0  1516.854000         Stim
     34     0   261        0  1516.854000         Stim
     35     0   165        0  1516.854000         Stim
     36     0   144        0  1516.854000         Stim
     37     0   341        0  1516.854000         Stim
     38     0   184        0  1516.854000         Stim
     39     0   241        0  1516.854000         Stim
     40     0   264        0  1516.854000         Stim
     41     0   362        0  1516.854000         Stim
     42     0   281        0  1516.854000         Stim
     43     0   163        0  1516.854000         Stim
     44     0   342        0  1516.854000         Stim
     45     0   282        0  1516.854000         Stim
     46     0   361        0  1516.854000         Stim
     47     0   382        0  1516.854000         Stim
     48     0   381        0  1516.854000         Stim
     49     0   184        0  1516.854000         Stim
     50     0   143        0  1516.854000         Stim
     51     0   344        0  1516.854000         Stim
     52     0   183        0  1516.854000         Stim
     53     0   244        0  1516.854000         Stim
     54     0   261        0  1516.854000         Stim
     55     0   363        0  1516.854000         Stim
     56     0   283        0  1516.854000         Stim
     57     0   162        0  1516.854000         Stim
     58     0   341        0  1516.854000         Stim
     59     0   283        0  1516.854000         Stim
     60     0   265        0  1516.854000         Stim
     61     0   262        0  1516.854000         Stim
     62     0   364        0  1516.854000         Stim
     63     0   282        0  1516.854000         Stim
     64     0   162        0  1516.854000         Stim
     65     0   341        0  1516.854000         Stim
     66     0   182        0  1516.854000         Stim
     67     0   142        0  1516.854000         Stim
     68     0   343        0  1516.854000         Stim
     69     0   382        0  1516.854000         Stim
     70     0   286        0  1516.854000         Stim
     71     0   366        0  1516.854000         Stim
     72     0   281        0  1516.854000         Stim
