file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= PP09BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_20_1433
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  1630.079642         Stim
      2     4     6        1   721.857009         Stim
      3     1     7        1  1104.933483         Stim
      4     4     8        1   544.110598         Stim
      5     4     6        1   397.552306         Stim
      6     4     8        1   575.311093         Stim
      7     1     5        1   386.495301         Stim
      8     1     7        1   502.913821         Stim
      9     1     5        1   454.489090         Stim
     10     1     7        1   515.938931         Stim
     11     4     8        1   487.872310         Stim
     12     4     6        1   518.049210         Stim
     13     1     5        1   465.064634         Stim
     14     4     8        1   499.392363         Stim
     15     4     6        1   533.979689         Stim
     16     1     7        1   506.322687         Stim
     17     4     6        1   453.942126         Stim
     18     1     7        1   526.365056         Stim
     19     4     6        1   409.294223         Stim
     20     4     8        1   561.518061         Stim
     21     4     6        1   509.664541         Stim
     22     4     8        1   565.278288         Stim
     23     4     8        1   513.433522         Stim
     24     1     5        1   615.052016         Stim
     25     1     7        1   568.367789         Stim
     26     1     5        1   481.617842         Stim
     27     1     7        1   548.341721         Stim
     28     1     5        1   487.088690         Stim
     29     1     5        1   433.371810         Stim
     30     4     6        1   462.917226         Stim
     31     1     7        1   519.299801         Stim
     32     4     8        1   424.280797         Stim
     33     4     6        1   504.887359         Stim
     34     4     8        1   450.423686         Stim
     35     1     5        1   512.825281         Stim
     36     1     7        1   584.400296         Stim
     37     1     5        1   455.942831         Stim
     38     1     7        1   562.368692         Stim
     39     4     8        1   577.610636         Stim
     40     4     6        1   471.120178         Stim
