file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= PTEST1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_20_1424
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1   730.017387         Stim
      2     1    18        1   573.457233         Stim
      3     6    28        1   480.870119         Stim
      4     6    28        1   460.302214         Stim
      5     6    26        1   539.737932         Stim
      6     1    15        1   471.156516         Stim
      7     1    17        1   498.584011         Stim
      8     6    26        1   526.031127         Stim
      9     1    15        1   601.428063         Stim
     10     1    15        1   500.878993         Stim
     11     6    25        1   424.290346         Stim
     12     1    17        1   515.746722         Stim
     13     6    26        1   415.149658         Stim
     14     6    25        1   562.588745         Stim
     15     1    17        1   490.033143         Stim
     16     1    18        1   569.411207         Stim
     17     6    26        1   444.861872         Stim
     18     6    27        1   472.296008         Stim
     19     6    28        1   487.728502         Stim
     20     1    18        1   539.151735         Stim
     21     6    26        1   390.610285         Stim
     22     1    15        1   626.013016         Stim
     23     6    25        1   469.534665         Stim
     24     1    15        1   416.856330         Stim
     25     1    15        1   480.334331         Stim
     26     1    17        1   503.749608         Stim
     27     1    16        1   467.185953         Stim
     28     6    25        1   454.604151         Stim
     29     6    27        1   506.043080         Stim
     30     1    16        1   485.457065         Stim
     31     1    15        1   472.902429         Stim
     32     1    17        1   508.310292         Stim
     33     6    26        1   507.753978         Stim
     34     6    27        1   575.175376         Stim
     35     6    26        1   526.618833         Stim
     36     1    17        1   506.035232         Stim
     37     6    26        1   525.453684         Stim
     38     1    15        1   588.884898         Stim
     39     1    17        1   512.344546         Stim
     40     6    28        1   495.782220         Stim
     41     6    28        1   539.194900         Stim
     42     1    16        1   502.608304         Stim
     43     6    25        1   410.063449         Stim
     44     1    15        1   385.465215         Stim
     45     1    17        1   568.904096         Stim
     46     1    18        1   564.367258         Stim
     47     1    16        1   475.766403         Stim
     48     6    27        1   531.215136         Stim
     49     1    18        1   534.659269         Stim
     50     1    18        1   566.076948         Stim
     51     6    28        1   473.528471         Stim
     52     6    26        1   452.924042         Stim
     53     1    15        1   436.373488         Stim
     54     6    25        1   435.809024         Stim
     55     1    15        1   391.240854         Stim
     56     6    25        1   426.663507         Stim
     57     1    17        1   462.097027         Stim
     58     1    18        1   469.550361         Stim
     59     6    26        1   424.976757         Stim
     60     1    15        1   388.402840         Stim
     61     6    27        1   511.836227         Stim
     62     1    18        1   547.260692         Stim
     63     6    26        1   326.687354         Stim
     64     1    15        1   438.134191         Stim
